Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.53717800000000004
3500 968691 3498 2 0.48757400000000001
3500 1034724 3498 2 0.21993399999999999
3500 1065931 3498 2 0.10431300000000000
3500 1288276 3498 2 0.15618199999999999
3500 1436875 3498 2 0.39829500000000001
4500 546875 4498 2 0.61549799999999999
4500 521339 4498 2 0.74885500000000005
4500 1569339 4498 2 0.13091700000000001
5000 149100 4998 2 0.73099999999999998
4000 1853775 3998 2 0.30541900000000000
3500 2125476 3498 2 0.22874900000000001
4500 4140900 4498 2 0.74901700000000004
3500 2585019 3498 2 0.31898199999999999
3500 2710851 3498 2 0.39654699999999998
3500 2876739 3498 2 0.32778099999999999
3500 3058011 3498 2 0.34092299999999998
4000 3173719 3998 2 0.34489399999999998
4000 3358399 3998 2 0.35502800000000001
4000 3345519 3998 2 0.34867399999999998
5000 2486400 4998 2 0.20578500000000000
4000 3613116 3998 2 0.43324600000000002
4000 3745984 3998 2 0.38648100000000002
4000 3761856 3998 2 0.56401100000000004
4000 3847119 3998 2 0.44017899999999999
4000 3968671 3998 2 0.55575699999999995
5000 1998156 4998 2 0.26205800000000001
5000 3481104 4998 2 0.23231299999999999
5000 3243244 4998 2 0.31900299999999998
5000 3319056 4998 2 0.49109599999999998
4500 4268619 4498 2 0.36374600000000001
4500 4203171 4498 2 0.58440199999999998
4500 5013659 4498 2 0.60912999999999995
4500 5045076 4498 2 0.73534100000000002
4500 5060736 4498 2 0.51917000000000002
4500 4780539 4498 2 0.43464799999999998
5000 5265936 4998 2 0.50146500000000005
5000 6249039 4998 2 0.66008999999999995
5000 5969100 4998 2 0.58278600000000003
5000 6156364 4998 2 0.66610300000000000
