Nodos Aristas Frontera |CMF| Segundos
4000 7998 4000 2 0.57384900000000005
3500 6998 3500 2 0.39811800000000003
3500 6998 3500 2 0.39912599999999998
3500 6998 3500 2 0.45738699999999999
3500 6998 3500 2 0.45845999999999998
3500 6998 3500 2 0.45898499999999998
3500 6998 3500 2 0.45877299999999999
3500 6998 3500 2 0.45894400000000002
3500 6998 3500 2 0.46069800000000000
3500 6998 3500 2 0.46194600000000002
3500 6998 3500 2 0.46842000000000000
4000 7998 4000 2 0.51493299999999997
4000 7998 4000 2 0.51824999999999999
4000 7998 4000 2 0.51922900000000005
4000 7998 4000 2 0.57213800000000004
4000 7998 4000 2 0.57313800000000004
4000 7998 4000 2 0.57419100000000001
4000 7998 4000 2 0.57432000000000005
4000 7998 4000 2 0.57409900000000003
4000 7998 4000 2 0.57537199999999999
4500 8998 4500 2 0.77256700000000000
4500 8998 4500 2 0.77634800000000004
4500 8998 4500 2 0.77684799999999998
4500 8998 4500 2 0.77991400000000000
4500 8998 4500 2 0.72527600000000003
4500 8998 4500 2 0.71409100000000003
4500 8998 4500 2 0.71592699999999998
4500 8998 4500 2 0.72049200000000002
4500 8998 4500 2 0.71284999999999998
4500 8998 4500 2 0.71446799999999999
5000 9998 5000 2 0.89084300000000005
5000 9998 5000 2 0.88471200000000005
5000 9998 5000 2 0.89805500000000005
5000 9998 5000 2 0.89655200000000002
5000 9998 5000 2 0.89729599999999998
5000 9998 5000 2 0.88584700000000005
5000 9998 5000 2 0.88991799999999999
5000 9998 5000 2 0.88969299999999996
5000 9998 5000 2 0.89376299999999997
5000 9998 5000 2 0.89284500000000000
5500 10998 5500 2 1.09558700000000009
5500 10998 5500 2 1.09388899999999989
5500 10998 5500 2 1.09611799999999993
5500 10998 5500 2 1.09697099999999992
5500 10998 5500 2 1.10347900000000010
5500 10998 5500 2 1.10215299999999994
5500 10998 5500 2 1.10271999999999992
5500 10998 5500 2 1.11133199999999999
5500 10998 5500 2 1.10839099999999990
5500 10998 5500 2 1.10389000000000004
6000 11998 6000 2 1.32494599999999996
6000 11998 6000 2 1.33027600000000001
6000 11998 6000 2 1.32550999999999997
6000 11998 6000 2 1.32712100000000000
6000 11998 6000 2 1.32517799999999997
