Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 13.90548000000000073
3500 1147129 763880 874 13.39741500000000052
3500 1147129 763880 874 13.43688399999999916
3500 1147129 763880 874 13.49272799999999961
3500 1147129 763880 874 13.50571200000000083
3500 1147129 763880 874 13.50760099999999930
3500 1147129 763880 874 13.50931699999999935
3500 1147129 763880 874 13.54006799999999977
3500 1147129 763880 874 13.56833300000000087
3500 1147129 763880 874 13.61464299999999916
4000 1498504 998005 999 20.50151100000000071
4000 1498504 998005 999 20.57834899999999934
4000 1498504 998005 999 20.52739800000000159
4000 1498504 998005 999 20.52784899999999979
4000 1498504 998005 999 20.53274800000000155
4000 1498504 998005 999 20.53758900000000054
4000 1498504 998005 999 20.63807900000000117
4000 1498504 998005 999 20.80132700000000057
4000 1498504 998005 999 20.80818999999999974
4000 1498504 998005 999 20.81633700000000076
4500 1896754 1263380 1124 29.86409400000000147
4500 1896754 1263380 1124 29.87393600000000049
4500 1896754 1263380 1124 29.89717299999999867
4500 1896754 1263380 1124 29.90002899999999997
4500 1896754 1263380 1124 29.76783100000000104
4500 1896754 1263380 1124 29.22600399999999965
4500 1896754 1263380 1124 29.21741000000000099
4500 1896754 1263380 1124 29.23592500000000172
4500 1896754 1263380 1124 29.12181400000000053
4500 1896754 1263380 1124 29.43408700000000167
5000 2341879 1560005 1249 33.21023600000000187
5000 2341879 1560005 1249 33.68101800000000168
5000 2341879 1560005 1249 33.63267299999999693
5000 2341879 1560005 1249 33.52559800000000223
5000 2341879 1560005 1249 33.61539499999999947
5000 2341879 1560005 1249 33.80736300000000227
5000 2341879 1560005 1249 33.88429899999999861
5000 2341879 1560005 1249 33.73917300000000097
5000 2341879 1560005 1249 33.94736900000000190
5000 2341879 1560005 1249 33.94543500000000336
