Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 11.70497399999999999
3500 1147129 763880 874 11.75074799999999975
3500 1147129 763880 874 11.89555200000000035
3500 1147129 763880 874 11.91513300000000086
3500 1147129 763880 874 12.48651199999999939
3500 1147129 763880 874 12.55306399999999911
3500 1147129 763880 874 12.58905900000000067
3500 1147129 763880 874 12.68449200000000054
3500 1147129 763880 874 12.99793200000000049
3500 1147129 763880 874 13.11398800000000087
4000 1498504 998005 999 17.88034299999999988
4000 1498504 998005 999 17.91485799999999884
4000 1498504 998005 999 18.51756500000000116
4000 1498504 998005 999 18.80833099999999902
4000 1498504 998005 999 19.15486999999999895
4000 1498504 998005 999 19.23170299999999955
4000 1498504 998005 999 19.25684299999999993
4000 1498504 998005 999 19.93969399999999936
4000 1498504 998005 999 20.02079099999999912
4000 1498504 998005 999 20.72336500000000115
4500 1896754 1263380 1124 27.94463199999999858
4500 1896754 1263380 1124 28.71192800000000034
4500 1896754 1263380 1124 28.67257700000000042
4500 1896754 1263380 1124 29.80328799999999845
4500 1896754 1263380 1124 25.38817600000000141
4500 1896754 1263380 1124 27.15376200000000040
4500 1896754 1263380 1124 25.51903199999999927
4500 1896754 1263380 1124 25.94266199999999856
4500 1896754 1263380 1124 25.36036199999999852
4500 1896754 1263380 1124 27.45551700000000039
5000 2341879 1560005 1249 30.25567699999999860
5000 2341879 1560005 1249 30.98740899999999954
5000 2341879 1560005 1249 31.75653799999999904
5000 2341879 1560005 1249 31.97772300000000101
5000 2341879 1560005 1249 29.76654600000000173
5000 2341879 1560005 1249 29.84478100000000111
5000 2341879 1560005 1249 29.47460099999999983
5000 2341879 1560005 1249 29.84784300000000101
5000 2341879 1560005 1249 31.74312700000000120
5000 2341879 1560005 1249 31.85601799999999884
