Nodos Aristas Frontera |CMF| Segundos
4500 13494 98 3 0.01174100000000000
3500 10494 77 3 0.00458200000000000
3500 10494 78 3 0.00521900000000000
3500 10494 84 3 0.00549800000000000
3500 10494 88 4 0.00521200000000000
3500 10494 67 3 0.00639400000000000
3500 10494 81 3 0.00625300000000000
3500 10494 76 3 0.00730500000000000
3500 10494 83 3 0.00732400000000000
3500 10494 84 3 0.00677100000000000
3500 10494 70 3 0.00709000000000000
4000 11994 70 3 0.00438200000000000
4000 11994 86 3 0.00441800000000000
4000 11994 58 3 0.00435500000000000
4000 11994 78 3 0.00449700000000000
4000 11994 81 4 0.00492200000000000
4000 11994 84 3 0.00591300000000000
4000 11994 72 3 0.00546100000000000
4000 11994 79 3 0.00661200000000000
4000 11994 81 3 0.00629100000000000
4000 11994 87 3 0.00763600000000000
4500 13494 107 3 0.00930500000000000
4500 13494 91 4 0.00832900000000000
4500 13494 85 3 0.00680300000000000
4500 13494 107 3 0.00984100000000000
4500 13494 76 3 0.00473200000000000
4500 13494 69 3 0.00513900000000000
4500 13494 84 3 0.00682300000000000
4500 13494 74 3 0.00688800000000000
4500 13494 81 3 0.00785200000000000
5000 14994 82 3 0.00393100000000000
5000 14994 92 3 0.00649200000000000
5000 14994 87 4 0.00223100000000000
5000 14994 86 3 0.00704500000000000
5000 14994 75 3 0.00563600000000000
5000 14994 74 3 0.00382000000000000
5000 14994 109 3 0.00706200000000000
5000 14994 72 3 0.00274000000000000
5000 14994 76 3 0.00368900000000000
5000 14994 71 3 0.00534600000000000
