Nodos Aristas Frontera |CMF| Segundos
3500 5301281 142865 47 26.42034800000000061
3500 4542999 63215 24 18.37864599999999982
3500 4572736 71455 27 18.51153700000000057
3500 4794415 85847 31 20.08664100000000019
4000 5869820 74562 25 23.41368900000000153
4000 6215014 94454 30 25.99189700000000158
4500 6868362 68113 22 26.62071200000000104
4500 7490841 84213 25 30.28496000000000166
4500 7546209 95140 28 30.53499499999999856
4500 7828469 102000 29 32.26377500000000254
5000 8378002 68422 20 32.78062800000000010
5000 8749880 81853 23 34.99520900000000267
4000 7212961 233430 65 39.21107599999999849
5000 10096889 138723 34 45.09853799999999779
5000 10191113 147905 36 45.64848700000000292
5000 10345558 175028 42 47.80034599999999756
4000 7743615 712565 192 91.40317600000000198
4500 9676847 608254 145 89.19770699999999408
3500 6002456 980104 312 118.29026700000000005
4000 7791757 867021 235 115.26583499999999560
