Nodos Aristas Frontera |CMF| Segundos
4000 11994 78 3 0.08685400000000000
3500 10494 76 3 0.06261200000000000
3500 10494 78 3 0.06785099999999999
3500 10494 67 3 0.06969200000000000
3500 10494 84 3 0.07168900000000000
3500 10494 81 3 0.07258000000000001
3500 10494 70 3 0.07204700000000000
3500 10494 77 3 0.07211900000000000
3500 10494 88 4 0.07470000000000000
3500 10494 83 3 0.08170600000000000
3500 10494 84 3 0.08199900000000000
4000 11994 58 3 0.06770500000000000
4000 11994 70 3 0.07410500000000000
4000 11994 72 3 0.07916900000000000
4000 11994 84 3 0.07976300000000000
4000 11994 81 3 0.08217900000000000
4000 11994 79 3 0.08244700000000001
4000 11994 81 4 0.08753900000000001
4000 11994 87 3 0.09184800000000000
4000 11994 86 3 0.09432000000000000
4500 13494 85 3 0.09851900000000000
4500 13494 91 4 0.10006300000000000
4500 13494 107 3 0.11836199999999999
4500 13494 107 3 0.11864200000000000
4500 13494 98 3 0.11955700000000000
4500 13494 74 3 0.07060100000000000
4500 13494 78 4 0.07510100000000000
4500 13494 69 3 0.09422700000000001
4500 13494 81 3 0.08522299999999999
4500 13494 84 3 0.09687100000000000
5000 14994 75 3 0.07661600000000000
5000 14994 82 3 0.08222200000000000
5000 14994 86 3 0.08384000000000000
5000 14994 92 3 0.08924500000000000
5000 14994 109 3 0.10336600000000000
5000 14994 71 3 0.06891899999999999
5000 14994 87 4 0.07388400000000001
5000 14994 76 3 0.08020099999999999
5000 14994 72 3 0.08833199999999999
5000 14994 74 3 0.08721200000000000
