Nodos Aristas Frontera |CMF| Segundos
3500 4542999 68362 26 18.06888599999999911
3500 4572736 68874 26 17.79291900000000126
3500 4794415 88563 32 19.88931699999999836
3500 5301281 146050 48 26.52168599999999898
4000 5869820 74548 25 23.47237700000000160
4000 6215014 94327 30 26.23953500000000005
4500 6868362 62258 20 26.97784199999999899
4500 7490841 81126 24 29.54008999999999929
4500 7546209 88708 26 30.70830399999999827
4500 7828469 105522 30 31.53830699999999965
5000 8378002 68392 20 32.48264700000000005
4000 7212961 236937 66 40.41046800000000161
5000 8749880 78229 22 34.65426800000000185
5000 10096889 150946 37 44.94664900000000074
5000 10191113 144115 35 46.68466000000000093
5000 10345558 166587 40 48.18739200000000267
4500 9676847 596467 142 99.02923400000000242
4000 7743615 719742 194 106.30764399999999625
3500 6002456 982958 313 137.49911399999999162
4000 7791757 870487 236 131.05557400000000712
