Nodos Aristas Frontera |CMF| Segundos
4500 4500 2 2 0.00951400000000000
4500 4500 2 2 0.00279000000000000
4500 4500 2 2 0.00278200000000000
4500 4500 2 2 0.00279200000000000
4500 4500 2 2 0.00279000000000000
4500 4500 2 2 0.00280000000000000
4500 4500 2 2 0.00278600000000000
3500 3500 2 2 0.00600900000000000
3500 3500 2 2 0.00538100000000000
3500 3500 2 2 0.00554000000000000
3500 3500 2 2 0.00546500000000000
3500 3500 2 2 0.00550400000000000
3500 3500 2 2 0.00597300000000000
3500 3500 2 2 0.00580700000000000
5000 5000 2 2 0.00632900000000000
3500 3500 2 2 0.00589700000000000
3500 3500 2 2 0.00608500000000000
3500 3500 2 2 0.00598600000000000
5000 5000 2 2 0.00307800000000000
5500 5500 2 2 0.00749900000000000
4000 4000 2 2 0.00714500000000000
4000 4000 2 2 0.00781500000000000
4000 4000 2 2 0.00771200000000000
4000 4000 2 2 0.00798500000000000
4000 4000 2 2 0.00819000000000000
4000 4000 2 2 0.00798900000000000
4000 4000 2 2 0.00816400000000000
4000 4000 2 2 0.00834800000000000
4000 4000 2 2 0.00833200000000000
4000 4000 2 2 0.00834500000000000
4500 4500 2 2 0.00606800000000000
4500 4500 2 2 0.00597000000000000
4500 4500 2 2 0.00598000000000000
5000 5000 2 2 0.00662600000000000
5000 5000 2 2 0.00662400000000000
5000 5000 2 2 0.00665200000000000
5000 5000 2 2 0.00690600000000000
5000 5000 2 2 0.00705500000000000
5000 5000 2 2 0.01224800000000000
5000 5000 2 2 0.01236900000000000
5000 5000 2 2 0.01110800000000000
5500 5500 2 2 0.00670700000000000
5500 5500 2 2 0.00755800000000000
5500 5500 2 2 0.00757200000000000
5500 5500 2 2 0.00672800000000000
6500 6500 2 2 0.00700700000000000
5500 5500 2 2 0.00751800000000000
5500 5500 2 2 0.00741400000000000
5500 5500 2 2 0.00713500000000000
5500 5500 2 2 0.01000500000000000
5500 5500 2 2 0.00953400000000000
6000 6000 2 2 0.00982400000000000
6000 6000 2 2 0.00978600000000000
6000 6000 2 2 0.00993600000000000
6000 6000 2 2 0.01030200000000000
6000 6000 2 2 0.00726900000000000
6000 6000 2 2 0.00797100000000000
6000 6000 2 2 0.00790700000000000
6000 6000 2 2 0.00782300000000000
6000 6000 2 2 0.00775400000000000
6000 6000 2 2 0.00802600000000000
6500 6500 2 2 0.00756800000000000
6500 6500 2 2 0.00839600000000000
6500 6500 2 2 0.00995200000000000
6500 6500 2 2 0.01475500000000000
6500 6500 2 2 0.01476100000000000
6500 6500 2 2 0.01479800000000000
6500 6500 2 2 0.00860500000000000
6500 6500 2 2 0.00854200000000000
6500 6500 2 2 0.00731600000000000
7000 7000 2 2 0.00941900000000000
7000 7000 2 2 0.00948200000000000
7000 7000 2 2 0.00942600000000000
7000 7000 2 2 0.00802300000000000
7000 7000 2 2 0.00944400000000000
7000 7000 2 2 0.00973400000000000
7000 7000 2 2 0.00975800000000000
7000 7000 2 2 0.01008300000000000
7000 7000 2 2 0.00974800000000000
7000 7000 2 2 0.00770600000000000
7500 7500 2 2 0.01173000000000000
7500 7500 2 2 0.01165700000000000
7500 7500 2 2 0.00873200000000000
7500 7500 2 2 0.00868600000000000
7500 7500 2 2 0.00867900000000000
7500 7500 2 2 0.00891500000000000
7500 7500 2 2 0.00873300000000000
7500 7500 2 2 0.00891800000000000
7500 7500 2 2 0.01231300000000000
7500 7500 2 2 0.01067100000000000
8000 8000 2 2 0.00971300000000000
8000 8000 2 2 0.00991400000000000
8000 8000 2 2 0.00985500000000000
8000 8000 2 2 0.00897100000000000
8000 8000 2 2 0.01127600000000000
8000 8000 2 2 0.01130800000000000
8000 8000 2 2 0.00968300000000000
8000 8000 2 2 0.01115600000000000
8000 8000 2 2 0.01150300000000000
8000 8000 2 2 0.01008000000000000
8500 8500 2 2 0.01169600000000000
8500 8500 2 2 0.01198800000000000
8500 8500 2 2 0.01295900000000000
8500 8500 2 2 0.00844600000000000
8500 8500 2 2 0.00946300000000000
8500 8500 2 2 0.00977200000000000
8500 8500 2 2 0.01064400000000000
8500 8500 2 2 0.01039600000000000
8500 8500 2 2 0.01070800000000000
8500 8500 2 2 0.01114800000000000
9000 9000 2 2 0.01080000000000000
9000 9000 2 2 0.01099000000000000
9000 9000 2 2 0.01448800000000000
9000 9000 2 2 0.01143500000000000
9000 9000 2 2 0.01132000000000000
9000 9000 2 2 0.01286200000000000
9000 9000 2 2 0.01317600000000000
9000 9000 2 2 0.01138500000000000
9000 9000 2 2 0.01273100000000000
9000 9000 2 2 0.01292000000000000
9500 9500 2 2 0.01468600000000000
9500 9500 2 2 0.01476200000000000
9500 9500 2 2 0.01490100000000000
9500 9500 2 2 0.01002100000000000
9500 9500 2 2 0.01062100000000000
9500 9500 2 2 0.01070000000000000
9500 9500 2 2 0.01086000000000000
9500 9500 2 2 0.00952700000000000
9500 9500 2 2 0.00835100000000000
9500 9500 2 2 0.00879200000000000
10000 10000 2 2 0.00820500000000000
10000 10000 2 2 0.00861700000000000
10000 10000 2 2 0.00857400000000000
10000 10000 2 2 0.00765300000000000
10000 10000 2 2 0.00730900000000000
10000 10000 2 2 0.00664000000000000
10000 10000 2 2 0.00560700000000000
10000 10000 2 2 0.02950000000000000
10000 10000 2 2 0.00578000000000000
10000 10000 2 2 0.00538400000000000
