Nodos Aristas Frontera |CMF| Segundos
4000 3999 30 1 0.04009000000000000
4500 4499 10 1 0.02475000000000000
4500 4499 10 1 0.02177900000000000
4500 4499 10 1 0.02179800000000000
4500 4499 10 1 0.02470300000000000
4000 3999 30 1 0.03433900000000000
4000 3999 30 1 0.03476600000000000
4000 3999 30 1 0.03546300000000000
4000 3999 30 1 0.03573500000000000
4000 3999 30 1 0.03550100000000000
4000 3999 30 1 0.03493200000000000
4000 3999 30 1 0.03441500000000000
4000 3999 30 1 0.03451800000000000
4000 3999 30 1 0.03447700000000000
4500 4499 10 1 0.02107600000000000
4500 4499 10 1 0.02105200000000000
4500 4499 10 1 0.02722900000000000
4500 4499 10 1 0.03480700000000000
4500 4499 10 1 0.02385000000000000
5500 5499 12 1 0.02347400000000000
5500 5499 8 1 0.01931100000000000
5500 5499 8 1 0.01918600000000000
4500 4499 408 1 0.60000900000000001
5500 5499 1833 2 0.30055300000000001
5500 5499 12 1 0.02478000000000000
5500 5499 8 1 0.01910300000000000
5500 5499 422 1 0.68004799999999999
6000 5999 6 1 0.02281500000000000
6000 5999 856 1 1.74615699999999996
6000 5999 857 2 0.22760800000000000
5500 5499 1833 2 3.74269499999999988
3500 3499 3498 1 4.33797000000000033
3500 3499 3498 1 4.35208100000000009
3500 3499 3498 1 4.35241200000000017
3500 3499 3498 1 4.35637800000000031
3500 3499 3498 1 4.35800599999999960
3500 3499 3498 1 4.35762300000000025
3500 3499 3498 1 4.36017000000000010
3500 3499 3498 1 4.36299300000000034
3500 3499 3498 1 4.36337200000000003
5500 5499 1833 2 3.72491400000000006
3500 3499 3498 1 4.41573100000000007
5500 5499 1833 2 3.77795699999999979
6500 6499 66 1 0.10064400000000000
6000 5999 6 1 0.02377400000000000
6000 5999 6 1 0.02119400000000000
6500 6499 66 1 0.09604799999999999
6500 6499 66 1 0.09185300000000000
6500 6499 66 1 0.09409500000000000
6500 6499 66 1 0.09687400000000000
6500 6499 97 2 0.13910200000000000
6500 6499 66 1 0.09449700000000000
6500 6499 66 1 0.09714299999999999
6500 6499 66 1 0.09585800000000000
6500 6499 66 1 0.09569400000000000
6000 5999 857 2 1.78827899999999995
6000 5999 856 1 1.77371499999999993
6000 5999 856 1 1.79664200000000007
6000 5999 856 1 1.77302599999999999
6000 5999 856 1 1.78228499999999990
5000 4999 4998 1 10.63012200000000007
5000 4999 4998 1 10.64655100000000054
5000 4999 4998 1 10.65361200000000075
5000 4999 4998 1 10.64964699999999986
5000 4999 4998 1 10.64787300000000059
5000 4999 4998 1 10.67297800000000052
5000 4999 4998 1 10.66432499999999983
5000 4999 4998 1 10.70391500000000029
5000 4999 4998 1 10.71142399999999917
5000 4999 4998 1 10.68896299999999933
8000 7999 18 1 0.04732900000000000
8000 7999 18 1 0.04361800000000000
8000 7999 18 1 0.04221700000000000
8000 7999 18 1 0.04372900000000000
8000 7999 18 1 0.04382400000000000
8000 7999 18 1 0.04310800000000000
8000 7999 18 1 0.04333000000000000
8000 7999 18 1 0.04653100000000000
8000 7999 18 1 0.04632200000000000
7000 6999 2332 1 7.08127700000000004
7000 6999 2333 2 7.07897200000000026
7000 6999 2333 2 7.09013100000000041
7000 6999 2332 1 7.10029800000000044
7000 6999 2332 1 7.08061299999999960
7000 6999 2332 1 7.08294099999999993
7000 6999 2332 1 7.10057199999999966
7000 6999 2333 2 7.14734200000000008
7000 6999 2332 1 7.10234599999999983
7000 6999 2332 1 7.12531400000000037
8500 8499 2833 2 0.85618700000000003
8500 8499 2832 1 11.02068000000000048
8500 8499 2832 1 11.10453900000000083
8500 8499 2833 2 11.04220800000000047
8500 8499 2832 1 11.04573700000000080
8500 8499 2833 2 11.02947400000000044
8500 8499 2832 1 11.08152499999999918
8500 8499 2832 1 11.07520599999999966
8500 8499 2832 1 11.08377600000000029
8500 8499 2832 1 11.10214900000000071
9500 9499 6 1 0.03697700000000000
9500 9499 22 1 0.05899900000000000
9500 9499 6 1 0.03338300000000000
9500 9499 22 1 0.05815800000000000
9500 9499 6 1 0.03316600000000000
9500 9499 22 1 0.05803900000000000
9500 9499 6 1 0.03301300000000000
9500 9499 6 1 0.03497600000000000
9500 9499 22 1 0.05705100000000000
10000 9999 10 1 0.03989100000000000
10000 9999 8 1 0.04102600000000000
10000 9999 32 1 0.07341700000000000
9500 9499 1357 2 0.70214100000000002
10000 9999 1111 2 0.50251100000000004
10000 9999 8 1 0.04100000000000000
10000 9999 1111 2 0.50200000000000000
10000 9999 3333 2 1.21530800000000005
10000 9999 8 1 0.03777100000000000
10000 9999 908 1 3.57615200000000000
7500 7499 7498 1 27.49007800000000046
7500 7499 7498 1 27.18862000000000023
7500 7499 7498 1 27.49880699999999933
7500 7499 7498 1 27.31390599999999935
7500 7499 7498 1 27.08619200000000049
7500 7499 7498 1 27.31060199999999938
7500 7499 7498 1 27.30831699999999884
7500 7499 7498 1 27.24403200000000069
7500 7499 7498 1 27.24659000000000120
7500 7499 7498 1 27.19793200000000155
10000 9999 3333 2 16.03468799999999916
8000 7999 7998 1 31.44927200000000056
9000 8999 8998 1 43.43559400000000181
9000 8999 8998 1 43.82631899999999803
9000 8999 8998 1 44.19604400000000055
9000 8999 8998 1 43.73838700000000301
9000 8999 8998 1 43.44288999999999845
9000 8999 8998 1 43.44007400000000274
9000 8999 8998 1 43.78448300000000160
9000 8999 8998 1 43.68245100000000036
9000 8999 8998 1 43.82007699999999772
9000 8999 8998 1 43.92572400000000243
