Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.35549700000000001
3500 968691 3498 2 0.64565600000000001
3500 1034724 3498 2 0.62333499999999997
3500 1065931 3498 2 0.69576899999999997
3500 1288276 3498 2 0.87872099999999997
4500 546875 4498 2 0.25186399999999998
4500 521339 4498 2 0.19407700000000000
3500 1436875 3498 2 0.98172599999999999
5000 149100 4998 2 0.06734700000000000
4500 1569339 4498 2 0.97001599999999999
4000 1853775 3998 2 1.37692400000000004
3500 2125476 3498 2 1.73046499999999992
3500 2585019 3498 2 2.41340300000000019
4500 4140900 4498 2 4.27939299999999978
3500 2710851 3498 2 2.76055699999999993
3500 2876739 3498 2 3.20004199999999983
4000 3173719 3998 2 3.04011999999999993
3500 3058011 3498 2 4.02885899999999975
5000 2486400 4998 2 1.53361700000000001
4000 3345519 3998 2 3.42803000000000013
4000 3358399 3998 2 3.40515599999999985
4000 3613116 3998 2 3.91011499999999979
4000 3745984 3998 2 4.24875799999999959
5000 3481104 4998 2 2.23275099999999993
4000 3847119 3998 2 4.57638299999999987
4000 3761856 3998 2 4.43690400000000018
5000 3243244 4998 2 2.10616199999999987
5000 1998156 4998 2 1.34330599999999989
4000 3968671 3998 2 5.20676399999999973
4500 4268619 4498 2 3.86500300000000019
4500 4203171 4498 2 3.47992200000000018
5000 3319056 4998 2 2.67243299999999984
4500 4780539 4498 2 4.20473500000000033
4500 5013659 4498 2 6.49455799999999961
4500 5045076 4498 2 7.02491100000000035
4500 5060736 4498 2 5.98201599999999978
5000 5265936 4998 2 5.12371599999999994
5000 5969100 4998 2 6.78174399999999977
5000 6249039 4998 2 7.50534999999999997
5000 6156364 4998 2 8.33582099999999926
