Nodos Aristas Frontera |CMF| Segundos
3500 4572736 71455 27 4.06196499999999983
3500 4542999 63215 24 3.77537399999999979
3500 4794415 85847 31 4.42578799999999983
3500 5301281 142865 47 6.00185299999999966
4000 5869820 74562 25 4.85370699999999999
4000 6215014 94454 30 5.77261100000000038
4500 6868362 65157 21 5.57282999999999973
4500 7490841 84213 25 6.34883299999999995
4500 7546209 95140 28 6.38022899999999993
4000 7212961 233430 65 9.27044399999999946
4500 7828469 102000 29 7.09936300000000031
5000 8378002 68422 20 10.37071399999999954
5000 10191113 147905 36 9.60983899999999913
5000 8749880 81853 23 11.83533899999999939
5000 10096889 138723 34 10.20099899999999948
5000 10345558 175028 42 11.11277199999999965
3500 6002456 980104 312 25.64548399999999972
4000 7743615 712565 192 20.23927700000000129
4000 7791757 867021 235 25.15651799999999838
4500 9676847 608254 145 24.28943299999999894
