Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
4 3 2 1 0.00000000000000000
3 2 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
4 3 1 1 0.00000000000000000
4 3 3 1 0.00000000000000000
3 2 2 1 0.00000000000000000
3 2 1 1 0.00000000000000000
5 4 1 1 0.00000000000000000
4 3 2 2 0.00000000000000000
5 5 2 2 0.00000000000000000
3 2 2 1 0.00000000000000000
4 3 2 2 0.00000000000000000
2 1 1 1 0.00000000000000000
5 4 1 1 0.00000000000000000
5 5 3 2 0.00000000000000000
3 2 1 1 0.00000000000000000
5 4 2 2 0.00000000000000000
6 5 2 2 0.00000000000000000
2 1 1 1 0.00000000000000000
6 5 2 2 0.00000000000000000
4 4 2 1 0.00000000000000000
6 5 2 2 0.00000000000000000
6 8 4 1 0.00000000000000000
2 1 1 1 0.00000000000000000
4 3 2 2 0.00000000000000000
5 4 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
7 10 5 1 0.00000000000000000
2 1 1 1 0.00000000000000000
6 8 4 2 0.00000000000000000
6 9 4 2 0.00000000000000000
7 9 5 2 0.00000000000000000
7 6 3 2 0.00000000000000000
7 7 4 2 0.00000000000000000
5 4 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
7 6 2 1 0.00000000000000000
5 6 3 1 0.00000000000000000
5 6 3 2 0.00000000000000000
6 7 4 2 0.00000000000000000
7 7 3 1 0.00000000000000000
8 14 6 2 0.00000000000000000
8 11 3 2 0.00000000000000000
8 8 4 2 0.00000000000000000
7 10 5 2 0.00000000000000000
8 9 5 2 0.00000000000000000
7 9 5 2 0.00000000000000000
9 8 4 2 0.00000000000000000
8 7 1 1 0.00000000000000000
9 8 5 2 0.00000000000000000
6 6 2 1 0.00000000000000000
4 3 1 1 0.00000000000000000
9 13 5 2 0.00000000000000000
9 15 6 2 0.00000000000000000
9 8 2 2 0.00000000000000000
8 9 6 2 0.00000000000000000
4 3 1 1 0.00000000000000000
9 17 6 2 0.00000000000000000
8 12 6 2 0.00000000000000000
4 4 2 1 0.00000000000000000
6 5 2 2 0.00000000000000000
10 12 7 2 0.00000000000000000
10 14 8 2 0.00000000000000000
10 9 3 2 0.00000000000000000
9 16 7 2 0.00000000000000000
8 10 5 2 0.00000000000000000
10 9 3 1 0.00000000000000000
10 14 4 2 0.00000000000000000
8 13 6 2 0.00000000000000000
10 15 5 2 0.00000000000000000
9 8 3 1 0.00000000000000000
5 4 2 1 0.00000000000000000
10 21 8 2 0.00000000000000000
11 12 3 2 0.00000000000000000
12 11 2 1 0.00000000000000000
9 12 6 2 0.00000000000000000
10 16 7 2 0.00000000000000000
11 14 6 2 0.00000000000000000
12 16 2 2 0.00000000000000000
8 10 4 2 0.00000000000000000
7 11 5 2 0.00000000000000000
11 22 9 2 0.00000000000000000
12 24 10 2 0.00000000000000000
12 21 7 2 0.00000000000000000
12 11 1 1 0.00000000000000000
12 12 2 1 0.00000000000000000
11 11 4 2 0.00000000000000000
12 18 10 2 0.00000000000000000
12 24 6 2 0.00000000000000000
13 37 10 2 0.00000000000000000
13 29 10 2 0.00000000000000000
13 25 9 2 0.00000000000000000
11 10 2 1 0.00000000000000000
11 24 9 2 0.00000000000000000
14 31 10 2 0.00000000000000000
10 9 2 2 0.00000000000000000
11 10 4 2 0.00000000000000000
14 20 5 2 0.00000000000000000
13 12 5 2 0.00000000000000000
14 35 12 2 0.00000000000000000
12 20 9 2 0.00000000000000000
14 39 11 2 0.00000000000000000
14 13 3 2 0.00000000000000000
13 26 9 2 0.00000000000000000
13 29 10 2 0.00000000000000000
