Nodos Aristas Frontera |CMF| Segundos
3500 2440833 12945 9 0.00005600000000000
3500 2304885 10923 8 0.00004100000000000
4000 2901386 12179 8 0.00003300000000000
3500 3306381 25246 13 0.00007500000000000
4500 3503114 14455 9 0.00005200000000000
4000 3519505 19757 11 0.00010000000000000
3500 3708229 32574 15 0.00012300000000000
4000 3669004 20796 11 0.00007800000000000
4000 3636176 20609 11 0.00008900000000000
3500 3787449 37741 17 0.00010600000000000
4000 4420472 34013 15 0.00011200000000000
4500 5331278 29371 12 0.00008100000000000
4500 5494555 30210 12 0.00007300000000000
5000 5804579 26218 11 0.00012000000000000
4500 6535176 53437 18 0.00015900000000000
5000 6295323 30957 12 0.00016700000000000
4500 6392292 52143 18 0.00022800000000000
5000 7627871 49905 16 0.00018800000000000
5000 8035757 62226 19 0.00026700000000000
5000 8137920 56546 17 0.00020500000000000
