Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 0.00550800000000000
3500 1147129 763880 874 0.00462900000000000
3500 1147129 763880 874 0.00471000000000000
3500 1147129 763880 874 0.00505200000000000
3500 1147129 763880 874 0.00489100000000000
3500 1147129 763880 874 0.00776100000000000
3500 1147129 763880 874 0.00477800000000000
3500 1147129 763880 874 0.00470500000000000
3500 1147129 763880 874 0.00527800000000000
3500 1147129 763880 874 0.00435000000000000
4000 1498504 998005 999 0.00512100000000000
4000 1498504 998005 999 0.00537100000000000
4000 1498504 998005 999 0.00600400000000000
4000 1498504 998005 999 0.00590200000000000
4000 1498504 998005 999 0.00624400000000000
4000 1498504 998005 999 0.00784600000000000
4000 1498504 998005 999 0.00778600000000000
4000 1498504 998005 999 0.00488900000000000
4000 1498504 998005 999 0.00507300000000000
4000 1498504 998005 999 0.00541700000000000
4500 1896754 1263380 1124 0.00676400000000000
4500 1896754 1263380 1124 0.00664100000000000
4500 1896754 1263380 1124 0.00725300000000000
4500 1896754 1263380 1124 0.00611900000000000
4500 1896754 1263380 1124 0.00790700000000000
4500 1896754 1263380 1124 0.00552200000000000
4500 1896754 1263380 1124 0.00595100000000000
4500 1896754 1263380 1124 0.00667500000000000
4500 1896754 1263380 1124 0.00679400000000000
4500 1896754 1263380 1124 0.00573200000000000
5000 2341879 1560005 1249 0.00632600000000000
5000 2341879 1560005 1249 0.00664200000000000
5000 2341879 1560005 1249 0.00676800000000000
5000 2341879 1560005 1249 0.00667100000000000
5000 2341879 1560005 1249 0.00678800000000000
5000 2341879 1560005 1249 0.00663600000000000
5000 2341879 1560005 1249 0.00617000000000000
5000 2341879 1560005 1249 0.00621100000000000
5000 2341879 1560005 1249 0.00664800000000000
5000 2341879 1560005 1249 0.00637500000000000
