Nodos Aristas Frontera |CMF| Segundos
3500 5301281 146050 48 0.00044000000000000
3500 4542999 68362 26 0.00023300000000000
3500 4572736 68874 26 0.00023500000000000
3500 4794415 88563 32 0.00029200000000000
3500 6002456 982958 313 0.00370500000000000
4000 5869820 74548 25 0.00027800000000000
4000 6215014 94327 30 0.00032200000000000
4500 6868362 62258 20 0.00026100000000000
4000 7212961 236937 66 0.00067600000000000
4500 7490841 81126 24 0.00035300000000000
4500 7546209 88708 26 0.00032300000000000
4000 7743615 719742 194 0.00232500000000000
4000 7791757 870487 236 0.00331300000000000
4500 7828469 105522 30 0.00035900000000000
5000 8378002 68392 20 0.00027600000000000
5000 8749880 78229 22 0.00028400000000000
4500 9676847 596467 142 0.00171900000000000
5000 10191113 144115 35 0.00046800000000000
5000 10096889 150946 37 0.00044500000000000
5000 10345558 166587 40 0.00051000000000000
