Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.00144700000000000
3500 968691 3498 2 0.00061200000000000
3500 1034724 3498 2 0.00061700000000000
3500 1065931 3498 2 0.00116100000000000
3500 1288276 3498 2 0.00063900000000000
4500 546875 4498 2 0.00053900000000000
4500 521339 4498 2 0.00028900000000000
3500 1436875 3498 2 0.00057800000000000
5000 149100 4998 2 0.00054400000000000
4500 1569339 4498 2 0.00055600000000000
3500 3058011 3498 2 0.00075800000000000
4000 1853775 3998 2 0.00052400000000000
3500 2125476 3498 2 0.00056500000000000
3500 2585019 3498 2 0.00063100000000000
3500 2710851 3498 2 0.00114300000000000
3500 2876739 3498 2 0.00056800000000000
4000 3173719 3998 2 0.00056200000000000
4000 3358399 3998 2 0.00047700000000000
4000 3345519 3998 2 0.00102100000000000
5000 2486400 4998 2 0.00062600000000000
4000 3613116 3998 2 0.00043800000000000
5000 3243244 4998 2 0.00023900000000000
4000 3761856 3998 2 0.00045600000000000
4000 3745984 3998 2 0.00057000000000000
4000 3847119 3998 2 0.01097900000000000
4000 3968671 3998 2 0.00043300000000000
5000 3481104 4998 2 0.00037800000000000
4500 4140900 4498 2 0.00038400000000000
5000 1998156 4998 2 0.00055300000000000
4500 4268619 4498 2 0.00030300000000000
4500 4203171 4498 2 0.00021600000000000
5000 3319056 4998 2 0.00022300000000000
4500 5013659 4498 2 0.00012900000000000
4500 5045076 4498 2 0.00021700000000000
4500 4780539 4498 2 0.00008400000000000
4500 5060736 4498 2 0.00025900000000000
5000 5265936 4998 2 0.00010000000000000
5000 6249039 4998 2 0.00011800000000000
5000 5969100 4998 2 0.00009700000000000
5000 6156364 4998 2 0.00009700000000000
