Nodos Aristas Frontera |CMF| Segundos
3500 5301281 142865 47 0.02087900000000000
3500 4542999 63169 24 0.00706800000000000
3500 4572736 73871 28 0.00867000000000000
3500 4794415 83122 30 0.00633800000000000
4000 5869820 71581 24 0.00331300000000000
4000 6215014 94384 30 0.00862500000000000
4500 6868362 62267 20 0.00322500000000000
4000 7212961 233430 65 0.05949700000000000
4500 7490841 84278 25 0.00590800000000000
4500 7546209 95113 28 0.00939700000000000
4500 7828469 102000 29 0.00969600000000000
5000 8378002 64675 19 0.00337800000000000
5000 8749880 78118 22 0.00509300000000000
5000 10191113 143922 35 0.01572600000000000
5000 10096889 138723 34 0.01052800000000000
5000 10345558 166734 40 0.02194000000000000
4000 7743615 712683 192 1.20909399999999989
4500 9676847 595906 142 0.64094399999999996
4000 7791757 863494 234 2.37945599999999979
3500 6002456 977317 311 4.49988999999999972
