Nodos Aristas Frontera |CMF| Segundos
3500 2304885 10923 8 0.00109100000000000
3500 2440833 14385 10 0.00226200000000000
4000 2901386 13621 9 0.00080000000000000
3500 3708229 34743 16 0.00200600000000000
4000 3636176 22404 12 0.00170900000000000
4000 3669004 20805 11 0.00165400000000000
4000 3519505 19757 11 0.00111000000000000
4000 4420472 34039 15 0.00215400000000000
4500 5494555 30210 12 0.00074400000000000
4500 5331278 31731 13 0.00161700000000000
5000 5804579 26240 11 0.00132400000000000
4500 6392292 55030 19 0.00496800000000000
4500 6535176 53437 18 0.00160800000000000
5000 7627871 49905 16 0.00187400000000000
5000 8137920 63027 19 0.00468100000000000
5000 8035757 68669 21 0.00789500000000000
3500 3306381 25246 13 0.00069900000000000
4500 3503114 14455 9 0.00043000000000000
3500 3787449 37741 17 0.04346400000000000
5000 6295323 33493 13 0.00505900000000000
