Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
3 2 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
4 3 3 1 0.00000000000000000
4 3 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
4 3 2 1 0.00000000000000000
3 2 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
3 2 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
4 3 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
5 4 2 1 0.00000000000000000
5 4 3 1 0.00000000000000000
5 4 3 1 0.00000000000000000
4 3 3 1 0.00000000000000000
6 5 3 1 0.00000000000000000
2 1 1 1 0.00000000000000000
6 5 2 1 0.00000000000000000
5 6 5 2 0.00000000000000000
4 3 3 1 0.00000000000000000
6 8 5 2 0.00000000000000000
6 5 3 1 0.00000000000000000
4 3 2 1 0.00000000000000000
5 4 3 1 0.00000000000000000
5 5 3 1 0.00000000000000000
3 2 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
6 7 6 2 0.00000000000000000
6 8 6 2 0.00000000000000000
7 11 7 2 0.00000000000000000
4 3 3 1 0.00000000000000000
5 6 5 2 0.00000000000000000
7 11 6 2 0.00000000000000000
5 6 5 2 0.00000000000000000
8 12 7 2 0.00000000000000000
7 7 3 1 0.00000000000000000
2 1 1 1 0.00000000000000000
8 14 8 2 0.00000000000000000
6 5 3 1 0.00000000000000000
7 10 7 2 0.00000000000000000
7 13 8 2 0.00000000000000000
8 13 6 2 0.00000000000000000
8 15 8 2 0.00000000000000000
8 13 7 2 0.00000000000000000
7 9 7 2 0.00000000000000000
6 7 6 2 0.00000000000000000
7 13 8 2 0.00000000000000000
6 7 4 2 0.00000000000000000
9 21 11 2 0.00000000000000000
8 15 8 3 0.00000000000000000
9 13 7 2 0.00000000000000000
9 18 10 2 0.00000000000000000
9 13 6 2 0.00000000000000000
7 11 6 2 0.00000000000000000
9 18 8 2 0.00000000000000000
9 14 6 2 0.00000000000000000
10 24 14 3 0.00000000000000000
8 13 6 2 0.00000000000000000
10 21 12 3 0.00000000000000000
10 29 18 3 0.00000000000000000
9 16 7 2 0.00000000000000000
3 2 2 1 0.00000000000000000
4 3 3 1 0.00000000000000000
8 18 12 3 0.00000000000000000
10 29 17 3 0.00000000000000000
10 29 15 3 0.00000000000000000
6 7 4 2 0.00000000000000000
9 21 11 3 0.00000000000000000
8 13 7 2 0.00000000000000000
11 22 10 2 0.00000000000000000
7 9 5 2 0.00000000000000000
11 29 17 3 0.00000000000000000
11 31 14 3 0.00000000000000000
11 35 18 3 0.00000000000000000
11 22 10 3 0.00000000000000000
12 31 15 3 0.00000000000000000
11 31 16 4 0.00000100000000000
12 43 23 4 0.00000000000000000
12 41 27 4 0.00000100000000000
10 16 8 2 0.00000000000000000
12 26 13 3 0.00000000000000000
12 35 19 3 0.00000000000000000
11 26 12 3 0.00000000000000000
3 2 2 1 0.00000000000000000
11 31 15 3 0.00000000000000000
12 29 12 3 0.00000000000000000
11 19 7 2 0.00000000000000000
10 24 14 3 0.00000000000000000
10 27 16 3 0.00000000000000000
12 32 20 4 0.00000100000000000
13 30 11 3 0.00000000000000000
8 18 11 3 0.00000000000000000
13 40 24 4 0.00000100000000000
10 18 11 3 0.00000000000000000
13 46 22 4 0.00000000000000000
5 5 3 1 0.00000000000000000
14 39 19 4 0.00000100000000000
10 18 8 2 0.00000000000000000
14 56 30 5 0.00000100000000000
14 48 23 4 0.00000100000000000
9 22 11 3 0.00000000000000000
12 39 21 4 0.00000100000000000
12 31 14 3 0.00000000000000000
13 33 16 4 0.00000100000000000
14 44 17 3 0.00000000000000000
7 11 6 2 0.00000000000000000
13 45 24 4 0.00000100000000000
14 46 24 4 0.00000000000000000
9 22 12 3 0.00000000000000000
13 43 20 4 0.00000000000000000
15 55 26 4 0.00000000000000000
13 36 17 3 0.00000000000000000
15 39 16 3 0.00000000000000000
15 45 20 3 0.00000000000000000
13 27 10 2 0.00000000000000000
5 5 3 1 0.00000000000000000
14 44 18 3 0.00000000000000000
15 42 14 3 0.00000000000000000
16 52 23 4 0.00000100000000000
16 62 35 5 0.00000100000000000
14 35 16 3 0.00000000000000000
15 58 25 4 0.00000000000000000
15 60 28 4 0.00000100000000000
15 69 37 5 0.00000100000000000
16 56 21 4 0.00000100000000000
15 44 17 3 0.00000000000000000
11 22 11 3 0.00000000000000000
14 50 26 4 0.00000000000000000
13 42 19 4 0.00000100000000000
17 67 28 4 0.00000100000000000
16 72 36 5 0.00000100000000000
16 54 15 4 0.00000100000000000
17 82 38 5 0.00000200000000000
17 71 26 5 0.00000100000000000
17 72 30 5 0.00000100000000000
14 57 25 4 0.00000000000000000
16 43 20 4 0.00000100000000000
16 69 32 5 0.00000100000000000
13 47 25 4 0.00000100000000000
17 58 22 4 0.00000100000000000
3 2 2 1 0.00000000000000000
18 65 23 4 0.00000100000000000
18 80 34 5 0.00000100000000000
14 39 16 3 0.00000000000000000
18 71 26 4 0.00000100000000000
17 57 25 4 0.00000100000000000
18 83 33 5 0.00000100000000000
15 49 22 4 0.00000100000000000
17 89 32 4 0.00000100000000000
2 1 1 1 0.00000000000000000
18 78 32 4 0.00000100000000000
3 2 2 1 0.00000000000000000
19 72 30 4 0.00000100000000000
19 67 27 4 0.00000000000000000
17 46 15 3 0.00000000000000000
19 75 21 3 0.00000000000000000
18 93 41 5 0.00000100000000000
19 87 30 4 0.00000100000000000
20 65 24 4 0.00000100000000000
19 67 27 4 0.00000100000000000
16 75 39 5 0.00000100000000000
20 83 36 4 0.00000000000000000
19 66 27 4 0.00000100000000000
17 47 14 3 0.00000100000000000
20 91 31 4 0.00000100000000000
20 77 29 4 0.00000100000000000
19 68 28 4 0.00000000000000000
20 122 54 6 0.00000200000000000
21 136 51 6 0.00000200000000000
21 88 33 4 0.00000100000000000
18 82 44 5 0.00000100000000000
18 64 29 4 0.00000100000000000
21 125 61 6 0.00000200000000000
20 85 25 3 0.00000100000000000
16 45 18 3 0.00000000000000000
21 77 24 4 0.00000100000000000
21 120 43 4 0.00000100000000000
19 93 39 5 0.00000100000000000
21 93 32 4 0.00000100000000000
20 86 23 4 0.00000100000000000
22 95 39 5 0.00000100000000000
20 81 30 4 0.00000100000000000
21 125 50 5 0.00000100000000000
22 117 55 6 0.00000200000000000
22 104 44 5 0.00000100000000000
21 81 31 5 0.00000200000000000
18 65 29 4 0.00000100000000000
22 118 42 5 0.00000200000000000
19 103 48 6 0.00000200000000000
12 41 20 4 0.00000100000000000
22 110 39 5 0.00000100000000000
18 83 33 4 0.00000100000000000
15 62 32 4 0.00000100000000000
23 128 52 6 0.00000200000000000
22 111 47 5 0.00000100000000000
23 149 73 6 0.00000100000000000
23 110 33 4 0.00000100000000000
20 93 38 4 0.00000100000000000
17 71 35 5 0.00000100000000000
23 143 62 7 0.00000300000000000
23 160 66 6 0.00000200000000000
23 134 66 6 0.00000200000000000
21 124 52 6 0.00000100000000000
23 131 45 5 0.00000200000000000
21 86 34 4 0.00000100000000000
24 108 34 4 0.00000100000000000
23 127 49 5 0.00000100000000000
24 169 60 5 0.00000200000000000
24 135 50 5 0.00000100000000000
16 63 30 4 0.00000100000000000
24 123 39 4 0.00000100000000000
22 90 29 4 0.00000100000000000
25 125 42 4 0.00000100000000000
24 164 70 6 0.00000300000000000
23 148 64 6 0.00000200000000000
24 144 43 4 0.00000100000000000
25 164 65 6 0.00000200000000000
24 166 78 8 0.00000500000000000
25 174 73 7 0.00000500000000000
25 140 48 5 0.00000100000000000
25 137 46 5 0.00000200000000000
25 179 66 6 0.00000300000000000
24 140 45 5 0.00000200000000000
30 230 78 6 0.00000300000000000
23 141 49 5 0.00000100000000000
22 107 51 5 0.00000100000000000
25 166 65 6 0.00000400000000000
22 99 36 5 0.00000100000000000
19 73 25 4 0.00000100000000000
24 112 38 5 0.00000200000000000
25 181 73 7 0.00000400000000000
30 266 109 8 0.00000600000000000
24 139 56 6 0.00000200000000000
30 213 74 6 0.00000300000000000
30 257 99 7 0.00000400000000000
30 202 59 5 0.00000100000000000
25 137 40 4 0.00000100000000000
30 165 35 3 0.00000100000000000
35 217 57 5 0.00000300000000000
35 236 47 4 0.00000100000000000
35 262 66 4 0.00000100000000000
35 268 82 6 0.00000300000000000
22 102 36 4 0.00000100000000000
35 335 91 5 0.00000300000000000
30 275 125 9 0.00000800000000000
35 372 139 8 0.00000600000000000
35 221 49 4 0.00000100000000000
30 206 64 6 0.00000300000000000
30 263 92 7 0.00000400000000000
40 284 57 4 0.00000200000000000
35 335 118 7 0.00000600000000000
30 182 46 4 0.00000200000000000
25 174 68 6 0.00000300000000000
40 288 82 6 0.00000200000000000
35 363 134 8 0.00000500000000000
20 90 36 5 0.00000100000000000
40 331 80 6 0.00000300000000000
40 446 132 7 0.00000400000000000
45 352 78 5 0.00000200000000000
40 452 129 6 0.00000300000000000
40 381 123 7 0.00000600000000000
40 291 74 5 0.00000200000000000
40 384 116 7 0.00000500000000000
35 332 110 7 0.00000300000000000
45 365 79 4 0.00000100000000000
40 508 175 9 0.00001300000000000
40 445 158 8 0.00000700000000000
45 369 92 6 0.00000300000000000
50 441 78 5 0.00000200000000000
45 536 152 7 0.00000700000000000
45 421 112 5 0.00000200000000000
50 426 72 4 0.00000200000000000
50 550 129 6 0.00000400000000000
50 456 97 5 0.00000300000000000
45 651 186 7 0.00000800000000000
50 576 111 5 0.00000400000000000
45 367 64 4 0.00000100000000000
45 597 178 8 0.00001100000000000
45 633 207 8 0.00000800000000000
45 499 150 7 0.00000600000000000
50 631 151 6 0.00000400000000000
50 789 243 9 0.00001200000000000
50 787 234 8 0.00000700000000000
60 611 94 4 0.00000100000000000
50 553 115 5 0.00000400000000000
60 715 122 5 0.00000200000000000
50 714 183 7 0.00000600000000000
60 750 164 7 0.00000700000000000
60 1007 202 7 0.00000500000000000
