Nodos Aristas Frontera |CMF| Segundos
17 31 15 2 0.00000000000000000
27 66 35 6 0.00000200000000000
85 694 424 21 0.00002200000000000
44 169 96 10 0.00000400000000000
70 461 292 17 0.00001200000000000
30 86 47 7 0.00000200000000000
27 66 35 6 0.00000200000000000
40 139 78 9 0.00000400000000000
44 169 96 10 0.00000400000000000
27 66 39 6 0.00000100000000000
30 86 52 7 0.00000200000000000
34 110 61 8 0.00000300000000000
27 66 35 6 0.00000200000000000
30 86 52 7 0.00000200000000000
70 461 277 17 0.00001400000000000
47 201 115 11 0.00000500000000000
85 694 443 21 0.00002100000000000
44 169 96 10 0.00000400000000000
37 136 83 9 0.00000300000000000
40 139 78 9 0.00000400000000000
27 66 39 6 0.00000100000000000
20 34 18 2 0.00000000000000000
55 276 161 13 0.00000800000000000
23 48 28 5 0.00000100000000000
70 461 277 17 0.00001400000000000
27 66 25 2 0.00000000000000000
44 169 96 10 0.00000400000000000
20 34 18 2 0.00000000000000000
110 1136 732 27 0.00003900000000000
47 201 115 11 0.00000500000000000
23 48 28 5 0.00000100000000000
34 110 61 8 0.00000300000000000
20 34 18 2 0.00000000000000000
27 66 35 6 0.00000200000000000
44 169 104 10 0.00000400000000000
41 166 102 10 0.00000400000000000
37 136 83 9 0.00000300000000000
27 66 39 6 0.00000100000000000
30 86 47 7 0.00000200000000000
34 110 61 8 0.00000300000000000
20 34 18 2 0.00000000000000000
70 461 277 17 0.00001400000000000
44 169 104 10 0.00000400000000000
28 67 40 6 0.00000100000000000
31 87 52 7 0.00000200000000000
20 34 18 2 0.00000000000000000
41 166 94 10 0.00000400000000000
47 201 115 11 0.00000500000000000
24 49 21 2 0.00000000000000000
28 67 26 2 0.00000000000000000
55 276 161 13 0.00000800000000000
31 87 52 7 0.00000200000000000
34 110 61 8 0.00000300000000000
37 136 83 9 0.00000300000000000
20 34 20 4 0.00000000000000000
44 169 96 10 0.00000400000000000
28 67 40 6 0.00000100000000000
31 87 47 7 0.00000200000000000
70 461 277 17 0.00001400000000000
24 49 21 2 0.00000000000000000
41 166 102 10 0.00000400000000000
90 761 487 22 0.00002500000000000
28 67 36 6 0.00000100000000000
44 169 42 2 0.00000000000000000
55 276 161 13 0.00000700000000000
31 87 52 7 0.00000200000000000
110 1136 732 27 0.00003900000000000
41 166 94 10 0.00000400000000000
21 46 24 5 0.00000100000000000
28 67 36 6 0.00000200000000000
47 201 115 11 0.00000500000000000
34 110 61 8 0.00000300000000000
31 87 52 7 0.00000200000000000
24 49 29 5 0.00000100000000000
28 67 40 6 0.00000100000000000
55 276 172 13 0.00000700000000000
34 110 32 2 0.00000000000000000
70 461 292 17 0.00001200000000000
31 87 47 7 0.00000200000000000
28 67 36 6 0.00000200000000000
24 49 21 2 0.00000000000000000
45 199 123 11 0.00000500000000000
41 166 94 10 0.00000400000000000
34 110 61 8 0.00000300000000000
24 49 21 2 0.00000000000000000
21 46 19 2 0.00000000000000000
28 67 26 2 0.00000000000000000
48 202 125 11 0.00000500000000000
55 276 172 13 0.00000700000000000
41 166 39 2 0.00000000000000000
37 136 83 9 0.00000300000000000
90 761 487 22 0.00002300000000000
28 67 40 6 0.00000100000000000
24 49 22 2 0.00000000000000000
31 87 47 7 0.00000200000000000
45 199 123 11 0.00000500000000000
21 46 27 5 0.00000100000000000
34 110 67 8 0.00000200000000000
41 166 102 10 0.00000400000000000
31 87 47 7 0.00000200000000000
28 67 26 2 0.00000000000000000
55 276 172 13 0.00000700000000000
48 202 116 11 0.00000500000000000
41 166 102 10 0.00000400000000000
45 199 114 11 0.00000500000000000
110 1136 707 27 0.00004300000000000
37 136 35 2 0.00000000000000000
29 85 46 7 0.00000200000000000
31 87 47 7 0.00000200000000000
17 31 14 2 0.00000000000000000
41 166 94 10 0.00000400000000000
21 46 24 5 0.00000100000000000
29 85 51 7 0.00000200000000000
24 49 29 5 0.00000100000000000
45 199 114 11 0.00000500000000000
34 110 61 8 0.00000300000000000
21 46 27 5 0.00000100000000000
17 31 14 2 0.00000000000000000
90 761 467 22 0.00002500000000000
31 87 47 7 0.00000200000000000
29 85 27 2 0.00000000000000000
24 49 22 2 0.00000000000000000
41 166 39 2 0.00000000000000000
75 516 327 18 0.00001400000000000
55 276 161 13 0.00000800000000000
29 85 51 7 0.00000200000000000
34 110 67 8 0.00000200000000000
42 167 95 10 0.00000400000000000
32 88 53 7 0.00000200000000000
48 202 116 11 0.00000500000000000
29 85 46 7 0.00000200000000000
37 136 83 9 0.00000300000000000
75 516 73 2 0.00000000000000000
32 88 30 2 0.00000000000000000
24 49 29 5 0.00000100000000000
29 85 51 7 0.00000200000000000
90 761 467 22 0.00002500000000000
35 111 61 8 0.00000300000000000
42 167 103 10 0.00000400000000000
32 88 53 7 0.00000200000000000
29 85 46 7 0.00000200000000000
45 199 123 11 0.00000500000000000
17 31 14 2 0.00000000000000000
24 49 21 2 0.00000000000000000
32 88 48 7 0.00000200000000000
29 85 46 7 0.00000200000000000
42 167 103 10 0.00000400000000000
21 46 19 2 0.00000000000000000
48 202 116 11 0.00000600000000000
38 137 77 9 0.00000400000000000
32 88 48 7 0.00000200000000000
29 85 46 7 0.00000200000000000
55 276 172 13 0.00000700000000000
17 31 15 2 0.00000000000000000
42 167 103 10 0.00000400000000000
38 137 84 9 0.00000300000000000
29 85 46 7 0.00000200000000000
45 199 123 11 0.00000500000000000
35 111 67 8 0.00000200000000000
32 88 48 7 0.00000200000000000
21 46 24 5 0.00000100000000000
48 202 116 11 0.00000500000000000
110 1136 732 27 0.00004000000000000
42 167 95 10 0.00000400000000000
32 88 48 7 0.00000200000000000
75 516 311 18 0.00001500000000000
90 761 487 22 0.00002300000000000
45 199 114 11 0.00000500000000000
21 46 27 5 0.00000100000000000
17 31 15 2 0.00000000000000000
35 111 67 8 0.00000200000000000
25 64 34 6 0.00000100000000000
