Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00086900000000000
2 1 1 1 0.00000100000000000
4 3 3 1 0.00000200000000000
3 2 1 1 0.00000100000000000
3 2 1 1 0.00000200000000000
3 2 1 1 0.00000100000000000
4 3 1 1 0.00000100000000000
2 1 1 1 0.00000400000000000
3 2 2 1 0.00000200000000000
4 3 1 1 0.00000100000000000
4 3 2 1 0.00000000000000000
2 1 1 1 0.00000100000000000
4 4 2 1 0.00000000000000000
3 2 1 1 0.00000100000000000
2 1 1 1 0.00000400000000000
5 5 3 2 0.00000100000000000
5 5 3 1 0.00000100000000000
4 3 3 1 0.00000100000000000
3 2 1 1 0.00000200000000000
4 4 2 1 0.00000000000000000
2 1 1 1 0.00000100000000000
5 4 2 1 0.00000100000000000
6 6 2 1 0.00000000000000000
2 1 1 1 0.00000100000000000
6 5 4 2 0.00000000000000000
5 4 2 1 0.00000000000000000
6 5 3 1 0.00000000000000000
3 2 2 1 0.00000100000000000
6 5 3 1 0.00000100000000000
5 6 3 2 0.00000100000000000
6 9 4 2 0.00000000000000000
5 4 3 1 0.00000100000000000
6 8 4 1 0.00000000000000000
5 4 1 1 0.00000100000000000
7 7 4 2 0.00000000000000000
7 6 2 1 0.00000000000000000
2 1 1 1 0.00000300000000000
7 10 5 2 0.00000100000000000
6 5 3 1 0.00000100000000000
7 11 4 2 0.00000100000000000
7 10 5 1 0.00000000000000000
8 11 3 2 0.00000100000000000
4 3 3 1 0.00000000000000000
8 8 4 2 0.00000100000000000
3 2 2 1 0.00000300000000000
6 8 4 2 0.00000000000000000
3 2 1 1 0.00000100000000000
8 13 6 2 0.00000100000000000
5 6 3 1 0.00000000000000000
8 12 6 2 0.00000000000000000
7 7 3 1 0.00001300000000000
9 16 7 2 0.00000000000000000
6 7 4 2 0.00000300000000000
9 8 4 2 0.00000100000000000
9 8 5 2 0.00000000000000000
8 10 6 1 0.00000100000000000
8 10 4 2 0.00000000000000000
9 12 6 2 0.00000000000000000
8 9 3 2 0.00000000000000000
