Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00000000000000000
3 2 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
4 3 2 1 0.00000000000000000
3 2 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
4 3 2 2 0.00000000000000000
3 2 1 1 0.00000000000000000
5 4 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
4 3 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
5 5 3 2 0.00000000000000000
5 4 1 1 0.00000000000000000
3 2 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
5 6 4 2 0.00000000000000000
5 5 3 2 0.00000000000000000
6 8 5 2 0.00000000000000000
6 8 5 2 0.00000000000000000
4 3 2 2 0.00000000000000000
4 3 1 1 0.00000000000000000
3 2 2 1 0.00000000000000000
4 3 2 2 0.00000000000000000
4 3 2 2 0.00000000000000000
7 9 6 2 0.00000000000000000
5 4 3 2 0.00000000000000000
6 5 2 1 0.00000000000000000
6 7 2 1 0.00000000000000000
4 3 2 1 0.00000000000000000
2 1 1 1 0.00000000000000000
2 1 1 1 0.00000000000000000
6 5 1 1 0.00000000000000000
7 11 4 2 0.00000000000000000
7 11 6 3 0.00000000000000000
5 6 5 2 0.00000000000000000
3 2 1 1 0.00000000000000000
6 5 1 1 0.00000000000000000
8 13 6 2 0.00000000000000000
8 12 7 2 0.00000000000000000
8 18 12 3 0.00000000000000000
7 10 5 2 0.00000000000000000
8 14 7 2 0.00000000000000000
8 13 6 2 0.00000000000000000
9 18 8 3 0.00000000000000000
8 13 6 2 0.00000000000000000
6 7 3 2 0.00000000000000000
7 11 5 3 0.00000000000000000
6 5 1 1 0.00000000000000000
5 4 1 1 0.00000000000000000
7 13 6 3 0.00000000000000000
9 18 9 2 0.00000000000000000
9 14 6 2 0.00000000000000000
9 16 6 2 0.00000000000000000
2 1 1 1 0.00000000000000000
8 18 11 3 0.00000000000000000
9 13 5 2 0.00000000000000000
9 21 9 3 0.00000000000000000
9 22 11 3 0.00000000000000000
10 29 16 4 0.00000000000000000
7 13 8 3 0.00000000000000000
10 29 17 4 0.00000000000000000
10 24 12 3 0.00000000000000000
5 5 3 2 0.00000000000000000
5 6 3 2 0.00000000000000000
10 16 5 2 0.00000000000000000
8 15 8 3 0.00000000000000000
11 31 12 3 0.00000000000000000
9 13 6 2 0.00000000000000000
9 22 12 4 0.00000000000000000
11 35 15 3 0.00000000000000000
11 29 15 4 0.00000000000000000
11 22 10 3 0.00000000000000000
7 11 7 3 0.00000000000000000
7 7 3 2 0.00000000000000000
11 22 6 2 0.00000000000000000
10 18 4 2 0.00000000000000000
10 24 14 3 0.00000000000000000
12 41 25 5 0.00000000000000000
11 31 15 4 0.00000000000000000
12 43 21 5 0.00000000000000000
12 41 14 3 0.00000000000000000
10 27 16 4 0.00000000000000000
12 31 10 3 0.00000000000000000
8 15 8 3 0.00000000000000000
4 3 2 2 0.00000000000000000
12 39 21 5 0.00000000000000000
12 35 18 4 0.00000000000000000
10 21 11 4 0.00000000000000000
11 26 12 3 0.00000000000000000
11 19 7 2 0.00000000000000000
10 18 3 2 0.00000000000000000
13 27 10 2 0.00000000000000000
11 31 15 4 0.00000000000000000
13 47 23 5 0.00000000000000000
6 7 6 2 0.00000000000000000
13 33 16 4 0.00000000000000000
11 22 5 2 0.00000000000000000
13 30 11 3 0.00000000000000000
12 32 16 4 0.00000000000000000
12 26 13 3 0.00000000000000000
13 43 20 4 0.00000000000000000
13 45 17 3 0.00000000000000000
2 1 1 1 0.00000000000000000
14 39 13 3 0.00000000000000000
14 44 17 3 0.00000000000000000
15 39 16 3 0.00000000000000000
13 42 15 4 0.00000000000000000
7 9 4 2 0.00000000000000000
14 50 23 4 0.00000000000000000
14 39 5 2 0.00000000000000000
14 44 18 4 0.00000000000000000
4 3 1 1 0.00000000000000000
13 36 16 4 0.00000100000000000
6 7 6 2 0.00000000000000000
14 57 25 4 0.00000000000000000
12 29 10 3 0.00000000000000000
15 44 16 4 0.00000000000000000
15 69 36 5 0.00000000000000000
14 46 23 5 0.00000000000000000
16 56 20 4 0.00000000000000000
16 43 15 3 0.00000000000000000
14 35 7 2 0.00000000000000000
16 75 35 5 0.00000000000000000
15 60 25 4 0.00000000000000000
16 69 26 4 0.00000000000000000
8 13 7 3 0.00000000000000000
13 40 23 5 0.00000000000000000
10 29 15 3 0.00000000000000000
14 48 17 4 0.00000000000000000
17 89 29 4 0.00000000000000000
14 56 29 5 0.00000000000000000
17 71 26 5 0.00000000000000000
17 67 19 4 0.00000000000000000
15 45 19 4 0.00000000000000000
16 52 13 3 0.00000000000000000
16 54 15 4 0.00000000000000000
15 55 21 4 0.00000000000000000
17 58 20 4 0.00000000000000000
17 82 28 4 0.00000000000000000
18 80 32 5 0.00000000000000000
17 46 12 3 0.00000000000000000
18 83 21 4 0.00000000000000000
16 62 29 5 0.00000000000000000
16 63 20 3 0.00000000000000000
18 82 27 4 0.00000000000000000
18 83 33 4 0.00000000000000000
19 68 28 4 0.00000000000000000
15 42 10 3 0.00000000000000000
18 93 33 4 0.00000000000000000
17 47 8 2 0.00000000000000000
15 49 22 4 0.00000000000000000
17 57 22 4 0.00000000000000000
13 46 18 4 0.00000000000000000
19 73 21 3 0.00000000000000000
19 67 23 4 0.00000000000000000
20 90 30 5 0.00000000000000000
19 75 20 3 0.00000000000000000
15 58 25 4 0.00000000000000000
19 93 34 5 0.00000000000000000
9 21 9 3 0.00000000000000000
16 72 33 5 0.00000000000000000
19 103 46 6 0.00000100000000000
12 31 10 3 0.00000000000000000
19 87 30 5 0.00000000000000000
18 65 13 2 0.00000000000000000
19 66 27 4 0.00000000000000000
18 65 21 3 0.00000000000000000
20 122 49 6 0.00000000000000000
20 77 27 5 0.00000000000000000
20 81 18 3 0.00000000000000000
19 67 27 5 0.00000000000000000
18 78 26 4 0.00000000000000000
21 81 25 4 0.00000000000000000
20 91 29 4 0.00000000000000000
16 45 17 3 0.00000000000000000
20 83 29 4 0.00000000000000000
20 65 22 4 0.00000000000000000
19 72 29 5 0.00000000000000000
22 102 34 4 0.00000000000000000
21 124 33 4 0.00000000000000000
21 86 27 4 0.00000000000000000
22 90 10 2 0.00000000000000000
21 125 46 5 0.00000000000000000
22 104 29 6 0.00000000000000000
22 107 41 5 0.00000000000000000
22 118 40 5 0.00000000000000000
21 77 21 4 0.00000000000000000
22 99 33 4 0.00000000000000000
22 117 44 5 0.00000000000000000
22 95 39 5 0.00000000000000000
23 131 21 3 0.00000000000000000
18 71 23 4 0.00000000000000000
17 71 29 5 0.00000000000000000
23 149 73 7 0.00000100000000000
22 110 29 4 0.00000000000000000
20 85 19 3 0.00000000000000000
23 127 39 4 0.00000000000000000
21 93 29 4 0.00000000000000000
23 110 29 4 0.00000000000000000
23 134 63 7 0.00000000000000000
15 62 31 5 0.00000000000000000
20 86 20 3 0.00000000000000000
23 148 45 4 0.00000000000000000
24 108 18 3 0.00000000000000000
24 140 38 4 0.00000000000000000
23 141 49 5 0.00000000000000000
24 135 37 4 0.00000000000000000
24 144 39 4 0.00000000000000000
24 169 63 6 0.00000100000000000
22 111 36 4 0.00000000000000000
25 125 34 4 0.00000000000000000
17 72 23 4 0.00000000000000000
25 179 62 6 0.00000000000000000
21 125 48 5 0.00000000000000000
23 160 58 6 0.00000000000000000
25 140 44 4 0.00000000000000000
24 164 52 5 0.00000000000000000
25 137 39 4 0.00000000000000000
23 128 37 4 0.00000000000000000
25 164 65 6 0.00000000000000000
25 174 53 5 0.00000000000000000
24 112 23 3 0.00000000000000000
21 88 23 3 0.00000000000000000
24 123 29 4 0.00000000000000000
24 166 67 6 0.00000000000000000
25 181 50 5 0.00000000000000000
30 206 65 6 0.00000000000000000
23 143 53 6 0.00000000000000000
25 174 64 6 0.00000000000000000
25 166 56 5 0.00000000000000000
24 139 45 5 0.00000000000000000
25 137 27 3 0.00000000000000000
18 64 25 4 0.00000000000000000
30 202 55 5 0.00000000000000000
21 120 44 5 0.00000000000000000
30 230 66 5 0.00000000000000000
20 93 33 4 0.00000000000000000
30 213 52 5 0.00000000000000000
30 165 31 3 0.00000000000000000
30 266 69 5 0.00000000000000000
35 221 41 4 0.00000000000000000
30 275 122 9 0.00000100000000000
35 217 37 3 0.00000000000000000
21 136 49 6 0.00000100000000000
35 335 99 6 0.00000100000000000
35 363 123 7 0.00000000000000000
35 236 35 3 0.00000000000000000
35 372 100 6 0.00000000000000000
30 182 35 3 0.00000000000000000
40 284 48 4 0.00000000000000000
35 335 85 5 0.00000100000000000
35 262 44 4 0.00000000000000000
40 508 139 7 0.00000100000000000
35 268 71 5 0.00000100000000000
30 257 93 7 0.00000100000000000
40 446 110 6 0.00000100000000000
30 263 71 6 0.00000100000000000
35 332 110 7 0.00000100000000000
40 288 38 3 0.00000000000000000
40 291 42 3 0.00000000000000000
45 369 56 4 0.00000000000000000
40 384 92 5 0.00000000000000000
45 365 30 3 0.00000000000000000
45 421 85 5 0.00000000000000000
40 445 139 7 0.00000100000000000
45 536 132 6 0.00000100000000000
40 381 81 5 0.00000000000000000
40 331 56 5 0.00000000000000000
50 441 77 5 0.00000100000000000
45 651 178 8 0.00000100000000000
45 352 54 4 0.00000000000000000
40 452 112 6 0.00000100000000000
45 597 104 5 0.00000100000000000
45 499 104 5 0.00000000000000000
50 456 69 4 0.00000000000000000
45 633 153 7 0.00000100000000000
50 550 95 5 0.00000100000000000
50 787 178 7 0.00000100000000000
50 576 100 5 0.00000100000000000
50 553 99 5 0.00000000000000000
50 631 95 4 0.00000000000000000
60 611 103 6 0.00000100000000000
50 426 60 4 0.00000000000000000
50 714 193 8 0.00000100000000000
50 789 186 7 0.00000100000000000
60 715 92 5 0.00000100000000000
60 1125 264 8 0.00000200000000000
60 1075 199 7 0.00000100000000000
60 1007 194 7 0.00000100000000000
60 814 123 5 0.00000100000000000
60 758 116 5 0.00000000000000000
70 885 65 3 0.00000000000000000
60 956 188 7 0.00000100000000000
60 750 112 5 0.00000100000000000
60 665 97 5 0.00000000000000000
70 1242 230 7 0.00000100000000000
70 1384 291 8 0.00000200000000000
80 1232 167 6 0.00000100000000000
80 1357 156 5 0.00000100000000000
70 1459 317 9 0.00000300000000000
80 1348 174 6 0.00000100000000000
80 1075 123 5 0.00000100000000000
70 1491 333 9 0.00000300000000000
45 367 52 4 0.00000000000000000
70 1121 156 6 0.00000100000000000
70 980 160 6 0.00000100000000000
80 1396 198 6 0.00000100000000000
70 1274 232 7 0.00000100000000000
80 1921 338 8 0.00000200000000000
70 1272 280 8 0.00000200000000000
80 1683 231 6 0.00000100000000000
80 1282 154 5 0.00000100000000000
70 1092 133 5 0.00000100000000000
80 1856 345 8 0.00000200000000000
80 1788 283 7 0.00000200000000000
90 1613 148 5 0.00000100000000000
90 1744 168 5 0.00000100000000000
90 1920 189 5 0.00000100000000000
90 2048 341 8 0.00000300000000000
90 2134 310 7 0.00000200000000000
100 1952 180 5 0.00000100000000000
90 2629 464 9 0.00000300000000000
100 2263 217 5 0.00000100000000000
90 2640 440 8 0.00000200000000000
90 2598 520 10 0.00000300000000000
90 2632 529 10 0.00000300000000000
100 2345 304 7 0.00000200000000000
90 2393 334 7 0.00000200000000000
100 2150 243 6 0.00000100000000000
100 2400 271 6 0.00000100000000000
100 2281 256 6 0.00000100000000000
100 2304 184 5 0.00000100000000000
100 3077 507 9 0.00000300000000000
100 2965 443 8 0.00000200000000000
125 2748 209 5 0.00000100000000000
125 2952 224 5 0.00000100000000000
125 2952 273 6 0.00000100000000000
125 3260 260 5 0.00000100000000000
125 3730 326 6 0.00000100000000000
100 1932 166 5 0.00000100000000000
125 4157 455 7 0.00000300000000000
125 4304 325 5 0.00000100000000000
125 3735 337 6 0.00000200000000000
150 4224 203 4 0.00000100000000000
125 5065 687 9 0.00000400000000000
125 5029 744 10 0.00000500000000000
150 5212 447 7 0.00000300000000000
150 5114 375 6 0.00000200000000000
150 5233 376 6 0.00000100000000000
150 5695 483 7 0.00000300000000000
150 5281 455 7 0.00000400000000000
175 5264 291 5 0.00000100000000000
150 6055 567 7 0.00000300000000000
175 5695 380 6 0.00000200000000000
150 6910 686 8 0.00000400000000000
150 7154 816 9 0.00000400000000000
175 6723 430 6 0.00000200000000000
150 7332 705 8 0.00000400000000000
175 6845 527 7 0.00000200000000000
175 7104 454 6 0.00000200000000000
175 7277 521 6 0.00000200000000000
175 7407 491 6 0.00000200000000000
200 7399 395 6 0.00000200000000000
175 8221 690 8 0.00000300000000000
175 8475 572 6 0.00000200000000000
200 8096 523 7 0.00000400000000000
200 8571 548 7 0.00000300000000000
200 8834 506 6 0.00000200000000000
175 9805 947 9 0.00000400000000000
225 8932 480 6 0.00000200000000000
225 9134 530 7 0.00000400000000000
200 10480 934 9 0.00000500000000000
200 10985 865 8 0.00000400000000000
225 10102 518 6 0.00000200000000000
200 11021 945 9 0.00000500000000000
200 11662 1007 9 0.00000600000000000
225 11624 689 7 0.00000400000000000
225 11802 612 6 0.00000300000000000
225 11726 720 7 0.00000400000000000
200 11879 1127 10 0.00000600000000000
225 12714 889 8 0.00000500000000000
225 12994 775 7 0.00000200000000000
200 12605 1181 10 0.00001000000000000
225 14044 1100 9 0.00000700000000000
225 14908 1152 9 0.00000800000000000
275 17101 870 7 0.00000300000000000
275 14955 676 6 0.00000300000000000
275 14651 717 7 0.00000300000000000
275 14717 508 5 0.00000400000000000
275 16313 736 6 0.00000300000000000
275 15925 809 7 0.00000600000000000
275 19862 1123 8 0.00000700000000000
275 17905 998 8 0.00000500000000000
325 18243 538 5 0.00000200000000000
325 18479 645 6 0.00000300000000000
375 28387 828 6 0.00000400000000000
275 21538 1218 8 0.00000700000000000
325 20161 605 5 0.00000300000000000
275 23241 1817 11 0.00001000000000000
325 23610 1169 8 0.00000600000000000
325 23671 833 6 0.00000400000000000
375 43994 2489 11 0.00001600000000000
325 26166 1308 8 0.00000500000000000
325 26000 1088 7 0.00000500000000000
325 28378 1344 8 0.00000600000000000
375 24867 626 5 0.00000300000000000
325 30972 2010 11 0.00001300000000000
325 34006 2262 11 0.00001500000000000
375 29445 909 6 0.00000600000000000
375 30642 1095 7 0.00000600000000000
375 32238 1180 7 0.00000500000000000
425 31259 892 6 0.00000500000000000
375 43484 2751 12 0.00002000000000000
375 39741 2053 10 0.00000800000000000
375 40962 1913 9 0.00001100000000000
425 38706 1260 7 0.00000500000000000
425 41009 1698 9 0.00000800000000000
375 45592 2857 12 0.00001600000000000
475 39473 1039 6 0.00000500000000000
475 42631 1281 7 0.00000500000000000
425 45302 1668 8 0.00001100000000000
425 48503 2016 9 0.00001000000000000
475 41360 817 5 0.00000300000000000
425 37447 1190 7 0.00000800000000000
425 55619 3064 12 0.00002200000000000
475 71146 3420 12 0.00001500000000000
475 48400 1430 7 0.00000600000000000
425 58524 3416 13 0.00001700000000000
425 59055 3552 13 0.00002100000000000
425 57713 2863 11 0.00001700000000000
475 57093 2391 10 0.00001900000000000
500 43791 1033 6 0.00000400000000000
475 53276 1978 9 0.00001300000000000
475 51829 1737 8 0.00001000000000000
500 42801 1049 6 0.00000700000000000
500 55085 1575 7 0.00000700000000000
500 55227 1505 7 0.00000600000000000
600 66144 1331 6 0.00000700000000000
475 68098 3057 11 0.00001900000000000
500 48286 1509 8 0.00000800000000000
500 48302 1362 7 0.00000600000000000
475 70075 3971 14 0.00003200000000000
500 66260 2497 10 0.00001700000000000
600 78680 2035 8 0.00001200000000000
600 61334 1199 6 0.00000600000000000
500 78984 3661 12 0.00002600000000000
500 74199 4034 14 0.00002800000000000
600 75713 1686 7 0.00000600000000000
500 76857 3023 10 0.00001700000000000
600 75942 1768 7 0.00000600000000000
600 80046 1872 7 0.00001000000000000
600 84351 2214 8 0.00001200000000000
600 93473 3131 10 0.00001300000000000
700 83989 1373 6 0.00000400000000000
600 104910 3714 11 0.00003000000000000
700 101384 2271 8 0.00001300000000000
600 113872 4770 13 0.00002700000000000
700 97917 1635 6 0.00000700000000000
800 114870 1921 7 0.00001400000000000
700 121339 3121 9 0.00001600000000000
700 127737 3965 11 0.00002100000000000
700 131936 3743 10 0.00003100000000000
700 133793 3799 10 0.00002300000000000
700 134350 3769 10 0.00002000000000000
800 148512 3287 9 0.00001700000000000
700 134072 3800 10 0.00001900000000000
800 113534 2268 8 0.00001800000000000
800 120247 2092 7 0.00000700000000000
700 150915 5106 12 0.00003000000000000
800 150267 2971 8 0.00001400000000000
