Nodos Aristas Frontera |CMF| Segundos
4000 11994 45 3 0.00154300000000000
3500 10494 60 3 0.00053500000000000
3500 10494 48 3 0.00049700000000000
3500 10494 40 3 0.00052700000000000
3500 10494 57 3 0.00051000000000000
3500 10494 53 3 0.00048700000000000
3500 10494 62 3 0.00048000000000000
3500 10494 42 3 0.00050400000000000
3500 10494 48 3 0.00054800000000000
3500 10494 64 3 0.00050100000000000
3500 10494 50 3 0.00053800000000000
4000 11994 49 3 0.00089300000000000
4000 11994 37 3 0.00083600000000000
4000 11994 56 3 0.00087700000000000
4000 11994 50 3 0.00086400000000000
4000 11994 52 3 0.00077200000000000
4000 11994 63 3 0.00081400000000000
4000 11994 63 3 0.00078100000000000
4000 11994 60 3 0.00071700000000000
4000 11994 52 3 0.00077200000000000
4500 13494 86 3 0.00013500000000000
4500 13494 49 3 0.00031700000000000
4500 13494 63 3 0.00037800000000000
4500 13494 48 3 0.00036500000000000
4500 13494 58 3 0.00036000000000000
4500 13494 58 3 0.00033500000000000
4500 13494 72 3 0.00034100000000000
4500 13494 50 3 0.00028400000000000
4500 13494 30 3 0.00028200000000000
4500 13494 46 3 0.00027100000000000
5000 14994 44 3 0.00023600000000000
5000 14994 71 3 0.00014500000000000
5000 14994 71 3 0.00008200000000000
5000 14994 60 3 0.00013200000000000
5000 14994 67 3 0.00005300000000000
5000 14994 65 3 0.00002400000000000
5000 14994 60 3 0.00006500000000000
5000 14994 60 3 0.00004900000000000
5000 14994 47 3 0.00005400000000000
5000 14994 72 3 0.00001900000000000
