Nodos Aristas Frontera |CMF| Segundos
3 3 2 1 0.00000000000000000
42 120 30 3 0.00000000000000000
25 69 20 3 0.00000000000000000
16 42 20 4 0.00000000000000000
7 15 9 3 0.00000000000000000
25 69 17 3 0.00000000000000000
42 120 17 3 0.00000000000000000
46 132 30 3 0.00000000000000000
16 42 15 3 0.00000000000000000
42 120 46 4 0.00000000000000000
7 15 10 3 0.00000000000000000
20 54 23 4 0.00000000000000000
11 27 16 4 0.00000000000000000
42 120 19 3 0.00000000000000000
7 15 10 3 0.00000000000000000
3 3 2 1 0.00000000000000000
25 69 26 4 0.00000000000000000
38 108 18 3 0.00000000000000000
16 42 21 4 0.00000000000000000
20 54 22 4 0.00000000000000000
25 69 25 3 0.00000000000000000
140 414 37 3 0.00000000000000000
42 120 27 4 0.00000000000000000
25 69 20 4 0.00000000000000000
3 3 2 1 0.00000000000000000
38 108 19 3 0.00000000000000000
25 69 16 3 0.00000000000000000
16 42 18 3 0.00000000000000000
20 54 21 4 0.00000000000000000
46 132 29 3 0.00000000000000000
16 42 14 3 0.00000000000000000
25 69 27 3 0.00000000000000000
20 54 18 3 0.00000000000000000
11 27 16 3 0.00000000000000000
16 42 19 4 0.00000000000000000
38 108 22 3 0.00000000000000000
25 69 20 3 0.00000000000000000
7 15 10 3 0.00000000000000000
140 414 25 3 0.00000000000000000
25 69 25 4 0.00000000000000000
38 108 19 3 0.00000000000000000
3 3 2 1 0.00000000000000000
47 135 24 4 0.00000000000000000
25 69 18 3 0.00000000000000000
3 3 2 1 0.00000000000000000
7 15 8 3 0.00000000000000000
3 3 2 1 0.00000000000000000
38 108 30 4 0.00000000000000000
26 72 31 4 0.00000000000000000
7 15 10 3 0.00000000000000000
21 57 15 4 0.00000000000000000
140 414 31 3 0.00000000000000000
26 72 37 4 0.00000000000000000
47 135 30 4 0.00000000000000000
3 3 2 1 0.00000000000000000
8 18 10 3 0.00000000000000000
26 72 21 3 0.00000000000000000
3 3 2 1 0.00000000000000000
8 18 10 3 0.00000000000000000
47 135 27 3 0.00000000000000000
26 72 19 4 0.00000000000000000
16 42 18 3 0.00000000000000000
3 3 2 1 0.00000000000000000
8 18 10 3 0.00000000000000000
26 72 19 3 0.00000000000000000
21 57 13 3 0.00000000000000000
140 414 58 3 0.00000000000000000
8 18 11 3 0.00000000000000000
16 42 19 3 0.00000000000000000
26 72 31 4 0.00000000000000000
21 57 21 4 0.00000000000000000
3 3 2 1 0.00000000000000000
47 135 20 3 0.00000000000000000
38 108 34 4 0.00000000000000000
4 6 4 2 0.00000000000000000
26 72 19 3 0.00000000000000000
4 6 4 2 0.00000000000000000
8 18 11 3 0.00000000000000000
4 6 4 2 0.00000000000000000
26 72 22 3 0.00000000000000000
140 414 29 3 0.00000000000000000
17 45 27 4 0.00000000000000000
4 6 4 2 0.00000000000000000
26 72 26 4 0.00000000000000000
8 18 12 3 0.00000000000000000
47 135 27 3 0.00000000000000000
4 6 4 2 0.00000000000000000
26 72 21 3 0.00000000000000000
4 6 4 2 0.00000000000000000
17 45 21 4 0.00000000000000000
21 57 23 3 0.00000000000000000
27 75 19 3 0.00000000000000000
38 108 27 3 0.00000000000000000
4 6 4 2 0.00000000000000000
8 18 12 3 0.00000000000000000
27 75 32 4 0.00000000000000000
21 57 13 3 0.00000000000000000
8 18 10 3 0.00000000000000000
17 45 21 3 0.00000000000000000
27 75 13 3 0.00000000000000000
47 135 29 4 0.00000000000000000
8 18 12 3 0.00000000000000000
21 57 21 3 0.00000000000000000
17 45 18 3 0.00000000000000000
27 75 23 4 0.00000000000000000
140 414 42 3 0.00000000000000000
17 45 19 4 0.00000000000000000
47 135 22 3 0.00000000000000000
27 75 37 4 0.00000000000000000
8 18 9 3 0.00000000000000000
4 6 4 2 0.00000000000000000
17 45 19 4 0.00000000000000000
27 75 27 3 0.00000000000000000
4 6 4 2 0.00000000000000000
47 135 29 4 0.00000000000000000
4 6 4 2 0.00000000000000000
9 21 10 3 0.00000000000000000
38 108 26 4 0.00000000000000000
9 21 10 4 0.00000000000000000
21 57 29 4 0.00000000000000000
27 75 16 3 0.00000000000000000
140 414 43 3 0.00000000000000000
9 21 10 4 0.00000000000000000
