Nodos Aristas Frontera |CMF| Segundos
3500 3499 3499 1 0.00102300000000000
4500 4499 4499 1 0.00067200000000000
4500 4499 4499 1 0.00005600000000000
4500 4499 4499 1 0.00005800000000000
4500 4499 4499 1 0.00005900000000000
4500 4499 4499 1 0.00005700000000000
4500 4499 4499 1 0.00005500000000000
5000 4999 4999 1 0.00034300000000000
5000 4999 4999 1 0.00007400000000000
5000 4999 4999 1 0.00007500000000000
3500 3499 3499 1 0.00058500000000000
3500 3499 3499 1 0.00059000000000000
3500 3499 3499 1 0.00059400000000000
3500 3499 3499 1 0.00055600000000000
3500 3499 3499 1 0.00062800000000000
3500 3499 3499 1 0.00059700000000000
3500 3499 3499 1 0.00060400000000000
3500 3499 3499 1 0.00063500000000000
3500 3499 3499 1 0.00062600000000000
5000 4999 4999 1 0.00006500000000000
5500 5499 5499 1 0.00029500000000000
5500 5499 5499 1 0.00008200000000000
4000 3999 3999 1 0.00045000000000000
4000 3999 3999 1 0.00057800000000000
4000 3999 3999 1 0.00057300000000000
4000 3999 3999 1 0.00056400000000000
4000 3999 3999 1 0.00048600000000000
4000 3999 3999 1 0.00056300000000000
4000 3999 3999 1 0.00045800000000000
5500 5499 5499 1 0.00008200000000000
4000 3999 3999 1 0.00058700000000000
4000 3999 3999 1 0.00051300000000000
4000 3999 3999 1 0.00045200000000000
5500 5499 5499 1 0.00008400000000000
6000 5999 5999 1 0.00031500000000000
4500 4499 4499 1 0.00053900000000000
4500 4499 4499 1 0.00053800000000000
4500 4499 4499 1 0.00057800000000000
4500 4499 4499 1 0.00058500000000000
5000 4999 4999 1 0.00065200000000000
5000 4999 4999 1 0.00057900000000000
5000 4999 4999 1 0.00062500000000000
5000 4999 4999 1 0.00054600000000000
5000 4999 4999 1 0.00064400000000000
5000 4999 4999 1 0.00066200000000000
5500 5499 5499 1 0.00058100000000000
5500 5499 5499 1 0.00062600000000000
5500 5499 5499 1 0.00064400000000000
5500 5499 5499 1 0.00052300000000000
5500 5499 5499 1 0.00055000000000000
5500 5499 5499 1 0.00050600000000000
6000 5999 5999 1 0.00029700000000000
6000 5999 5999 1 0.00062500000000000
