Nodos Aristas Frontera |CMF| Segundos
3500 2440833 11670 8 0.00022800000000000
3500 2304885 13706 10 0.00021300000000000
4000 2901386 13530 9 0.00023100000000000
3500 3306381 25376 13 0.00033800000000000
4000 3519505 18251 10 0.00029200000000000
4500 3503114 14542 9 0.00024800000000000
4000 3669004 20891 11 0.00032100000000000
3500 3708229 34771 16 0.00037800000000000
4000 3636176 22553 12 0.00030700000000000
3500 3787449 37673 17 0.00039800000000000
4000 4420472 36180 16 0.00041100000000000
4500 5331278 31777 13 0.00044400000000000
4500 5494555 32649 13 0.00046200000000000
5000 5804579 28806 12 0.00041600000000000
4500 6392292 49639 17 0.00055100000000000
4500 6535176 56367 19 0.00057500000000000
5000 6295323 33491 13 0.00045100000000000
5000 7627871 55908 18 0.00057200000000000
5000 8137920 63165 19 0.00063700000000000
5000 8035757 62234 19 0.00061000000000000
