Nodos Aristas Frontera |CMF| Segundos
3500 3499 3498 1 0.00111200000000000
4500 4499 409 1 0.00034300000000000
4500 4499 409 1 0.00004900000000000
4500 4499 409 1 0.00004800000000000
4500 4499 409 1 0.00005000000000000
4500 4499 408 1 0.00030600000000000
4500 4499 409 1 0.00004900000000000
5000 4999 4998 1 0.00038800000000000
5000 4999 4998 1 0.00010000000000000
5000 4999 4998 1 0.00009300000000000
3500 3499 3498 1 0.00063200000000000
3500 3499 3498 1 0.00057100000000000
3500 3499 3498 1 0.00062000000000000
3500 3499 3498 1 0.00054300000000000
3500 3499 3498 1 0.00059300000000000
3500 3499 3498 1 0.00056600000000000
3500 3499 3498 1 0.00058500000000000
3500 3499 3498 1 0.00059100000000000
3500 3499 3498 1 0.00060100000000000
5000 4999 4998 1 0.00009500000000000
5000 4999 4998 1 0.00009200000000000
5500 5499 611 1 0.00052000000000000
5500 5499 1833 1 0.00027400000000000
4000 3999 129 1 0.00051000000000000
4000 3999 129 1 0.00053400000000000
4000 3999 129 1 0.00054300000000000
4000 3999 129 1 0.00048200000000000
4000 3999 129 1 0.00042600000000000
4000 3999 129 1 0.00045700000000000
4000 3999 129 1 0.00046100000000000
4000 3999 129 1 0.00047800000000000
4000 3999 129 1 0.00049800000000000
4000 3999 129 1 0.00054700000000000
5500 5499 1833 1 0.00008100000000000
6000 5999 857 1 0.00048600000000000
4500 4499 409 1 0.00050900000000000
4500 4499 409 1 0.00045000000000000
4500 4499 409 1 0.00047000000000000
4500 4499 409 1 0.00046100000000000
5000 4999 4998 1 0.00063200000000000
5000 4999 4998 1 0.00065400000000000
5000 4999 4998 1 0.00061800000000000
5000 4999 4998 1 0.00064100000000000
5000 4999 4998 1 0.00325900000000000
5500 5499 423 1 0.00062900000000000
5500 5499 422 1 0.00057400000000000
5500 5499 611 1 0.00059400000000000
5500 5499 1833 1 0.00066500000000000
6000 5999 857 1 0.00048400000000000
5500 5499 423 1 0.00056100000000000
5500 5499 611 1 0.00051200000000000
5500 5499 1833 1 0.00056100000000000
6000 5999 857 1 0.00057000000000000
6000 5999 857 1 0.00061800000000000
6000 5999 856 1 0.00060300000000000
6000 5999 856 1 0.00076800000000000
6000 5999 857 1 0.00070700000000000
6000 5999 856 1 0.00075400000000000
6000 5999 856 1 0.00071200000000000
6000 5999 856 1 0.00043700000000000
6500 6499 97 1 0.00056100000000000
6500 6499 97 1 0.00059800000000000
6500 6499 97 1 0.00075400000000000
6500 6499 97 1 0.00053300000000000
6500 6499 97 1 0.00052300000000000
6500 6499 97 1 0.00052700000000000
6500 6499 97 1 0.00047300000000000
6500 6499 97 1 0.00049800000000000
7000 6999 2333 1 0.00052900000000000
6500 6499 97 1 0.00051700000000000
6500 6499 97 1 0.00050500000000000
7000 6999 2333 1 0.00055200000000000
7000 6999 2332 1 0.00053000000000000
7000 6999 2333 1 0.00055600000000000
7000 6999 2332 1 0.00052500000000000
7000 6999 2332 1 0.00053300000000000
7000 6999 2332 1 0.00054600000000000
7000 6999 2332 1 0.00054100000000000
7000 6999 2332 1 0.00055600000000000
7000 6999 2332 1 0.00063500000000000
7500 7499 7498 1 0.00069300000000000
7500 7499 7498 1 0.00072300000000000
7500 7499 7498 1 0.00067600000000000
7500 7499 7498 1 0.00054500000000000
7500 7499 7498 1 0.00060200000000000
7500 7499 7498 1 0.00059700000000000
7500 7499 7498 1 0.00062600000000000
8000 7999 421 1 0.00052700000000000
7500 7499 7498 1 0.00062700000000000
7500 7499 7498 1 0.00069100000000000
7500 7499 7498 1 0.00070400000000000
8000 7999 421 1 0.00054800000000000
8000 7999 421 1 0.00055400000000000
8000 7999 421 1 0.00056500000000000
8000 7999 7998 1 0.00061000000000000
8000 7999 421 1 0.00050400000000000
8000 7999 421 1 0.00049900000000000
8000 7999 421 1 0.00061700000000000
8000 7999 421 1 0.00066400000000000
8000 7999 421 1 0.00077300000000000
8500 8499 2832 1 0.00051900000000000
8500 8499 2833 1 0.00101700000000000
8500 8499 2832 1 0.00062800000000000
8500 8499 2832 1 0.00070500000000000
8500 8499 2833 1 0.00105100000000000
8500 8499 2833 1 0.00127700000000000
8500 8499 2832 1 0.00076800000000000
8500 8499 2832 1 0.00051800000000000
8500 8499 2832 1 0.00057500000000000
8500 8499 2832 1 0.00084700000000000
9000 8999 8998 1 0.00060300000000000
9000 8999 8998 1 0.00095000000000000
9000 8999 8998 1 0.00114900000000000
9000 8999 8998 1 0.00120000000000000
9000 8999 8998 1 0.00120900000000000
9000 8999 8998 1 0.00103100000000000
9000 8999 8998 1 0.00111000000000000
9000 8999 8998 1 0.00106400000000000
9000 8999 8998 1 0.00109200000000000
9000 8999 8998 1 0.00097500000000000
9500 9499 1357 1 0.00052900000000000
9500 9499 413 1 0.00052200000000000
9500 9499 413 1 0.00047100000000000
9500 9499 1357 1 0.00054300000000000
9500 9499 1357 1 0.00048800000000000
9500 9499 1357 1 0.00051100000000000
9500 9499 413 1 0.00055500000000000
9500 9499 1357 1 0.00055700000000000
9500 9499 413 1 0.00041600000000000
9500 9499 1357 1 0.00038900000000000
10000 9999 909 1 0.00051400000000000
10000 9999 3333 1 0.00036300000000000
10000 9999 1111 1 0.00061800000000000
10000 9999 303 1 0.00036700000000000
10000 9999 1111 1 0.00055100000000000
10000 9999 1111 1 0.00039400000000000
10000 9999 1111 1 0.00020600000000000
10000 9999 3333 1 0.00031300000000000
10000 9999 1111 1 0.00031700000000000
10000 9999 908 1 0.00025700000000000
