Nodos Aristas Frontera |CMF| Segundos
4 5 4 2 0.00000500000000000
2 1 1 1 0.00000600000000000
4 5 4 2 0.00000100000000000
3 2 2 1 0.00000200000000000
4 4 3 1 0.00000000000000000
3 2 2 1 0.00012700000000000
3 2 2 1 0.00000000000000000
2 1 1 1 0.00088100000000000
3 2 2 1 0.00000100000000000
2 1 1 1 0.00000400000000000
5 9 6 2 0.00000100000000000
4 4 3 1 0.00000100000000000
5 7 5 2 0.00000100000000000
4 5 4 2 0.00000200000000000
2 1 1 1 0.00001300000000000
5 7 5 2 0.00000100000000000
3 2 2 1 0.00000200000000000
2 1 1 1 0.00000200000000000
3 2 2 1 0.00000200000000000
5 8 5 2 0.00000100000000000
5 9 5 2 0.00000100000000000
4 4 3 1 0.00000100000000000
5 9 6 2 0.00000100000000000
3 2 2 1 0.00015100000000000
6 11 5 2 0.00000100000000000
6 10 6 2 0.00000100000000000
2 1 1 1 0.00000100000000000
4 5 4 2 0.00000100000000000
5 8 5 2 0.00000100000000000
2 1 1 1 0.00018200000000000
6 12 6 2 0.00000000000000000
4 5 4 2 0.00000200000000000
7 17 9 3 0.00000100000000000
5 8 6 2 0.00000100000000000
6 10 7 2 0.00000100000000000
2 1 1 1 0.00000600000000000
7 18 10 3 0.00000100000000000
7 18 10 3 0.00000200000000000
3 2 2 1 0.00000100000000000
7 18 11 3 0.00000100000000000
8 21 11 3 0.00000100000000000
6 10 7 2 0.00000100000000000
2 1 1 1 0.00000100000000000
7 17 10 3 0.00000100000000000
7 17 10 3 0.00000200000000000
8 23 14 3 0.00000100000000000
8 23 15 4 0.00000300000000000
4 5 4 2 0.00000000000000000
7 19 11 3 0.00000200000000000
7 14 8 3 0.00000100000000000
8 27 15 4 0.00000100000000000
8 24 13 4 0.00000200000000000
9 33 19 4 0.00000100000000000
9 33 19 4 0.00000200000000000
8 25 14 4 0.00000200000000000
8 22 15 4 0.00000200000000000
6 10 5 2 0.00000000000000000
9 24 15 3 0.00000200000000000
9 29 19 4 0.00000300000000000
9 30 16 4 0.00000100000000000
9 33 18 4 0.00000100000000000
3 2 2 1 0.00000300000000000
9 28 17 3 0.00000100000000000
10 40 24 5 0.00000300000000000
10 42 25 5 0.00000200000000000
10 38 23 5 0.00000200000000000
10 42 24 5 0.00000100000000000
6 13 8 3 0.00000100000000000
10 36 21 4 0.00000100000000000
10 41 24 5 0.00000200000000000
6 14 8 3 0.00000200000000000
7 20 11 3 0.00000100000000000
11 46 29 5 0.00000200000000000
6 11 8 2 0.00000100000000000
9 29 16 4 0.00000200000000000
10 35 20 4 0.00000200000000000
10 35 19 4 0.00000300000000000
4 5 4 2 0.00000100000000000
11 50 26 5 0.00000200000000000
5 6 4 2 0.00000200000000000
8 22 12 3 0.00000100000000000
7 17 9 3 0.00000100000000000
6 13 9 3 0.00000100000000000
2 1 1 1 0.00000300000000000
11 48 27 5 0.00000200000000000
11 46 27 5 0.00000200000000000
9 26 15 3 0.00000100000000000
11 37 19 4 0.00000100000000000
12 63 35 6 0.00000300000000000
12 56 28 5 0.00000100000000000
12 46 28 5 0.00000400000000000
12 59 34 5 0.00000400000000000
10 32 18 4 0.00000300000000000
8 23 13 3 0.00000100000000000
11 43 27 5 0.00000200000000000
12 57 35 5 0.00000400000000000
12 65 35 6 0.00000200000000000
13 67 37 6 0.00000400000000000
10 33 18 4 0.00000200000000000
13 58 31 5 0.00000200000000000
13 65 35 5 0.00000300000000000
11 52 28 5 0.00000200000000000
13 75 39 6 0.00000200000000000
13 59 33 5 0.00000100000000000
14 68 38 6 0.00000600000000000
14 70 39 6 0.00000500000000000
12 52 30 5 0.00000400000000000
14 81 47 6 0.00000500000000000
3 2 2 1 0.00000400000000000
12 45 24 5 0.00000200000000000
9 27 17 3 0.00000200000000000
13 65 38 5 0.00000400000000000
14 76 46 6 0.00000700000000000
15 71 37 5 0.00000300000000000
14 85 48 7 0.00000300000000000
14 87 47 7 0.00000400000000000
14 66 37 5 0.00000400000000000
15 94 52 7 0.00000300000000000
12 46 24 5 0.00000400000000000
15 97 52 7 0.00000300000000000
13 58 35 5 0.00000400000000000
15 100 52 7 0.00000400000000000
15 98 53 7 0.00000300000000000
13 57 34 5 0.00000300000000000
14 84 47 7 0.00000400000000000
8 23 13 3 0.00000200000000000
16 113 62 8 0.00000400000000000
15 93 53 7 0.00000400000000000
16 91 52 6 0.00000400000000000
14 76 44 6 0.00000500000000000
16 96 54 7 0.00000500000000000
11 51 29 5 0.00000400000000000
17 124 67 8 0.00000400000000000
15 73 35 6 0.00000400000000000
17 107 43 6 0.00000300000000000
16 97 57 7 0.00000800000000000
