Nodos Aristas Frontera |CMF| Segundos
4000 4000 2 1 0.00108400000000000
4500 4500 2 1 0.00027500000000000
4500 4500 2 1 0.00002900000000000
4500 4500 2 1 0.00002900000000000
4500 4500 2 1 0.00003000000000000
4500 4500 2 1 0.00003000000000000
4500 4500 2 1 0.00003000000000000
5000 5000 2 1 0.00056900000000000
5000 5000 2 1 0.00003700000000000
5000 5000 2 1 0.00003600000000000
3500 3500 2 1 0.00056200000000000
3500 3500 2 1 0.00054700000000000
3500 3500 2 1 0.00062300000000000
3500 3500 2 1 0.00062500000000000
3500 3500 2 1 0.00060000000000000
3500 3500 2 1 0.00056600000000000
3500 3500 2 1 0.00055300000000000
3500 3500 2 1 0.00060900000000000
3500 3500 2 1 0.00067900000000000
3500 3500 2 1 0.00068900000000000
5000 5000 2 1 0.00004000000000000
5500 5500 2 1 0.00024000000000000
5500 5500 2 1 0.00004700000000000
5500 5500 2 1 0.00004700000000000
4000 4000 2 1 0.00083900000000000
4000 4000 2 1 0.00090100000000000
4000 4000 2 1 0.00091200000000000
4000 4000 2 1 0.00081400000000000
4000 4000 2 1 0.00088800000000000
4000 4000 2 1 0.00078300000000000
4000 4000 2 1 0.00079400000000000
4000 4000 2 1 0.00079100000000000
4000 4000 2 1 0.00081400000000000
5500 5500 2 1 0.00004000000000000
6000 6000 2 1 0.00027300000000000
4500 4500 2 1 0.00089400000000000
4500 4500 2 1 0.00086500000000000
4500 4500 2 1 0.00085800000000000
4500 4500 2 1 0.00087600000000000
5000 5000 2 1 0.00052700000000000
5000 5000 2 1 0.00052000000000000
5000 5000 2 1 0.00054900000000000
5000 5000 2 1 0.00049300000000000
5000 5000 2 1 0.00049700000000000
5000 5000 2 1 0.00051000000000000
5500 5500 2 1 0.00054600000000000
5500 5500 2 1 0.00062700000000000
5500 5500 2 1 0.00062300000000000
5500 5500 2 1 0.00059000000000000
5500 5500 2 1 0.00045400000000000
5500 5500 2 1 0.00045000000000000
6000 6000 2 1 0.00028700000000000
6000 6000 2 1 0.00053900000000000
6000 6000 2 1 0.00056500000000000
6000 6000 2 1 0.00052000000000000
6000 6000 2 1 0.00052100000000000
6000 6000 2 1 0.00053100000000000
6000 6000 2 1 0.00049900000000000
6000 6000 2 1 0.00053800000000000
6000 6000 2 1 0.00043400000000000
6500 6500 2 1 0.00046800000000000
6500 6500 2 1 0.00049600000000000
6500 6500 2 1 0.00053200000000000
6500 6500 2 1 0.00048900000000000
6500 6500 2 1 0.00046000000000000
6500 6500 2 1 0.00050800000000000
6500 6500 2 1 0.00054500000000000
6500 6500 2 1 0.00049400000000000
6500 6500 2 1 0.00044500000000000
6500 6500 2 1 0.00044000000000000
7000 7000 2 1 0.00030800000000000
7000 7000 2 1 0.00055100000000000
7000 7000 2 1 0.00055700000000000
7000 7000 2 1 0.00055500000000000
7000 7000 2 1 0.00043000000000000
7000 7000 2 1 0.00041800000000000
7000 7000 2 1 0.00052600000000000
7000 7000 2 1 0.00050800000000000
7000 7000 2 1 0.00060000000000000
7000 7000 2 1 0.00048100000000000
7500 7500 2 1 0.00103000000000000
7500 7500 2 1 0.00096300000000000
7500 7500 2 1 0.00095300000000000
7500 7500 2 1 0.00083800000000000
7500 7500 2 1 0.00096100000000000
7500 7500 2 1 0.00092600000000000
7500 7500 2 1 0.00089300000000000
7500 7500 2 1 0.00090700000000000
7500 7500 2 1 0.00082300000000000
7500 7500 2 1 0.00083800000000000
8000 8000 2 1 0.00031300000000000
8000 8000 2 1 0.00069200000000000
8000 8000 2 1 0.00072600000000000
8000 8000 2 1 0.00067500000000000
8000 8000 2 1 0.00066900000000000
8000 8000 2 1 0.00081200000000000
8000 8000 2 1 0.00077000000000000
8000 8000 2 1 0.00085300000000000
8000 8000 2 1 0.00067900000000000
8000 8000 2 1 0.00065000000000000
8500 8500 2 1 0.00050600000000000
8500 8500 2 1 0.00055000000000000
8500 8500 2 1 0.00062200000000000
8500 8500 2 1 0.00061300000000000
8500 8500 2 1 0.00056600000000000
8500 8500 2 1 0.00054900000000000
8500 8500 2 1 0.00064300000000000
8500 8500 2 1 0.00045200000000000
8500 8500 2 1 0.00056100000000000
8500 8500 2 1 0.00061500000000000
9000 9000 2 1 0.00029100000000000
9000 9000 2 1 0.00047600000000000
9000 9000 2 1 0.00054000000000000
9000 9000 2 1 0.00052600000000000
9000 9000 2 1 0.00048800000000000
9000 9000 2 1 0.00056600000000000
9000 9000 2 1 0.00054800000000000
9000 9000 2 1 0.00047300000000000
9000 9000 2 1 0.00059700000000000
9000 9000 2 1 0.00053100000000000
9500 9500 2 1 0.00086900000000000
9500 9500 2 1 0.00085700000000000
9500 9500 2 1 0.00072400000000000
9500 9500 2 1 0.00073000000000000
9500 9500 2 1 0.00067700000000000
9500 9500 2 1 0.00071700000000000
9500 9500 2 1 0.00062800000000000
9500 9500 2 1 0.00064300000000000
9500 9500 2 1 0.00050100000000000
9500 9500 2 1 0.00045900000000000
10000 10000 2 1 0.00046700000000000
10000 10000 2 1 0.00023100000000000
10000 10000 2 1 0.00045300000000000
10000 10000 2 1 0.00049300000000000
10000 10000 2 1 0.00045400000000000
10000 10000 2 1 0.00035500000000000
10000 10000 2 1 0.00016400000000000
10000 10000 2 1 0.00011300000000000
10000 10000 2 1 0.00017400000000000
10000 10000 2 1 0.00017000000000000
