Nodos Aristas Frontera |CMF| Segundos
4000 3999 16 2 0.00111900000000000
3500 3499 19 2 0.00056600000000000
3500 3499 15 2 0.00055000000000000
3500 3499 15 2 0.00057100000000000
3500 3499 21 2 0.00057400000000000
3500 3499 23 2 0.00053700000000000
3500 3499 22 2 0.00058600000000000
3500 3499 19 2 0.00053900000000000
3500 3499 23 2 0.00055500000000000
3500 3499 17 2 0.00055800000000000
3500 3499 23 2 0.00048900000000000
4000 3999 19 2 0.00097900000000000
4000 3999 23 2 0.00089600000000000
4000 3999 27 2 0.00087100000000000
4000 3999 23 2 0.00095000000000000
4000 3999 21 2 0.00088100000000000
4000 3999 23 2 0.00078900000000000
4000 3999 23 2 0.00078300000000000
4000 3999 18 2 0.00096900000000000
4000 3999 24 2 0.00085400000000000
4500 4499 21 2 0.00023300000000000
4500 4499 18 2 0.00084500000000000
4500 4499 21 2 0.00082800000000000
4500 4499 14 2 0.00079300000000000
4500 4499 16 2 0.00081800000000000
4500 4499 20 2 0.00068900000000000
4500 4499 16 2 0.00068800000000000
4500 4499 23 2 0.00064100000000000
4500 4499 24 2 0.00063200000000000
4500 4499 21 2 0.00057300000000000
5000 4999 19 2 0.00028900000000000
5000 4999 20 2 0.00030200000000000
5000 4999 18 2 0.00032000000000000
5000 4999 21 2 0.00030400000000000
5000 4999 16 2 0.00028100000000000
5000 4999 18 2 0.00011300000000000
5000 4999 23 2 0.00009500000000000
5000 4999 18 2 0.00010200000000000
5000 4999 14 2 0.00009100000000000
5000 4999 21 2 0.00008200000000000
