Nodos Aristas Frontera |CMF| Segundos
3500 1147129 1749 2 0.00011500000000000
3500 1147129 1749 2 0.00010800000000000
3500 1147129 1749 2 0.00011200000000000
3500 1147129 1749 2 0.00011200000000000
4000 1498504 1999 2 0.00012700000000000
4000 1498504 1999 2 0.00013000000000000
4000 1498504 1999 2 0.00012700000000000
4000 1498504 1999 2 0.00012600000000000
4000 1498504 1999 2 0.00012700000000000
3500 1147129 1749 2 0.00010800000000000
3500 1147129 1749 2 0.00010800000000000
3500 1147129 1749 2 0.00010800000000000
3500 1147129 1749 2 0.00010800000000000
4500 1896754 2249 2 0.00016100000000000
4500 1896754 2249 2 0.00015600000000000
4500 1896754 2249 2 0.00015700000000000
4500 1896754 2249 2 0.00015600000000000
4500 1896754 2249 2 0.00015700000000000
3500 1147129 1749 2 0.00032100000000000
5000 2341879 2499 2 0.00018000000000000
5000 2341879 2499 2 0.00017900000000000
5000 2341879 2499 2 0.00017600000000000
5000 2341879 2499 2 0.00018800000000000
5000 2341879 2499 2 0.00018200000000000
5000 2341879 2499 2 0.00017600000000000
5000 2341879 2499 2 0.00017600000000000
4000 1498504 1999 2 0.00013000000000000
4000 1498504 1999 2 0.00012600000000000
4000 1498504 1999 2 0.00012700000000000
4000 1498504 1999 2 0.00012700000000000
4000 1498504 1999 2 0.00012600000000000
4500 1896754 2249 2 0.00016700000000000
4500 1896754 2249 2 0.00016400000000000
4500 1896754 2249 2 0.00017000000000000
4500 1896754 2249 2 0.00016300000000000
4500 1896754 2249 2 0.00015700000000000
3500 1147129 1749 2 0.00026500000000000
5000 2341879 2499 2 0.00043600000000000
5000 2341879 2499 2 0.00020000000000000
5000 2341879 2499 2 0.00017600000000000
