Nodos Aristas Frontera |CMF| Segundos
16 22 7 2 0.00136000000000000
17 23 7 2 0.00000300000000000
18 24 8 2 0.00000100000000000
17 23 7 2 0.00000400000000000
18 24 8 2 0.00000100000000000
18 24 8 2 0.00000200000000000
17 23 7 2 0.00000200000000000
18 24 8 2 0.00000200000000000
16 22 7 2 0.00000700000000000
16 22 7 2 0.00022700000000000
16 22 7 2 0.00001000000000000
19 25 8 2 0.00000200000000000
18 24 8 2 0.00000200000000000
17 23 7 2 0.00000500000000000
19 25 8 2 0.00000200000000000
18 24 8 2 0.00000400000000000
19 25 8 2 0.00000200000000000
19 25 8 2 0.00000200000000000
17 23 7 2 0.00000200000000000
18 24 8 2 0.00000100000000000
18 24 8 2 0.00000700000000000
17 23 7 2 0.00000200000000000
18 24 8 2 0.00000100000000000
20 34 9 2 0.00000100000000000
20 34 9 2 0.00000200000000000
19 25 8 2 0.00000100000000000
19 25 8 2 0.00000200000000000
20 34 9 2 0.00000100000000000
16 22 7 2 0.00030900000000000
19 25 8 2 0.00000200000000000
16 22 7 2 0.00000500000000000
20 34 9 2 0.00000200000000000
20 34 9 2 0.00000200000000000
19 25 8 2 0.00000200000000000
18 24 8 2 0.00000200000000000
21 35 9 2 0.00000700000000000
21 35 9 2 0.00000100000000000
20 34 9 2 0.00000200000000000
21 35 9 2 0.00000400000000000
21 35 9 2 0.00000700000000000
22 36 10 2 0.00000100000000000
22 36 10 2 0.00000200000000000
21 35 9 2 0.00000500000000000
17 23 7 2 0.00000500000000000
17 23 7 2 0.00000200000000000
16 22 7 2 0.00001100000000000
22 36 10 2 0.00000100000000000
21 35 9 2 0.00000700000000000
22 36 10 2 0.00000200000000000
21 35 9 2 0.00000200000000000
23 37 10 2 0.00000100000000000
22 36 10 2 0.00000200000000000
23 37 10 2 0.00000200000000000
17 23 7 2 0.00001200000000000
22 36 10 2 0.00000200000000000
19 25 8 2 0.00000200000000000
23 37 10 2 0.00000200000000000
19 25 8 2 0.00000200000000000
20 34 9 2 0.00000100000000000
21 35 9 2 0.00000800000000000
24 49 11 2 0.00000200000000000
20 34 9 2 0.00000100000000000
24 49 11 2 0.00000200000000000
16 22 7 2 0.00000800000000000
22 36 10 2 0.00000200000000000
20 34 9 2 0.00000100000000000
17 23 7 2 0.00001100000000000
23 37 10 2 0.00000100000000000
24 49 11 2 0.00000200000000000
