Nodos Aristas Frontera |CMF| Segundos
3500 3499 3498 2 0.00003300000000000
4000 3999 129 2 0.00001200000000000
4000 3999 129 2 0.00001200000000000
4500 4499 409 2 0.00001500000000000
3500 3499 3498 2 0.00003300000000000
5000 4999 4998 2 0.00005000000000000
5000 4999 4998 2 0.00005000000000000
4000 3999 129 2 0.00001200000000000
4000 3999 129 2 0.00001200000000000
5500 5499 611 2 0.00002000000000000
5500 5499 422 2 0.00001900000000000
3500 3499 3498 2 0.00003300000000000
4500 4499 409 2 0.00001600000000000
6000 5999 856 2 0.00002400000000000
4000 3999 129 2 0.00001200000000000
6500 6499 97 2 0.00001900000000000
6500 6499 97 2 0.00001900000000000
5000 4999 4998 2 0.00005000000000000
5000 4999 4998 2 0.00005100000000000
3500 3499 3498 2 0.00003200000000000
4500 4499 409 2 0.00001600000000000
3500 3499 3498 2 0.00024400000000000
7000 6999 2333 2 0.00003700000000000
7000 6999 2332 2 0.00003800000000000
3500 3499 3498 2 0.00005300000000000
4500 4499 409 2 0.00001600000000000
9500 9499 413 2 0.00004800000000000
5500 5499 611 2 0.00002000000000000
5500 5499 1833 2 0.00002900000000000
3500 3499 3498 2 0.00006500000000000
4000 3999 129 2 0.00001200000000000
7500 7499 7498 2 0.00007900000000000
3500 3499 3498 2 0.00007000000000000
4000 3999 129 2 0.00001200000000000
3500 3499 3498 2 0.00004900000000000
6000 5999 856 2 0.00002300000000000
9500 9499 1357 2 0.00006400000000000
3500 3499 3498 2 0.00009200000000000
5000 4999 4998 2 0.00005100000000000
5000 4999 4998 2 0.00004800000000000
8000 7999 421 2 0.00002600000000000
8000 7999 421 2 0.00002600000000000
4500 4499 409 2 0.00001500000000000
4500 4499 409 2 0.00001600000000000
4000 3999 129 2 0.00001200000000000
6500 6499 97 2 0.00001900000000000
6500 6499 97 2 0.00001900000000000
8500 8499 2833 2 0.00004700000000000
8500 8499 2832 2 0.00004800000000000
4000 3999 129 2 0.00001200000000000
5500 5499 611 2 0.00001900000000000
4500 4499 409 2 0.00001500000000000
7000 6999 2332 2 0.00003700000000000
6000 5999 857 2 0.00002300000000000
7000 6999 2332 2 0.00003900000000000
5000 4999 4998 2 0.00005000000000000
5000 4999 4998 2 0.00004800000000000
9000 8999 8998 2 0.00010000000000000
4000 3999 129 2 0.00001200000000000
4500 4499 408 2 0.00001600000000000
6000 5999 856 2 0.00002300000000000
7500 7499 7498 2 0.00007700000000000
4500 4499 409 2 0.00001500000000000
9500 9499 1357 2 0.00003700000000000
5500 5499 1833 2 0.00002800000000000
5000 4999 4998 2 0.00004900000000000
4500 4499 409 2 0.00001500000000000
6500 6499 97 2 0.00001900000000000
8000 7999 421 2 0.00002500000000000
6500 6499 97 2 0.00001800000000000
6000 5999 856 2 0.00002300000000000
8000 7999 421 2 0.00002500000000000
8500 8499 2832 2 0.00004600000000000
5500 5499 1833 2 0.00002900000000000
6000 5999 857 2 0.00002400000000000
7000 6999 2333 2 0.00003700000000000
5000 4999 4998 2 0.00004700000000000
5500 5499 1833 2 0.00002900000000000
10000 9999 909 2 0.00003500000000000
6500 6499 97 2 0.00001900000000000
9000 8999 8998 2 0.00010500000000000
10000 9999 1111 2 0.00003800000000000
7500 7499 7498 2 0.00008000000000000
8500 8499 2832 2 0.00004900000000000
5500 5499 423 2 0.00001800000000000
9500 9499 1357 2 0.00003900000000000
6000 5999 857 2 0.00002600000000000
6500 6499 97 2 0.00001900000000000
7500 7499 7498 2 0.00007900000000000
6000 5999 857 2 0.00002400000000000
8000 7999 421 2 0.00002900000000000
9500 9499 413 2 0.00003000000000000
7500 7499 7498 2 0.00008100000000000
5500 5499 423 2 0.00001900000000000
8000 7999 421 2 0.00002600000000000
6000 5999 856 2 0.00002400000000000
6500 6499 97 2 0.00002000000000000
7000 6999 2332 2 0.00003700000000000
8500 8499 2833 2 0.00005000000000000
7500 7499 7498 2 0.00008400000000000
9000 8999 8998 2 0.00009500000000000
6000 5999 857 2 0.00002300000000000
10000 9999 1111 2 0.00003900000000000
7000 6999 2332 2 0.00003800000000000
7500 7499 7498 2 0.00008400000000000
6500 6499 97 2 0.00001900000000000
10000 9999 1111 2 0.00004000000000000
9500 9499 1357 2 0.00004100000000000
9500 9499 413 2 0.00003100000000000
8500 8499 2832 2 0.00004600000000000
9000 8999 8998 2 0.00010100000000000
8000 7999 421 2 0.00002600000000000
8000 7999 421 2 0.00002500000000000
7500 7499 7498 2 0.00007700000000000
7000 6999 2332 2 0.00003900000000000
10000 9999 1111 2 0.00003800000000000
7000 6999 2333 2 0.00003900000000000
9000 8999 8998 2 0.00011300000000000
7500 7499 7498 2 0.00008300000000000
7000 6999 2332 2 0.00003700000000000
9500 9499 1357 2 0.00003700000000000
8000 7999 7998 2 0.00009000000000000
7500 7499 7498 2 0.00008700000000000
8500 8499 2832 2 0.00004700000000000
8500 8499 2833 2 0.00004600000000000
10000 9999 303 2 0.00003000000000000
9500 9499 413 2 0.00003000000000000
9000 8999 8998 2 0.00010300000000000
10000 9999 3333 2 0.00005700000000000
9000 8999 8998 2 0.00010200000000000
8000 7999 421 2 0.00002600000000000
9500 9499 1357 2 0.00003800000000000
8500 8499 2832 2 0.00004800000000000
9000 8999 8998 2 0.00009700000000000
8500 8499 2832 2 0.00004700000000000
10000 9999 3333 2 0.00005500000000000
9000 8999 8998 2 0.00010700000000000
10000 9999 908 2 0.00003500000000000
9000 8999 8998 2 0.00009700000000000
10000 9999 1111 2 0.00003700000000000
