Nodos Aristas Frontera |CMF| Segundos
4000 6215014 100358 32 2.28993700000000011
3500 4542999 70846 27 1.64910399999999990
3500 4572736 73906 28 1.64513700000000007
3500 4794415 91122 33 1.86808500000000000
3500 5301281 151902 50 2.39199999999999990
4000 5869820 80093 27 2.09971899999999989
4500 6868362 68340 22 2.32684999999999986
4500 7490841 87710 26 2.78141699999999981
4500 7546209 98580 29 2.79061899999999996
4000 7212961 243915 68 3.74914199999999997
4500 7828469 115649 33 2.95936300000000019
5000 8378002 75017 22 2.88296900000000011
5000 8749880 81679 23 3.12552500000000011
3500 6002456 991353 316 12.55521500000000046
5000 10096889 158641 39 3.78835299999999986
5000 10191113 156104 38 3.80479799999999990
5000 10345558 170632 41 3.92311299999999985
4000 7743615 730187 197 9.24620099999999923
4000 7791757 887603 241 11.17047499999999971
4500 9676847 608472 145 8.26836699999999958
