Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 0.19200100000000000
4000 285439 425 2 0.09229800000000001
3500 433875 3498 2 0.55350600000000005
4000 486736 1022 2 0.24593799999999999
4500 398641 4336 2 1.04820700000000011
4000 608411 752 2 0.17268600000000001
3500 670594 1876 2 0.37675199999999998
4500 569248 4102 2 0.95076300000000002
4500 775484 871 2 0.22309999999999999
3500 907074 2660 2 0.58284100000000005
4000 1114098 2283 2 0.52576999999999996
4500 1290604 1773 2 0.51483500000000004
4000 1265167 2604 2 0.60356299999999996
3500 1422066 1835 2 0.36305700000000002
5000 93608 384 2 0.08352900000000001
5000 416956 1101 2 0.26399699999999998
3500 1899478 2476 2 0.50314999999999999
5000 1063276 4998 2 1.31319999999999992
4000 2031271 2757 2 0.68106199999999995
3500 2211789 2744 2 0.64751300000000001
4500 1738548 2811 2 0.77279900000000001
3500 2245351 2790 2 0.54462699999999997
4500 1672000 1644 2 0.49955100000000002
5000 1464380 1721 2 0.42487300000000000
4000 2524664 2758 2 0.61276799999999998
4500 2274923 3589 2 0.93378700000000003
3500 1443321 1863 2 0.74910900000000002
4000 2723325 2985 2 0.69940199999999997
3500 2303788 2945 2 0.76834599999999997
5000 2110290 4377 2 1.10574400000000006
5000 2616935 2546 2 0.68249599999999999
4000 3076534 3262 2 0.79595199999999999
5000 2641829 3057 2 0.81811400000000001
5000 2062626 2294 2 0.64191500000000001
5000 2096141 1846 2 0.52985099999999996
4500 2784035 2800 2 0.71167800000000003
4000 3848718 3948 2 0.85887000000000002
4500 3235685 4310 2 0.99406200000000000
5000 3792365 4978 2 1.09376300000000004
4500 4409102 4132 2 0.99661200000000005
