Nodos Aristas Frontera |CMF| Segundos
3500 10494 64 3 0.00823200000000000
3500 10494 58 3 0.00681900000000000
3500 10494 70 3 0.00816600000000000
3500 10494 62 4 0.00717400000000000
3500 10494 70 3 0.00755000000000000
3500 10494 68 3 0.00749000000000000
3500 10494 65 3 0.00768800000000000
3500 10494 89 3 0.00814100000000000
3500 10494 91 3 0.00836100000000000
3500 10494 95 3 0.00841100000000000
4000 11994 70 3 0.00721600000000000
4000 11994 84 3 0.00774200000000000
4000 11994 81 3 0.00827600000000000
4000 11994 68 3 0.00677800000000000
4000 11994 63 3 0.00696800000000000
4000 11994 69 4 0.00704900000000000
4000 11994 82 3 0.00811000000000000
4000 11994 80 4 0.00799300000000000
4000 11994 89 3 0.00790400000000000
4000 11994 87 3 0.00825300000000000
4500 13494 107 3 0.00812300000000000
4500 13494 71 3 0.00752900000000000
4500 13494 87 3 0.00838400000000000
4500 13494 85 3 0.00869500000000000
4500 13494 98 3 0.00889600000000000
4500 13494 72 3 0.00784100000000000
4500 13494 73 3 0.00783700000000000
4500 13494 47 3 0.00617400000000000
4500 13494 76 3 0.00799000000000000
4500 13494 78 4 0.00805100000000000
5000 14994 86 3 0.00862300000000000
5000 14994 84 4 0.00907500000000000
5000 14994 109 3 0.00924900000000000
5000 14994 70 3 0.00699000000000000
5000 14994 60 3 0.00523000000000000
5000 14994 65 3 0.00462600000000000
5000 14994 91 3 0.00570800000000000
5000 14994 64 3 0.00560700000000000
5000 14994 72 3 0.00673100000000000
5000 14994 78 3 0.00661500000000000
