Nodos Aristas Frontera |CMF| Segundos
3500 3499 5 2 0.01566800000000000
3500 3499 5 2 0.00929800000000000
3500 3499 5 2 0.00922400000000000
3500 3499 5 2 0.00917900000000000
3500 3499 5 2 0.00927400000000000
3500 3499 5 2 0.00944500000000000
3500 3499 5 2 0.00949900000000000
3750 3749 5 2 0.01112500000000000
3750 3749 5 2 0.00979200000000000
3000 2999 5 2 0.01047100000000000
3000 2999 5 2 0.01758900000000000
3000 2999 5 2 0.01001200000000000
3000 2999 5 2 0.00983300000000000
3750 3749 5 2 0.00941600000000000
3000 2999 5 2 0.00997000000000000
3000 2999 5 2 0.01813400000000000
3000 2999 5 2 0.01010300000000000
3000 2999 5 2 0.01745800000000000
3000 2999 5 2 0.02736000000000000
3000 2999 5 2 0.02729700000000000
3750 3749 5 2 0.00946600000000000
4000 3999 5 2 0.01721000000000000
3250 3249 5 2 0.01381600000000000
3250 3249 5 2 0.01314600000000000
3250 3249 5 2 0.01382100000000000
3250 3249 5 2 0.01390000000000000
3250 3249 5 2 0.01491500000000000
3250 3249 5 2 0.01462500000000000
3250 3249 5 2 0.01455500000000000
3250 3249 5 2 0.01575100000000000
3250 3249 5 2 0.01543300000000000
3250 3249 5 2 0.01119500000000000
4000 3999 5 2 0.01290400000000000
3500 3499 5 2 0.01189900000000000
3500 3499 5 2 0.01025000000000000
3500 3499 5 2 0.01583600000000000
4250 4249 5 2 0.01392900000000000
4250 4249 5 2 0.01125100000000000
4500 4499 5 2 0.01398600000000000
4500 4499 5 2 0.01213500000000000
4500 4499 5 2 0.01218300000000000
4500 4499 5 2 0.01216800000000000
3750 3749 5 2 0.01291900000000000
4500 4499 5 2 0.01218800000000000
4500 4499 5 2 0.01226100000000000
3750 3749 5 2 0.01626400000000000
4500 4499 5 2 0.01199900000000000
3750 3749 5 2 0.01551500000000000
4000 3999 5 2 0.01581000000000000
3750 3749 5 2 0.01473700000000000
3750 3749 5 2 0.01375700000000000
4000 3999 5 2 0.01422700000000000
4000 3999 5 2 0.01522200000000000
3750 3749 5 2 0.01292600000000000
4000 3999 5 2 0.01347500000000000
4000 3999 5 2 0.01467300000000000
4750 4749 5 2 0.01612100000000000
4000 3999 5 2 0.01559900000000000
4000 3999 5 2 0.01312400000000000
5000 4999 5 2 0.01559400000000000
4250 4249 5 2 0.01614700000000000
4000 3999 5 2 0.01297900000000000
4250 4249 5 2 0.01377900000000000
5000 4999 5 2 0.01332600000000000
4250 4249 5 2 0.01570200000000000
5000 4999 5 2 0.01332500000000000
4250 4249 5 2 0.01409900000000000
5000 4999 5 2 0.01360900000000000
4250 4249 5 2 0.01472100000000000
4250 4249 5 2 0.01497900000000000
4250 4249 5 2 0.01643300000000000
4250 4249 5 2 0.01232500000000000
5500 5499 5 2 0.01482200000000000
5500 5499 5 2 0.01902600000000000
4500 4499 5 2 0.01801000000000000
5500 5499 5 2 0.01896300000000000
4500 4499 5 2 0.01812600000000000
5500 5499 5 2 0.01881400000000000
4500 4499 5 2 0.01858200000000000
4750 4749 5 2 0.01968700000000000
4750 4749 5 2 0.01892800000000000
4750 4749 5 2 0.03229000000000000
4750 4749 5 2 0.02143700000000000
4750 4749 5 2 0.02220000000000000
4750 4749 5 2 0.02207600000000000
6000 5999 5 2 0.02457600000000000
4750 4749 5 2 0.01874700000000000
4750 4749 5 2 0.02049900000000000
6000 5999 5 2 0.01633000000000000
4750 4749 5 2 0.01658200000000000
5000 4999 5 2 0.01720100000000000
5000 4999 5 2 0.01601300000000000
5000 4999 5 2 0.02050000000000000
5000 4999 5 2 0.01748400000000000
5000 4999 5 2 0.01528200000000000
6500 6499 5 2 0.02207900000000000
5000 4999 5 2 0.01958600000000000
6500 6499 5 2 0.01812200000000000
5500 5499 5 2 0.02057200000000000
7000 6999 5 2 0.02487800000000000
5500 5499 5 2 0.02125600000000000
5500 5499 5 2 0.01782600000000000
7000 6999 5 2 0.01930200000000000
7000 6999 5 2 0.01988200000000000
5500 5499 5 2 0.02230700000000000
5500 5499 5 2 0.02187800000000000
7000 6999 5 2 0.01937200000000000
5500 5499 5 2 0.01813000000000000
7500 7499 5 2 0.02464200000000000
7500 7499 5 2 0.02435400000000000
6000 5999 5 2 0.02022800000000000
6000 5999 5 2 0.02066500000000000
6000 5999 5 2 0.02058100000000000
7500 7499 5 2 0.02109500000000000
6000 5999 5 2 0.02020700000000000
6000 5999 5 2 0.02886000000000000
6000 5999 5 2 0.02312600000000000
7500 7499 5 2 0.02097700000000000
6000 5999 5 2 0.01937700000000000
6000 5999 5 2 0.02390700000000000
8000 7999 5 2 0.02576700000000000
6500 6499 5 2 0.02159200000000000
6500 6499 5 2 0.02257900000000000
8000 7999 5 2 0.02241900000000000
6500 6499 5 2 0.02594300000000000
6500 6499 5 2 0.02357900000000000
6500 6499 5 2 0.02363000000000000
6500 6499 5 2 0.02528500000000000
6500 6499 5 2 0.03347300000000000
8000 7999 5 2 0.02221400000000000
6500 6499 5 2 0.02053400000000000
8500 8499 5 2 0.02736200000000000
8500 8499 5 2 0.02414200000000000
7000 6999 5 2 0.02190500000000000
8500 8499 5 2 0.02419100000000000
7000 6999 5 2 0.02331400000000000
7000 6999 5 2 0.02620300000000000
7000 6999 5 2 0.03296900000000000
8500 8499 5 2 0.02584600000000000
7000 6999 5 2 0.02301900000000000
7000 6999 5 2 0.02292500000000000
9000 8999 5 2 0.02977800000000000
7500 7499 5 2 0.02557500000000000
7500 7499 5 2 0.02527100000000000
7500 7499 5 2 0.02520500000000000
7500 7499 5 2 0.02472100000000000
7500 7499 5 2 0.02434100000000000
7500 7499 5 2 0.03003100000000000
8000 7999 5 2 0.02871900000000000
8000 7999 5 2 0.02736400000000000
8000 7999 5 2 0.02775600000000000
8000 7999 5 2 0.02729600000000000
8000 7999 5 2 0.03371100000000000
8000 7999 5 2 0.03513000000000000
8000 7999 5 2 0.02608000000000000
8500 8499 5 2 0.02743500000000000
8500 8499 5 2 0.02818500000000000
8500 8499 5 2 0.02723200000000000
8500 8499 5 2 0.03131300000000000
8500 8499 5 2 0.03494700000000000
8500 8499 5 2 0.03985500000000000
9000 8999 5 2 0.03627700000000000
9000 8999 5 2 0.02980400000000000
9000 8999 5 2 0.02942100000000000
9000 8999 5 2 0.03014100000000000
9000 8999 5 2 0.02943600000000000
9000 8999 5 2 0.03169000000000000
9000 8999 5 2 0.02993900000000000
9000 8999 5 2 0.02949600000000000
9000 8999 5 2 0.02894100000000000
9500 9499 5 2 0.04124500000000000
9500 9499 5 2 0.03959900000000000
9500 9499 5 2 0.03860400000000000
9500 9499 5 2 0.04080100000000000
9500 9499 5 2 0.03621600000000000
9500 9499 5 2 0.04560600000000000
