Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00001800000000000
3 2 2 1 0.00000600000000000
2 1 1 1 0.00001200000000000
2 1 1 1 0.00017700000000000
3 2 2 1 0.00004100000000000
3 2 2 1 0.00141700000000000
2 1 1 1 0.00000700000000000
2 1 1 1 0.00001000000000000
5 4 4 1 0.00000900000000000
4 3 3 1 0.00001700000000000
3 2 2 1 0.00000800000000000
4 3 3 1 0.00003200000000000
4 3 3 1 0.00000600000000000
3 2 2 1 0.00000900000000000
5 4 4 1 0.00000500000000000
2 1 1 1 0.00001300000000000
5 4 4 1 0.00000400000000000
5 4 4 1 0.00000600000000000
5 4 4 1 0.00000500000000000
5 4 4 1 0.00000600000000000
4 3 3 1 0.00002000000000000
6 5 5 1 0.00001200000000000
5 4 4 1 0.00000600000000000
6 5 5 1 0.00001000000000000
4 3 3 1 0.00001700000000000
6 5 5 1 0.00001300000000000
6 5 5 1 0.00001000000000000
6 5 5 1 0.00000700000000000
6 5 5 1 0.00001400000000000
7 6 6 1 0.00000900000000000
4 3 3 1 0.00000500000000000
5 4 4 1 0.00000700000000000
4 3 3 1 0.00000400000000000
7 6 6 1 0.00001200000000000
6 5 5 1 0.00001600000000000
6 5 5 1 0.00000600000000000
7 6 6 1 0.00000900000000000
4 3 3 1 0.00000800000000000
8 7 7 1 0.00000700000000000
7 6 6 1 0.00000700000000000
2 1 1 1 0.00009300000000000
7 6 6 1 0.00000900000000000
3 2 2 1 0.00000800000000000
3 2 2 1 0.00000800000000000
6 5 5 1 0.00001400000000000
8 7 7 1 0.00000700000000000
6 5 5 1 0.00000600000000000
7 6 6 1 0.00001600000000000
2 1 1 1 0.00001200000000000
2 1 1 1 0.00010300000000000
8 7 7 1 0.00000700000000000
4 3 3 1 0.00000400000000000
9 8 8 1 0.00001000000000000
5 4 4 1 0.00000700000000000
8 7 7 1 0.00000900000000000
7 6 6 1 0.00000900000000000
2 1 1 1 0.00011700000000000
9 8 8 1 0.00001300000000000
9 8 8 1 0.00001000000000000
7 6 6 1 0.00000800000000000
8 7 7 1 0.00001000000000000
8 7 7 1 0.00000900000000000
9 8 8 1 0.00001000000000000
5 4 4 1 0.00001200000000000
7 6 6 1 0.00000900000000000
7 6 6 1 0.00000700000000000
8 7 7 1 0.00000900000000000
10 9 9 1 0.00001200000000000
9 8 8 1 0.00001300000000000
10 9 9 1 0.00001100000000000
11 10 10 1 0.00001100000000000
11 10 10 1 0.00002500000000000
8 7 7 1 0.00000700000000000
10 9 9 1 0.00001300000000000
3 2 2 1 0.00001200000000000
11 10 10 1 0.00002500000000000
9 8 8 1 0.00001500000000000
11 10 10 1 0.00002500000000000
11 10 10 1 0.00002200000000000
10 9 9 1 0.00001400000000000
11 10 10 1 0.00001700000000000
3 2 2 1 0.00005300000000000
10 9 9 1 0.00001400000000000
12 11 11 1 0.00002400000000000
11 10 10 1 0.00001300000000000
10 9 9 1 0.00001400000000000
12 11 11 1 0.00001900000000000
9 8 8 1 0.00001200000000000
12 11 11 1 0.00001800000000000
12 11 11 1 0.00001500000000000
9 8 8 1 0.00001300000000000
12 11 11 1 0.00002000000000000
12 11 11 1 0.00001900000000000
12 11 11 1 0.00001900000000000
11 10 10 1 0.00001300000000000
10 9 9 1 0.00001200000000000
13 12 12 1 0.00001900000000000
13 12 12 1 0.00002200000000000
13 12 12 1 0.00001700000000000
9 8 8 1 0.00001300000000000
14 13 13 1 0.00002400000000000
13 12 12 1 0.00001900000000000
13 12 12 1 0.00001400000000000
12 11 11 1 0.00002000000000000
13 12 12 1 0.00002200000000000
14 13 13 1 0.00002400000000000
12 11 11 1 0.00001500000000000
14 13 13 1 0.00002400000000000
9 8 8 1 0.00001100000000000
14 13 13 1 0.00002300000000000
14 13 13 1 0.00002400000000000
4 3 3 1 0.00000600000000000
13 12 12 1 0.00002200000000000
3 2 2 1 0.00000800000000000
10 9 9 1 0.00001400000000000
13 12 12 1 0.00001700000000000
11 10 10 1 0.00002300000000000
15 14 14 1 0.00002500000000000
15 14 14 1 0.00002800000000000
14 13 13 1 0.00001900000000000
15 14 14 1 0.00002200000000000
14 13 13 1 0.00002600000000000
14 13 13 1 0.00001900000000000
14 13 13 1 0.00002100000000000
16 15 15 1 0.00002400000000000
13 12 12 1 0.00002100000000000
16 15 15 1 0.00002500000000000
16 15 15 1 0.00002900000000000
16 15 15 1 0.00003200000000000
15 14 14 1 0.00002100000000000
16 15 15 1 0.00003000000000000
17 16 16 1 0.00002600000000000
8 7 7 1 0.00000900000000000
16 15 15 1 0.00001900000000000
