Nodos Aristas Frontera |CMF| Segundos
4000 11994 81 3 0.05582700000000000
3500 10494 77 3 0.02152300000000000
3500 10494 78 3 0.02812400000000000
3500 10494 88 4 0.03063100000000000
3500 10494 84 3 0.03171100000000000
3500 10494 67 3 0.03457700000000000
3500 10494 83 3 0.04455600000000000
3500 10494 81 3 0.04346100000000000
3500 10494 84 3 0.05293800000000000
3500 10494 70 3 0.05276500000000000
3500 10494 76 3 0.05445700000000000
4000 11994 70 3 0.01997900000000000
4000 11994 58 3 0.02377400000000000
4000 11994 78 3 0.02836500000000000
4000 11994 86 3 0.03088300000000000
4000 11994 81 4 0.03188400000000000
4000 11994 72 3 0.03999900000000000
4000 11994 84 3 0.05011400000000000
4000 11994 79 3 0.05255500000000000
4000 11994 87 3 0.06797100000000000
4500 13494 91 4 0.06030800000000000
4500 13494 85 3 0.05993200000000000
4500 13494 98 3 0.08658600000000000
4500 13494 107 3 0.10085900000000000
4500 13494 107 3 0.09914700000000000
4500 13494 76 3 0.03610900000000000
4500 13494 69 3 0.03289000000000000
4500 13494 74 3 0.05104800000000000
4500 13494 84 3 0.04932900000000000
4500 13494 81 3 0.07446100000000000
5000 14994 82 3 0.03191500000000000
5000 14994 74 3 0.04378100000000000
5000 14994 75 3 0.06899500000000000
5000 14994 72 3 0.03081300000000000
5000 14994 87 4 0.02846100000000000
5000 14994 109 3 0.07818899999999999
5000 14994 92 3 0.06694400000000000
5000 14994 86 3 0.07416100000000000
5000 14994 76 3 0.04897800000000000
5000 14994 71 3 0.05588200000000000
