Nodos Aristas Frontera |CMF| Segundos
3500 1147129 763880 874 138.63180099999999584
3500 1147129 763880 874 138.99935800000000086
3500 1147129 763880 874 139.11995600000000195
3500 1147129 763880 874 152.86406800000000317
3500 1147129 763880 874 161.98723200000000588
3500 1147129 763880 874 162.15492299999999659
3500 1147129 763880 874 162.82196899999999573
3500 1147129 763880 874 162.86363800000000879
3500 1147129 763880 874 163.09959100000000376
3500 1147129 763880 874 163.82739799999998809
4000 1498504 998005 999 179.44100900000000820
4000 1498504 998005 999 177.51240799999999354
4000 1498504 998005 999 211.63763700000001222
4000 1498504 998005 999 212.57672700000000532
