Nodos Aristas Frontera |CMF| Segundos
3500 4572736 73906 28 18.50447300000000084
3500 5301281 151902 50 27.02194000000000074
3500 4542999 70846 27 19.13574900000000056
3500 4794415 91122 33 20.74753199999999964
4000 5869820 80093 27 23.63287599999999955
4000 6215014 100358 32 26.22300600000000159
4500 6868362 68340 22 26.81051700000000082
4500 7546209 98580 29 31.05328000000000088
4500 7490841 87710 26 30.20117300000000071
4500 7828469 115649 33 32.86850499999999897
5000 8378002 75017 22 32.76724699999999757
5000 8749880 81679 23 34.84250699999999767
4000 7212961 243915 68 40.18926100000000190
5000 10096889 158641 39 45.45591300000000246
5000 10191113 156104 38 46.51006100000000032
5000 10345558 170632 41 48.13045999999999935
4500 9676847 608472 145 93.32194499999999948
4000 7743615 730187 197 100.07231099999999913
4000 7791757 887603 241 122.57097799999999665
3500 6002456 991353 316 130.05708300000000577
