Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00001000000000000
2 1 1 1 0.00001300000000000
2 1 1 1 0.00001000000000000
3 2 2 1 0.00001700000000000
4 3 3 1 0.00000800000000000
4 4 2 1 0.00000600000000000
3 2 2 1 0.00070900000000000
2 1 1 1 0.00000900000000000
4 3 3 1 0.00000500000000000
3 2 2 1 0.00000800000000000
4 3 3 1 0.00001600000000000
5 4 4 1 0.00000600000000000
5 4 4 1 0.00000700000000000
4 3 3 1 0.00000600000000000
4 3 3 1 0.00000500000000000
5 6 3 2 0.00000300000000000
4 3 3 1 0.00000800000000000
3 2 2 1 0.00000900000000000
2 1 1 1 0.00097600000000000
3 2 2 1 0.00081000000000000
2 1 1 1 0.00001200000000000
6 8 4 1 0.00000900000000000
6 8 4 2 0.00001000000000000
4 4 2 1 0.00000700000000000
5 4 4 1 0.00000700000000000
3 2 2 1 0.00000600000000000
6 5 5 1 0.00001700000000000
5 6 3 2 0.00000600000000000
2 1 1 1 0.00015700000000000
7 10 5 2 0.00000500000000000
6 8 4 1 0.00000800000000000
6 5 5 1 0.00000900000000000
3 2 2 1 0.00000700000000000
7 12 5 2 0.00001300000000000
5 4 4 1 0.00000800000000000
7 12 5 2 0.00001100000000000
6 9 4 2 0.00001500000000000
3 2 2 1 0.00047900000000000
3 2 2 1 0.00000700000000000
7 6 6 1 0.00001100000000000
2 1 1 1 0.00015700000000000
4 3 3 1 0.00000600000000000
8 16 6 2 0.00001700000000000
7 6 6 1 0.00001200000000000
8 15 6 2 0.00001900000000000
3 2 2 1 0.00001200000000000
7 12 5 2 0.00001700000000000
6 8 4 2 0.00001300000000000
8 7 7 1 0.00001800000000000
6 9 4 2 0.00000800000000000
8 7 7 1 0.00002000000000000
9 8 8 1 0.00002000000000000
8 7 7 1 0.00001600000000000
7 6 6 1 0.00001800000000000
4 3 3 1 0.00001800000000000
5 4 4 1 0.00000800000000000
7 12 5 2 0.00001400000000000
9 8 8 1 0.00002300000000000
8 7 7 1 0.00001900000000000
5 6 3 2 0.00000500000000000
7 12 5 2 0.00001400000000000
9 8 8 1 0.00001900000000000
2 1 1 1 0.00001200000000000
9 20 7 2 0.00002700000000000
5 6 3 2 0.00000600000000000
10 16 8 2 0.00003200000000000
10 16 8 2 0.00003900000000000
9 8 8 1 0.00001900000000000
9 14 7 2 0.00002800000000000
9 18 7 2 0.00002000000000000
10 21 8 2 0.00004000000000000
7 6 6 1 0.00002900000000000
10 25 8 2 0.00003700000000000
10 16 8 2 0.00001700000000000
2 1 1 1 0.00002500000000000
10 16 8 1 0.00000600000000000
