Nodos Aristas Frontera |CMF| Segundos
4 3 2 2 0.00177000000000000
5 4 2 2 0.00001100000000000
3 2 2 1 0.00001000000000000
4 3 2 2 0.00001000000000000
5 4 2 2 0.00000500000000000
4 3 2 2 0.00001200000000000
3 2 2 1 0.00001000000000000
4 3 2 2 0.00001000000000000
3 2 2 1 0.00094900000000000
3 2 2 1 0.00094200000000000
6 5 4 2 0.00001400000000000
3 2 2 1 0.00098600000000000
4 3 2 2 0.00089000000000000
3 2 2 1 0.00000700000000000
6 5 4 2 0.00001400000000000
4 3 2 2 0.00001400000000000
6 5 4 2 0.00001500000000000
3 2 2 1 0.00001300000000000
3 2 2 1 0.00101000000000000
7 6 3 2 0.00001400000000000
6 5 4 2 0.00001500000000000
6 5 4 2 0.00001500000000000
6 5 4 2 0.00001100000000000
4 3 2 2 0.00001000000000000
7 6 5 2 0.00001400000000000
5 4 2 2 0.00000500000000000
5 4 3 2 0.00000800000000000
7 6 3 2 0.00001900000000000
6 5 4 2 0.00001700000000000
3 2 2 1 0.00093000000000000
6 5 4 2 0.00001100000000000
5 4 3 2 0.00001300000000000
5 4 2 2 0.00000400000000000
8 7 6 2 0.00001700000000000
8 7 6 2 0.00001700000000000
7 6 2 2 0.00000500000000000
7 6 5 2 0.00001500000000000
4 3 2 2 0.00001400000000000
5 4 3 2 0.00001400000000000
8 7 6 2 0.00001700000000000
8 7 6 2 0.00001700000000000
7 6 5 2 0.00001400000000000
8 7 6 2 0.00001700000000000
9 8 3 2 0.00002100000000000
5 4 2 2 0.00000900000000000
9 8 3 2 0.00002100000000000
8 7 6 2 0.00001600000000000
4 3 2 2 0.00001500000000000
9 8 3 2 0.00002500000000000
9 8 3 2 0.00002000000000000
10 9 8 2 0.00003100000000000
3 2 2 1 0.00094700000000000
8 7 6 2 0.00001600000000000
10 9 8 2 0.00003100000000000
8 7 6 2 0.00001800000000000
7 6 3 2 0.00001700000000000
5 4 3 2 0.00000900000000000
7 6 2 2 0.00001800000000000
5 4 3 2 0.00001600000000000
9 8 7 2 0.00002400000000000
10 9 3 2 0.00002600000000000
6 5 4 2 0.00001700000000000
10 9 3 2 0.00002500000000000
9 8 3 2 0.00002100000000000
11 10 4 2 0.00003500000000000
6 5 4 2 0.00002200000000000
10 9 3 2 0.00002500000000000
10 9 3 2 0.00002600000000000
11 10 4 2 0.00003400000000000
7 6 5 2 0.00001800000000000
9 8 4 2 0.00002100000000000
10 9 3 2 0.00002500000000000
11 10 4 2 0.00003500000000000
11 10 4 2 0.00003400000000000
12 11 10 2 0.00004500000000000
8 7 6 2 0.00001700000000000
12 11 10 2 0.00005000000000000
9 8 3 2 0.00002100000000000
11 10 4 2 0.00004000000000000
11 10 9 2 0.00004000000000000
10 9 8 2 0.00003100000000000
4 3 2 2 0.00051700000000000
12 11 10 2 0.00005900000000000
11 10 5 2 0.00004300000000000
11 10 4 2 0.00003700000000000
13 12 4 2 0.00004300000000000
11 10 4 2 0.00003100000000000
12 11 10 2 0.00004500000000000
12 11 10 2 0.00004900000000000
13 12 5 2 0.00004400000000000
11 10 4 2 0.00003800000000000
12 11 10 2 0.00005200000000000
9 8 4 2 0.00002300000000000
12 11 10 2 0.00004400000000000
13 12 5 2 0.00004400000000000
13 12 4 2 0.00004300000000000
14 13 12 2 0.00006400000000000
14 13 12 2 0.00006900000000000
7 6 5 2 0.00001500000000000
13 12 5 2 0.00004800000000000
12 11 10 2 0.00004500000000000
14 13 12 2 0.00006500000000000
13 12 5 2 0.00004700000000000
14 13 12 2 0.00006600000000000
15 14 6 2 0.00006200000000000
14 13 12 2 0.00006700000000000
14 13 12 2 0.00006400000000000
12 11 10 2 0.00004500000000000
10 9 3 2 0.00002600000000000
8 7 6 2 0.00001700000000000
