Nodos Aristas Frontera |CMF| Segundos
4 3 2 2 0.00072700000000000
3 2 2 1 0.00000400000000000
4 3 2 2 0.00000900000000000
4 3 2 2 0.00000800000000000
5 4 2 2 0.00000300000000000
3 2 2 1 0.00002300000000000
4 3 2 2 0.00000900000000000
3 2 2 1 0.00000500000000000
5 4 2 2 0.00000300000000000
4 3 2 2 0.00000300000000000
6 5 4 2 0.00000700000000000
3 2 2 1 0.00000400000000000
3 2 2 1 0.00002400000000000
6 5 4 2 0.00000600000000000
5 4 3 2 0.00000500000000000
5 4 3 2 0.00000300000000000
3 2 2 1 0.00001400000000000
5 4 3 2 0.00000700000000000
6 5 4 2 0.00001000000000000
5 4 2 2 0.00000300000000000
4 3 2 2 0.00000600000000000
4 3 2 2 0.00000500000000000
3 2 2 1 0.00001200000000000
6 5 4 2 0.00000600000000000
7 6 3 2 0.00000800000000000
7 6 5 2 0.00000300000000000
7 6 5 2 0.00000800000000000
7 6 3 2 0.00000300000000000
6 5 4 2 0.00000300000000000
6 5 4 2 0.00000600000000000
6 5 4 2 0.00000600000000000
6 5 4 2 0.00000300000000000
7 6 5 2 0.00000700000000000
8 7 6 2 0.00001500000000000
3 2 2 1 0.00000700000000000
6 5 4 2 0.00001200000000000
4 3 2 2 0.00000400000000000
4 3 2 2 0.00001200000000000
7 6 2 2 0.00000300000000000
8 7 6 2 0.00002100000000000
7 6 2 2 0.00000300000000000
8 7 6 2 0.00001600000000000
4 3 2 2 0.00002400000000000
8 7 6 2 0.00001500000000000
5 4 2 2 0.00000500000000000
9 8 3 2 0.00001500000000000
5 4 3 2 0.00000300000000000
3 2 2 1 0.00000800000000000
9 8 3 2 0.00001600000000000
8 7 6 2 0.00001600000000000
8 7 6 2 0.00001600000000000
10 9 3 2 0.00000400000000000
9 8 7 2 0.00001900000000000
9 8 4 2 0.00001600000000000
7 6 3 2 0.00000600000000000
9 8 3 2 0.00001500000000000
8 7 6 2 0.00001600000000000
10 9 3 2 0.00000400000000000
9 8 3 2 0.00001600000000000
10 9 8 2 0.00002800000000000
10 9 8 2 0.00002900000000000
8 7 6 2 0.00001500000000000
9 8 3 2 0.00001500000000000
5 4 2 2 0.00000300000000000
3 2 2 1 0.00000700000000000
7 6 5 2 0.00000300000000000
8 7 6 2 0.00001500000000000
10 9 3 2 0.00000600000000000
10 9 3 2 0.00000400000000000
10 9 3 2 0.00001200000000000
9 8 3 2 0.00001700000000000
11 10 4 2 0.00002500000000000
12 11 10 2 0.00003700000000000
11 10 5 2 0.00001300000000000
10 9 8 2 0.00002800000000000
12 11 10 2 0.00003600000000000
12 11 10 2 0.00003500000000000
11 10 4 2 0.00003800000000000
12 11 10 2 0.00003600000000000
7 6 5 2 0.00000800000000000
12 11 10 2 0.00003500000000000
13 12 11 2 0.00004300000000000
13 12 6 2 0.00003500000000000
13 12 5 2 0.00003200000000000
9 8 3 2 0.00001600000000000
12 11 10 2 0.00003500000000000
11 10 9 2 0.00002900000000000
9 8 4 2 0.00001600000000000
12 11 10 2 0.00003500000000000
13 12 5 2 0.00003300000000000
12 11 10 2 0.00004000000000000
11 10 4 2 0.00002700000000000
11 10 4 2 0.00002300000000000
13 12 4 2 0.00003100000000000
11 10 4 2 0.00003600000000000
14 13 12 2 0.00005200000000000
14 13 12 2 0.00005200000000000
11 10 4 2 0.00002500000000000
13 12 6 2 0.00003500000000000
10 9 3 2 0.00000700000000000
13 12 5 2 0.00003300000000000
11 10 4 2 0.00002700000000000
10 9 3 2 0.00000800000000000
15 14 13 2 0.00005900000000000
15 14 7 2 0.00000500000000000
8 7 6 2 0.00001500000000000
15 14 13 2 0.00006000000000000
15 14 6 2 0.00004600000000000
11 10 4 2 0.00002600000000000
15 14 6 2 0.00004500000000000
12 11 10 2 0.00005400000000000
15 14 13 2 0.00006100000000000
15 14 7 2 0.00000700000000000
14 13 12 2 0.00005200000000000
14 13 12 2 0.00005300000000000
13 12 5 2 0.00003200000000000
16 15 14 2 0.00008100000000000
13 12 5 2 0.00003300000000000
16 15 5 2 0.00005400000000000
16 15 4 2 0.00005000000000000
15 14 6 2 0.00004800000000000
12 11 10 2 0.00003500000000000
15 14 6 2 0.00005000000000000
14 13 12 2 0.00005200000000000
14 13 12 2 0.00005100000000000
14 13 12 2 0.00005300000000000
16 15 14 2 0.00007800000000000
13 12 4 2 0.00003300000000000
17 16 4 2 0.00005200000000000
14 13 12 2 0.00005500000000000
17 16 4 2 0.00005200000000000
17 16 4 2 0.00005200000000000
17 16 7 2 0.00006000000000000
17 16 15 2 0.00008000000000000
17 16 4 2 0.00005200000000000
16 15 5 2 0.00006300000000000
14 13 12 2 0.00005300000000000
17 16 4 2 0.00005200000000000
16 15 5 2 0.00005200000000000
16 15 4 2 0.00007500000000000
16 15 5 2 0.00005900000000000
18 17 16 2 0.00009500000000000
15 14 13 2 0.00006600000000000
17 16 8 2 0.00006700000000000
18 17 16 2 0.00009800000000000
18 17 16 2 0.00009600000000000
19 18 8 2 0.00008100000000000
17 16 7 2 0.00006100000000000
19 18 8 2 0.00008300000000000
14 13 12 2 0.00005300000000000
6 5 4 2 0.00001100000000000
18 17 16 2 0.00009700000000000
18 17 16 2 0.00009400000000000
18 17 16 2 0.00009600000000000
18 17 16 2 0.00009600000000000
16 15 5 2 0.00005200000000000
19 18 8 2 0.00008300000000000
18 17 16 2 0.00009700000000000
19 18 5 2 0.00006600000000000
16 15 5 2 0.00005500000000000
19 18 8 2 0.00008100000000000
20 19 18 2 0.00014600000000000
19 18 5 2 0.00007000000000000
19 18 8 2 0.00008100000000000
