Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00000200000000000
4 3 3 1 0.00000200000000000
3 2 2 1 0.00000200000000000
3 2 2 1 0.00000200000000000
2 1 1 1 0.00000200000000000
4 3 3 1 0.00000200000000000
4 3 3 1 0.00000200000000000
4 3 3 1 0.00000200000000000
4 3 3 1 0.00000200000000000
3 2 2 1 0.00000200000000000
3 2 2 1 0.00000200000000000
5 4 4 1 0.00000200000000000
2 1 1 1 0.00000200000000000
5 4 4 1 0.00000200000000000
3 2 2 1 0.00000200000000000
3 2 2 1 0.00000200000000000
4 3 3 1 0.00000200000000000
4 3 3 1 0.00000200000000000
5 4 4 1 0.00000300000000000
4 3 3 1 0.00000200000000000
6 5 5 1 0.00000300000000000
2 1 1 1 0.00000100000000000
6 5 5 1 0.00000400000000000
6 5 5 1 0.00000300000000000
6 5 5 1 0.00000300000000000
2 1 1 1 0.00000200000000000
6 5 5 1 0.00000400000000000
6 5 5 1 0.00000200000000000
3 2 2 1 0.00000200000000000
5 4 4 1 0.00000200000000000
3 2 2 1 0.00000200000000000
7 6 6 1 0.00000300000000000
4 3 3 1 0.00000200000000000
7 6 6 1 0.00000300000000000
2 1 1 1 0.00000200000000000
5 4 4 1 0.00000200000000000
6 5 5 1 0.00000400000000000
7 6 6 1 0.00000300000000000
6 5 5 1 0.00000300000000000
7 6 6 1 0.00000200000000000
2 1 1 1 0.00000200000000000
5 4 4 1 0.00000200000000000
7 6 6 1 0.00000300000000000
8 7 7 1 0.00000300000000000
7 6 6 1 0.00000300000000000
8 7 7 1 0.00000300000000000
5 4 4 1 0.00000300000000000
8 7 7 1 0.00000400000000000
6 5 5 1 0.00000300000000000
5 4 4 1 0.00000300000000000
8 7 7 1 0.00000300000000000
2 1 1 1 0.00000200000000000
4 3 3 1 0.00000300000000000
7 6 6 1 0.00000300000000000
9 8 8 1 0.00000300000000000
9 8 8 1 0.00000300000000000
8 7 7 1 0.00000300000000000
8 7 7 1 0.00000400000000000
5 4 4 1 0.00000300000000000
9 8 8 1 0.00000200000000000
2 1 1 1 0.00000200000000000
9 8 8 1 0.00000300000000000
10 9 9 1 0.00000300000000000
9 8 8 1 0.00000300000000000
10 9 9 1 0.00000300000000000
3 2 2 1 0.00000200000000000
9 8 8 1 0.00000300000000000
6 5 5 1 0.00000300000000000
10 9 9 1 0.00000300000000000
2 1 1 1 0.00000200000000000
9 8 8 1 0.00000300000000000
7 6 6 1 0.00000300000000000
10 9 9 1 0.00000300000000000
10 9 9 1 0.00000300000000000
10 9 9 1 0.00000300000000000
11 10 10 1 0.00000400000000000
11 10 10 1 0.00000300000000000
11 10 10 1 0.00000300000000000
10 9 9 1 0.00000300000000000
8 7 7 1 0.00000200000000000
11 10 10 1 0.00000300000000000
8 7 7 1 0.00000400000000000
12 11 11 1 0.00000400000000000
9 8 8 1 0.00000300000000000
12 11 11 1 0.00000500000000000
11 10 10 1 0.00000300000000000
9 8 8 1 0.00000300000000000
12 11 11 1 0.00000300000000000
12 11 11 1 0.00000300000000000
3 2 2 1 0.00000200000000000
12 11 11 1 0.00000300000000000
12 11 11 1 0.00000500000000000
12 11 11 1 0.00000500000000000
13 12 12 1 0.00000400000000000
7 6 6 1 0.00000300000000000
7 6 6 1 0.00000200000000000
11 10 10 1 0.00000300000000000
8 7 7 1 0.00000300000000000
13 12 12 1 0.00000400000000000
11 10 10 1 0.00000300000000000
12 11 11 1 0.00000400000000000
12 11 11 1 0.00000400000000000
8 7 7 1 0.00000400000000000
13 12 12 1 0.00000400000000000
9 8 8 1 0.00000400000000000
5 4 4 1 0.00000300000000000
14 13 13 1 0.00000300000000000
11 10 10 1 0.00000400000000000
14 13 13 1 0.00000400000000000
14 13 13 1 0.00000400000000000
