Nodos Aristas Frontera |CMF| Segundos
3250 3249 6 2 0.06651799999999999
3500 3499 6 2 0.03397000000000000
3500 3499 6 2 0.00122100000000000
3500 3499 6 2 0.00122300000000000
3500 3499 6 2 0.00124600000000000
3500 3499 6 2 0.00124300000000000
3500 3499 6 2 0.00127500000000000
3750 3749 6 2 0.05341100000000000
3750 3749 6 2 0.00125600000000000
3750 3749 6 2 0.00127500000000000
3750 3749 6 2 0.00128300000000000
3750 3749 6 2 0.00148700000000000
3750 3749 6 2 0.00134600000000000
3750 3749 6 2 0.00134500000000000
3750 3749 6 2 0.00102400000000000
3750 3749 6 2 0.00102300000000000
3750 3749 6 2 0.00101500000000000
3000 2999 6 2 0.12560900000000000
4000 3999 6 2 0.02801400000000000
3000 2999 6 2 0.12745699999999999
3000 2999 6 2 0.12759400000000001
3000 2999 6 2 0.12902200000000000
3000 2999 6 2 0.13049100000000000
3000 2999 6 2 0.13256599999999999
3000 2999 6 2 0.13276199999999999
3000 2999 6 2 0.13441800000000001
4000 3999 6 2 0.00198200000000000
3000 2999 6 2 0.14054000000000000
3000 2999 6 2 0.14005699999999999
4000 3999 6 2 0.00113600000000000
4250 4249 6 2 0.03150500000000000
4250 4249 6 2 0.00146300000000000
3250 3249 6 2 0.12534799999999999
3250 3249 6 2 0.12590599999999999
3250 3249 6 2 0.13290800000000000
3250 3249 6 2 0.13293500000000000
3250 3249 6 2 0.13370299999999999
4250 4249 6 2 0.00226600000000000
3250 3249 6 2 0.13504400000000000
3250 3249 6 2 0.13692199999999999
3250 3249 6 2 0.13678399999999999
3250 3249 6 2 0.13815200000000000
4250 4249 6 2 0.00160500000000000
4500 4499 6 2 0.02375500000000000
3500 3499 6 2 0.14663300000000001
3500 3499 6 2 0.14890500000000001
3500 3499 6 2 0.14990500000000001
4500 4499 6 2 0.00211900000000000
3500 3499 6 2 0.16343099999999999
4750 4749 6 2 0.03055000000000000
4750 4749 6 2 0.00157500000000000
4750 4749 6 2 0.00172100000000000
4750 4749 6 2 0.00192400000000000
4750 4749 6 2 0.00197300000000000
4750 4749 6 2 0.00173200000000000
4750 4749 6 2 0.00157700000000000
4750 4749 6 2 0.00171800000000000
5000 4999 6 2 0.03029400000000000
5000 4999 6 2 0.00195800000000000
5000 4999 6 2 0.00179800000000000
5000 4999 6 2 0.00165800000000000
5000 4999 6 2 0.00199900000000000
5000 4999 6 2 0.00176500000000000
4000 3999 6 2 0.12845799999999999
4000 3999 6 2 0.13093199999999999
5000 4999 6 2 0.00210100000000000
4000 3999 6 2 0.13996400000000001
5000 4999 6 2 0.00187700000000000
4000 3999 6 2 0.14200699999999999
4000 3999 6 2 0.14241400000000001
4250 4249 6 2 0.15231900000000001
4000 3999 6 2 0.14513699999999999
4500 4499 6 2 0.16430000000000000
4250 4249 6 2 0.16051299999999999
5500 5499 6 2 0.07593999999999999
4250 4249 6 2 0.16762400000000000
5500 5499 6 2 0.00225000000000000
4250 4249 6 2 0.17606900000000000
4000 3999 6 2 0.17115700000000000
4250 4249 6 2 0.18867500000000001
4250 4249 6 2 0.18894000000000000
4500 4499 6 2 0.19922300000000001
4500 4499 6 2 0.19812299999999999
4500 4499 6 2 0.19300000000000000
4500 4499 6 2 0.19392499999999999
6000 5999 6 2 0.08406700000000000
6000 5999 6 2 0.00246600000000000
4500 4499 6 2 0.17082800000000001
4750 4749 6 2 0.19454099999999999
6500 6499 6 2 0.05081000000000000
4500 4499 6 2 0.16273899999999999
6500 6499 6 2 0.00288800000000000
4500 4499 6 2 0.17038500000000001
6500 6499 6 2 0.00242200000000000
6500 6499 6 2 0.00280700000000000
6500 6499 6 2 0.00562600000000000
4750 4749 6 2 0.16120499999999999
6500 6499 6 2 0.00313900000000000
7000 6999 6 2 0.06804600000000000
7000 6999 6 2 0.00361700000000000
5000 4999 6 2 0.16627700000000001
7000 6999 6 2 0.00352500000000000
5000 4999 6 2 0.16963900000000001
7000 6999 6 2 0.00331800000000000
7000 6999 6 2 0.00338400000000000
7000 6999 6 2 0.00321600000000000
7000 6999 6 2 0.00320200000000000
5500 5499 6 2 0.20264699999999999
5500 5499 6 2 0.20710000000000001
5500 5499 6 2 0.21550300000000000
5500 5499 6 2 0.22487799999999999
7500 7499 6 2 0.10023400000000000
5500 5499 6 2 0.22114300000000001
5500 5499 6 2 0.22205400000000000
7500 7499 6 2 0.00373400000000000
5500 5499 6 2 0.23850900000000000
5500 5499 6 2 0.23302400000000001
7500 7499 6 2 0.00403000000000000
6000 5999 6 2 0.23210300000000000
8000 7999 6 2 0.06446100000000000
6000 5999 6 2 0.23474900000000001
6000 5999 6 2 0.22352800000000000
6000 5999 6 2 0.23047000000000001
6000 5999 6 2 0.22858999999999999
6000 5999 6 2 0.23996799999999999
6000 5999 6 2 0.24759400000000001
6000 5999 6 2 0.24710799999999999
6500 6499 6 2 0.18573799999999999
6500 6499 6 2 0.18349799999999999
6500 6499 6 2 0.20392199999999999
6500 6499 6 2 0.21928400000000001
7000 6999 6 2 0.23771800000000001
7000 6999 6 2 0.20749400000000001
7000 6999 6 2 0.21438399999999999
7500 7499 6 2 0.22009000000000001
7500 7499 6 2 0.22184300000000001
8000 7999 6 2 0.13314100000000001
7500 7499 6 2 0.23866699999999999
7500 7499 6 2 0.24161299999999999
7500 7499 6 2 0.24426100000000001
7500 7499 6 2 0.26445900000000000
7500 7499 6 2 0.26877699999999999
8000 7999 6 2 0.26808799999999999
8000 7999 6 2 0.27746900000000002
8000 7999 6 2 0.27882800000000002
8000 7999 6 2 0.26930100000000001
8000 7999 6 2 0.24518100000000001
8000 7999 6 2 0.24823600000000001
8000 7999 6 2 0.24852299999999999
8000 7999 6 2 0.25981199999999999
8500 8499 6 2 0.28174700000000003
8500 8499 6 2 0.23547000000000001
8500 8499 6 2 0.23079800000000000
8500 8499 6 2 0.23617199999999999
8500 8499 6 2 0.25469199999999997
8500 8499 6 2 0.26456000000000002
8500 8499 6 2 0.30264500000000000
8500 8499 6 2 0.30608900000000000
9000 8999 6 2 0.17836900000000000
8500 8499 6 2 0.32197300000000001
8500 8499 6 2 0.32028699999999999
9000 8999 6 2 0.33996300000000002
9000 8999 6 2 0.33506799999999998
9000 8999 6 2 0.32421200000000000
9000 8999 6 2 0.34075800000000001
9000 8999 6 2 0.34052199999999999
9000 8999 6 2 0.34401100000000001
9000 8999 6 2 0.34700900000000001
9000 8999 6 2 0.35719099999999998
9000 8999 6 2 0.36860399999999999
9500 9499 6 2 0.27197800000000000
9500 9499 6 2 0.22591000000000000
9500 9499 6 2 0.22874200000000000
9500 9499 6 2 0.24112100000000000
9500 9499 6 2 0.24351600000000001
9500 9499 6 2 0.25503100000000001
9500 9499 6 2 0.25580799999999998
9500 9499 6 2 0.26748499999999997
9500 9499 6 2 0.26848400000000000
9500 9499 6 2 0.24943799999999999
10000 9999 6 2 0.08317900000000000
10000 9999 6 2 0.20824699999999999
10000 9999 6 2 0.18509800000000001
10000 9999 6 2 0.16752600000000001
10000 9999 6 2 0.16929000000000000
10000 9999 6 2 0.16560800000000001
10000 9999 6 2 0.17812700000000001
10000 9999 6 2 0.18402900000000000
10000 9999 6 2 0.19707300000000000
10000 9999 6 2 0.18066399999999999
