Nodos Aristas Frontera |CMF| Segundos
4000 3999 30 1 0.00108100000000000
4500 4499 10 1 0.00028700000000000
4500 4499 10 1 0.00000300000000000
4500 4499 10 1 0.00000300000000000
4500 4499 10 1 0.00000300000000000
4500 4499 408 1 0.00029500000000000
4500 4499 10 1 0.00000300000000000
5000 4999 4998 1 0.00064200000000000
5000 4999 4998 1 0.00004700000000000
5000 4999 4998 1 0.00005000000000000
3500 3499 3498 1 0.00057200000000000
3500 3499 3498 1 0.00057700000000000
3500 3499 3498 1 0.00053200000000000
3500 3499 3498 1 0.00067100000000000
3500 3499 3498 1 0.00046000000000000
3500 3499 3498 1 0.00051500000000000
3500 3499 3498 1 0.00051600000000000
3500 3499 3498 1 0.00054600000000000
3500 3499 3498 1 0.00052100000000000
3500 3499 3498 1 0.00047600000000000
5000 4999 4998 1 0.00004800000000000
5000 4999 4998 1 0.00005000000000000
5500 5499 1 1 0.00020500000000000
5500 5499 2 1 0.00000400000000000
4000 3999 30 1 0.00040300000000000
4000 3999 30 1 0.00036100000000000
4000 3999 30 1 0.00040600000000000
4000 3999 30 1 0.00037700000000000
4000 3999 30 1 0.00041300000000000
4000 3999 30 1 0.00043900000000000
4000 3999 30 1 0.00038400000000000
4000 3999 30 1 0.00046000000000000
4000 3999 30 1 0.00040600000000000
5500 5499 12 1 0.00023600000000000
6000 5999 6 1 0.00071300000000000
4500 4499 10 1 0.00041800000000000
4500 4499 10 1 0.00036800000000000
4500 4499 10 1 0.00040700000000000
4500 4499 10 1 0.00038100000000000
5000 4999 4998 1 0.00063300000000000
5000 4999 4998 1 0.00065500000000000
5000 4999 4998 1 0.00059400000000000
5000 4999 4998 1 0.00055900000000000
5000 4999 4998 1 0.00051300000000000
5500 5499 8 1 0.00050300000000000
5500 5499 12 1 0.00053800000000000
5500 5499 8 1 0.00050200000000000
5500 5499 1833 2 0.00043300000000000
5500 5499 422 1 0.00215000000000000
5500 5499 8 1 0.00044300000000000
5500 5499 1833 2 0.00041100000000000
6000 5999 6 1 0.00041200000000000
6000 5999 857 2 0.00047500000000000
6000 5999 6 1 0.00053600000000000
6000 5999 856 1 0.00036100000000000
6000 5999 6 1 0.00217200000000000
6000 5999 856 1 0.00047800000000000
6000 5999 856 1 0.00403400000000000
6000 5999 856 1 0.00356400000000000
6000 5999 856 1 0.00037900000000000
6500 6499 97 2 0.00040800000000000
6500 6499 66 1 0.00036900000000000
6500 6499 66 1 0.00042000000000000
6500 6499 66 1 0.00041800000000000
6500 6499 66 1 0.00047900000000000
6500 6499 66 1 0.00037800000000000
6500 6499 66 1 0.00037900000000000
6500 6499 66 1 0.00039000000000000
6500 6499 66 1 0.00046300000000000
6500 6499 66 1 0.00043100000000000
7000 6999 2332 1 0.00022100000000000
7000 6999 2 1 0.00038700000000000
7000 6999 2332 1 0.00043000000000000
7000 6999 2 1 0.00041500000000000
7000 6999 2333 2 0.00038400000000000
7000 6999 2332 1 0.00045200000000000
7000 6999 2332 1 0.00046300000000000
7000 6999 2332 1 0.00045400000000000
7000 6999 2332 1 0.00041600000000000
7000 6999 2332 1 0.00049700000000000
7500 7499 7498 1 0.00051800000000000
7500 7499 7498 1 0.00047100000000000
7500 7499 7498 1 0.00043800000000000
7500 7499 7498 1 0.00047800000000000
7500 7499 7498 1 0.00049200000000000
7500 7499 7498 1 0.00047800000000000
7500 7499 7498 1 0.00048000000000000
7500 7499 7498 1 0.00048100000000000
7500 7499 7498 1 0.00048900000000000
8000 7999 7998 1 0.00031200000000000
7500 7499 7498 1 0.00040600000000000
8000 7999 18 1 0.00041900000000000
8000 7999 18 1 0.00041500000000000
8000 7999 18 1 0.00038200000000000
8000 7999 18 1 0.00037400000000000
8000 7999 18 1 0.00241100000000000
8000 7999 18 1 0.00038000000000000
8000 7999 18 1 0.00035500000000000
8000 7999 18 1 0.00046600000000000
8000 7999 18 1 0.00041400000000000
8500 8499 2833 2 0.00082700000000000
8500 8499 2832 1 0.00045100000000000
8500 8499 2832 1 0.00043400000000000
8500 8499 2832 1 0.00049300000000000
8500 8499 2833 2 0.00083400000000000
8500 8499 2832 1 0.00047000000000000
8500 8499 2 1 0.00087000000000000
8500 8499 2832 1 0.00042500000000000
8500 8499 2832 1 0.00039100000000000
8500 8499 2832 1 0.00035100000000000
9000 8999 8998 1 0.00048300000000000
9000 8999 8998 1 0.00077400000000000
9000 8999 8998 1 0.00098000000000000
9000 8999 8998 1 0.00090600000000000
9000 8999 8998 1 0.00096200000000000
9000 8999 8998 1 0.00083600000000000
9000 8999 8998 1 0.00118800000000000
9000 8999 8998 1 0.00086100000000000
9000 8999 8998 1 0.00359900000000000
9000 8999 8998 1 0.00079900000000000
9500 9499 22 1 0.00033100000000000
9500 9499 6 1 0.00035700000000000
9500 9499 22 1 0.00029600000000000
9500 9499 6 1 0.00029900000000000
9500 9499 6 1 0.00034100000000000
9500 9499 22 1 0.00030100000000000
9500 9499 6 1 0.00027300000000000
9500 9499 6 1 0.00025500000000000
9500 9499 22 1 0.00024400000000000
9500 9499 6 1 0.00022100000000000
10000 9999 10 1 0.00033000000000000
10000 9999 3333 2 0.00014400000000000
10000 9999 8 1 0.00036400000000000
10000 9999 32 1 0.00013900000000000
10000 9999 8 1 0.00026600000000000
10000 9999 8 1 0.00022800000000000
10000 9999 8 1 0.00004900000000000
10000 9999 908 1 0.00006100000000000
10000 9999 2 1 0.00003000000000000
10000 9999 8 1 0.00003200000000000
