Nodos Aristas Frontera |CMF| Segundos
3000 2999 6 2 0.00141900000000000
3000 2999 2 1 0.00043400000000000
3000 2999 2 1 0.00137700000000000
3000 2999 2 1 0.00044100000000000
3000 2999 2 1 0.00037100000000000
3000 2999 2 1 0.00047400000000000
3000 2999 2 1 0.00041700000000000
3000 2999 2 1 0.00056200000000000
3250 3249 2 1 0.00072800000000000
3250 3249 2 1 0.00056400000000000
3250 3249 2 1 0.00079900000000000
3250 3249 2 1 0.00060700000000000
3250 3249 2 1 0.00052900000000000
3250 3249 2 1 0.01052400000000000
3250 3249 2 1 0.00059000000000000
3250 3249 2 1 0.00050800000000000
3250 3249 2 1 0.01210300000000000
3250 3249 2 1 0.00285200000000000
3500 3499 2 1 0.00038000000000000
3500 3499 2 1 0.00037200000000000
3500 3499 2 1 0.00391600000000000
3500 3499 2 1 0.00045300000000000
3500 3499 2 1 0.00044200000000000
3500 3499 2 1 0.00041600000000000
3500 3499 2 1 0.00039200000000000
3500 3499 2 1 0.00044800000000000
3500 3499 2 1 0.00041800000000000
3750 3749 2 1 0.00037800000000000
3500 3499 2 1 0.00140100000000000
3000 2999 2 1 0.00013000000000000
3000 2999 2 1 0.00014500000000000
3750 3749 2 1 0.00046600000000000
3750 3749 2 1 0.00032600000000000
3750 3749 2 1 0.00057200000000000
3750 3749 2 1 0.00083500000000000
3750 3749 2 1 0.00028400000000000
3750 3749 2 1 0.00027700000000000
3750 3749 2 1 0.00089400000000000
3750 3749 2 1 0.00058300000000000
3750 3749 2 1 0.00146300000000000
4000 3999 2 1 0.00068000000000000
4000 3999 2 1 0.00077200000000000
4000 3999 2 1 0.00073000000000000
4000 3999 2 1 0.00114700000000000
4000 3999 2 1 0.00068600000000000
4000 3999 2 1 0.00073100000000000
4000 3999 2 1 0.00065800000000000
4000 3999 2 1 0.00063200000000000
4000 3999 2 1 0.00075600000000000
4000 3999 2 1 0.00059100000000000
4250 4249 2 1 0.00068500000000000
4250 4249 2 1 0.00076100000000000
4250 4249 2 1 0.00047700000000000
4250 4249 2 1 0.00053400000000000
4250 4249 2 1 0.00084500000000000
4250 4249 2 1 0.00070000000000000
4250 4249 2 1 0.00075700000000000
4250 4249 2 1 0.00027800000000000
4250 4249 2 1 0.00089100000000000
4250 4249 2 1 0.00076500000000000
4500 4499 2 1 0.00056700000000000
4500 4499 2 1 0.00090600000000000
4500 4499 2 1 0.00074400000000000
4500 4499 2 1 0.00063500000000000
4500 4499 2 1 0.00073000000000000
4500 4499 2 1 0.00063600000000000
4500 4499 2 1 0.00061900000000000
4500 4499 2 1 0.00056800000000000
4500 4499 2 1 0.00051800000000000
4500 4499 2 1 0.00062300000000000
4750 4749 2 1 0.00023000000000000
4750 4749 2 1 0.00130600000000000
4750 4749 2 1 0.00330000000000000
4750 4749 2 1 0.00033100000000000
4750 4749 2 1 0.00052200000000000
5000 4999 2 1 0.00071400000000000
4750 4749 2 1 0.00020500000000000
5000 4999 2 1 0.00033500000000000
5000 4999 2 1 0.00024300000000000
4750 4749 2 1 0.00035100000000000
4750 4749 2 1 0.00103000000000000
4750 4749 2 1 0.00033100000000000
4750 4749 2 1 0.00178400000000000
5000 4999 2 1 0.00028700000000000
5000 4999 2 1 0.00549900000000000
5000 4999 2 1 0.00038000000000000
5000 4999 2 1 0.00029500000000000
5000 4999 2 1 0.00034500000000000
5000 4999 2 1 0.00027800000000000
5000 4999 2 1 0.00030800000000000
5500 5499 2 1 0.00035100000000000
5500 5499 2 1 0.00034900000000000
5500 5499 2 1 0.00039300000000000
5500 5499 2 1 0.00287000000000000
5500 5499 2 1 0.00039900000000000
5500 5499 2 1 0.00028900000000000
5500 5499 2 1 0.00035900000000000
6000 5999 2 1 0.00016900000000000
6000 5999 2 1 0.00059400000000000
6000 5999 2 1 0.00349100000000000
5500 5499 2 1 0.00041000000000000
5500 5499 2 1 0.00030600000000000
5500 5499 2 1 0.00027600000000000
6000 5999 2 1 0.00038500000000000
6000 5999 2 1 0.00042700000000000
6000 5999 2 1 0.00032500000000000
6000 5999 2 1 0.00034500000000000
6000 5999 2 1 0.00035200000000000
6000 5999 2 1 0.00029300000000000
6000 5999 2 1 0.00028400000000000
6500 6499 2 1 0.00051500000000000
6500 6499 2 1 0.00032000000000000
6500 6499 2 1 0.00038500000000000
6500 6499 2 1 0.00034600000000000
7000 6999 2 1 0.00032600000000000
7000 6999 2 1 0.00101700000000000
7000 6999 2 1 0.00022300000000000
6500 6499 2 1 0.00046300000000000
