Nodos Aristas Frontera |CMF| Segundos
3500 183363 1047 2 0.00138700000000000
4000 285439 389 2 0.00053900000000000
4500 398641 4219 2 0.00056900000000000
3500 433875 3496 2 0.00053800000000000
4000 486736 958 2 0.00053900000000000
4500 569248 3871 2 0.00057600000000000
4000 608411 683 2 0.00059600000000000
3500 670594 1772 2 0.00103000000000000
4500 775484 818 2 0.00051800000000000
3500 907074 2543 2 0.00055200000000000
4000 1114098 2099 2 0.00056100000000000
3500 2303788 2764 2 0.00030300000000000
4000 1265167 2462 2 0.00053700000000000
4500 1290604 1644 2 0.00066000000000000
5000 93608 333 2 0.00028200000000000
3500 1422066 1655 2 0.00053400000000000
3500 1443321 1604 2 0.00057600000000000
5000 416956 994 2 0.00025300000000000
5000 1063276 4991 2 0.00069800000000000
3500 1899478 2293 2 0.00049600000000000
4000 2031271 2590 2 0.00047400000000000
4500 1738548 2576 2 0.00087400000000000
3500 2211789 2600 2 0.00044300000000000
3500 2245351 2585 2 0.00042600000000000
4500 1672000 1430 2 0.00069700000000000
5000 1464380 1492 2 0.00057600000000000
4000 2524664 2571 2 0.00034200000000000
4500 2274923 3259 2 0.00030100000000000
4000 2723325 2746 2 0.00039600000000000
4000 3076534 3087 2 0.00026800000000000
5000 2641829 2846 2 0.00023300000000000
5000 2616935 2363 2 0.00028400000000000
5000 2062626 2062 2 0.00016900000000000
5000 2110290 4166 2 0.00015400000000000
4500 2784035 2604 2 0.00006500000000000
5000 2096141 1713 2 0.00006500000000000
4000 3848718 3840 2 0.00007500000000000
4500 3235685 4167 2 0.00004900000000000
5000 3792365 4864 2 0.00003100000000000
4500 4409102 3990 2 0.00004900000000000
