Nodos Aristas Frontera |CMF| Segundos
3500 10494 70 3 0.00178200000000000
3500 10494 81 3 0.00082300000000000
3500 10494 88 4 0.00084100000000000
3500 10494 84 3 0.00081600000000000
3500 10494 67 3 0.00083700000000000
3500 10494 78 3 0.00082700000000000
3500 10494 76 3 0.00076600000000000
3500 10494 84 3 0.00081200000000000
3500 10494 77 3 0.00078400000000000
3500 10494 83 3 0.00072300000000000
4000 11994 78 3 0.00083500000000000
4000 11994 79 3 0.00088500000000000
4000 11994 58 3 0.00086900000000000
4000 11994 70 3 0.00089800000000000
4000 11994 81 4 0.00088300000000000
4000 11994 84 3 0.00086700000000000
4000 11994 81 3 0.00092800000000000
4000 11994 72 3 0.00090500000000000
4000 11994 87 3 0.00080900000000000
4000 11994 86 3 0.00081300000000000
4500 13494 107 3 0.00019300000000000
4500 13494 91 4 0.00031000000000000
4500 13494 85 3 0.00047800000000000
4500 13494 107 3 0.00044200000000000
4500 13494 98 3 0.00044700000000000
4500 13494 69 3 0.00040400000000000
4500 13494 74 3 0.00040800000000000
4500 13494 81 3 0.00038200000000000
4500 13494 84 3 0.00036100000000000
4500 13494 76 3 0.00037300000000000
5000 14994 86 3 0.00025200000000000
5000 14994 82 3 0.00031600000000000
5000 14994 109 3 0.00015100000000000
5000 14994 75 3 0.00031000000000000
5000 14994 76 3 0.00020300000000000
5000 14994 92 3 0.00016800000000000
5000 14994 71 3 0.00022400000000000
5000 14994 72 3 0.00007700000000000
5000 14994 87 4 0.00014300000000000
5000 14994 74 3 0.00014900000000000
