Nodos Aristas Frontera |CMF| Segundos
3500 1147129 1749 2 0.00328600000000000
3500 1147129 1749 2 0.00171700000000000
3500 1147129 1749 2 0.00179500000000000
3500 1147129 1749 2 0.00169900000000000
3500 1147129 1749 2 0.00184000000000000
3500 1147129 1749 2 0.00189300000000000
3500 1147129 1749 2 0.00189700000000000
3500 1147129 1749 2 0.00181600000000000
3500 1147129 1749 2 0.00179300000000000
4000 1498504 1999 2 0.00153800000000000
4000 1498504 1999 2 0.00159100000000000
4000 1498504 1999 2 0.00161700000000000
4000 1498504 1999 2 0.00176500000000000
4000 1498504 1999 2 0.00160400000000000
4000 1498504 1999 2 0.00171300000000000
4000 1498504 1999 2 0.00170500000000000
3500 1147129 1749 2 0.00096400000000000
4000 1498504 1999 2 0.00119400000000000
4000 1498504 1999 2 0.00096700000000000
4000 1498504 1999 2 0.00085500000000000
4500 1896754 2249 2 0.00177300000000000
4500 1896754 2249 2 0.00169900000000000
4500 1896754 2249 2 0.00161900000000000
4500 1896754 2249 2 0.00137400000000000
4500 1896754 2249 2 0.00147500000000000
4500 1896754 2249 2 0.00133900000000000
4500 1896754 2249 2 0.00125500000000000
4500 1896754 2249 2 0.00131700000000000
4500 1896754 2249 2 0.00125900000000000
4500 1896754 2249 2 0.00122000000000000
5000 2341879 2499 2 0.00130800000000000
5000 2341879 2499 2 0.00116000000000000
5000 2341879 2499 2 0.00113600000000000
5000 2341879 2499 2 0.00089100000000000
5000 2341879 2499 2 0.00042100000000000
5000 2341879 2499 2 0.00049700000000000
5000 2341879 2499 2 0.00035500000000000
5000 2341879 2499 2 0.00040500000000000
5000 2341879 2499 2 0.00042100000000000
5000 2341879 2499 2 0.00032200000000000
