Nodos Aristas Frontera |CMF| Segundos
16 22 7 2 0.00078100000000000
16 22 7 2 0.00006900000000000
17 23 7 2 0.00001000000000000
16 22 7 2 0.00082600000000000
18 24 8 2 0.00001200000000000
17 23 7 2 0.00001300000000000
18 24 8 2 0.00000800000000000
16 22 7 2 0.00067000000000000
16 22 7 2 0.00001500000000000
17 23 7 2 0.00001100000000000
16 22 7 2 0.00080300000000000
16 22 7 2 0.00001500000000000
18 24 8 2 0.00001200000000000
16 22 7 2 0.00012700000000000
19 25 8 2 0.00001300000000000
17 23 7 2 0.00001600000000000
18 24 8 2 0.00001200000000000
18 24 8 2 0.00000900000000000
19 25 8 2 0.00000700000000000
16 22 7 2 0.00009600000000000
18 24 8 2 0.00000900000000000
17 23 7 2 0.00000800000000000
18 24 8 2 0.00000600000000000
19 25 8 2 0.00000900000000000
17 23 7 2 0.00001500000000000
17 23 7 2 0.00002100000000000
20 34 9 2 0.00001300000000000
20 34 9 2 0.00001100000000000
19 25 8 2 0.00000600000000000
20 34 9 2 0.00001300000000000
19 25 8 2 0.00000900000000000
19 25 8 2 0.00000900000000000
18 24 8 2 0.00000900000000000
20 34 9 2 0.00001200000000000
18 24 8 2 0.00000900000000000
21 35 9 2 0.00001000000000000
21 35 9 2 0.00000800000000000
21 35 9 2 0.00001100000000000
20 34 9 2 0.00001300000000000
16 22 7 2 0.00081300000000000
21 35 9 2 0.00000700000000000
21 35 9 2 0.00000800000000000
19 25 8 2 0.00000800000000000
19 25 8 2 0.00000800000000000
20 34 9 2 0.00001300000000000
22 36 10 2 0.00000800000000000
21 35 9 2 0.00001500000000000
21 35 9 2 0.00001000000000000
17 23 7 2 0.00002800000000000
22 36 10 2 0.00000900000000000
22 36 10 2 0.00000800000000000
18 24 8 2 0.00000900000000000
23 37 10 2 0.00001000000000000
21 35 9 2 0.00001400000000000
23 37 10 2 0.00000800000000000
20 34 9 2 0.00001200000000000
22 36 10 2 0.00001400000000000
21 35 9 2 0.00001400000000000
23 37 10 2 0.00000700000000000
22 36 10 2 0.00001000000000000
20 34 9 2 0.00002100000000000
22 36 10 2 0.00000700000000000
24 49 11 2 0.00001900000000000
22 36 10 2 0.00000900000000000
22 36 10 2 0.00000800000000000
23 37 10 2 0.00001100000000000
23 37 10 2 0.00000900000000000
17 23 7 2 0.00001900000000000
21 35 9 2 0.00000700000000000
20 34 9 2 0.00001700000000000
24 49 11 2 0.00001600000000000
24 49 11 2 0.00001600000000000
23 37 10 2 0.00001300000000000
24 49 11 2 0.00001400000000000
24 49 11 2 0.00001000000000000
24 49 11 2 0.00001500000000000
19 25 8 2 0.00000900000000000
25 50 11 2 0.00000900000000000
24 49 11 2 0.00001300000000000
25 50 11 2 0.00001100000000000
25 50 11 2 0.00000800000000000
25 50 11 2 0.00001100000000000
26 51 12 2 0.00000900000000000
25 50 11 2 0.00001300000000000
25 50 11 2 0.00002000000000000
22 36 10 2 0.00002000000000000
26 51 12 2 0.00000900000000000
17 23 7 2 0.00000900000000000
26 51 12 2 0.00000900000000000
26 51 12 2 0.00000900000000000
26 51 12 2 0.00000900000000000
26 51 12 2 0.00001000000000000
25 50 11 2 0.00009800000000000
26 51 12 2 0.00001100000000000
27 52 12 2 0.00000900000000000
27 52 12 2 0.00001100000000000
23 37 10 2 0.00000800000000000
26 51 12 2 0.00000900000000000
24 49 11 2 0.00002300000000000
27 52 12 2 0.00001100000000000
20 34 9 2 0.00001500000000000
24 49 11 2 0.00001600000000000
28 67 13 2 0.00001000000000000
28 67 13 2 0.00001200000000000
27 52 12 2 0.00000900000000000
28 67 13 2 0.00000900000000000
28 67 13 2 0.00001200000000000
27 52 12 2 0.00000900000000000
28 67 13 2 0.00000900000000000
26 51 12 2 0.00001300000000000
28 67 13 2 0.00001100000000000
23 37 10 2 0.00001500000000000
29 68 13 2 0.00001800000000000
25 50 11 2 0.00002000000000000
27 52 12 2 0.00001400000000000
27 52 12 2 0.00000900000000000
26 51 12 2 0.00001100000000000
29 68 13 2 0.00002100000000000
27 52 12 2 0.00001800000000000
29 68 13 2 0.00001000000000000
28 67 13 2 0.00001200000000000
28 67 13 2 0.00000900000000000
25 50 11 2 0.00001900000000000
28 67 13 2 0.00001400000000000
29 68 13 2 0.00000900000000000
30 69 14 2 0.00002300000000000
23 37 10 2 0.00001200000000000
28 67 13 2 0.00000900000000000
22 36 10 2 0.00001100000000000
29 68 13 2 0.00002000000000000
30 69 14 2 0.00001000000000000
30 69 14 2 0.00001400000000000
27 52 12 2 0.00001200000000000
30 69 14 2 0.00001700000000000
24 49 11 2 0.00002000000000000
31 70 14 2 0.00001000000000000
30 69 14 2 0.00001100000000000
29 68 13 2 0.00001900000000000
31 70 14 2 0.00001000000000000
27 52 12 2 0.00001100000000000
30 69 14 2 0.00001500000000000
29 68 13 2 0.00001900000000000
31 70 14 2 0.00001000000000000
32 88 15 2 0.00001200000000000
30 69 14 2 0.00001200000000000
32 88 15 2 0.00001400000000000
32 88 15 2 0.00001200000000000
29 68 13 2 0.00001700000000000
23 37 10 2 0.00001000000000000
32 88 15 2 0.00001100000000000
31 70 14 2 0.00001100000000000
32 88 15 2 0.00001100000000000
31 70 14 2 0.00001300000000000
30 69 14 2 0.00002500000000000
31 70 14 2 0.00001300000000000
30 69 14 2 0.00001900000000000
32 88 15 2 0.00001500000000000
33 89 15 2 0.00001600000000000
33 89 15 2 0.00002000000000000
33 89 15 2 0.00001800000000000
