Nodos Aristas Frontera |CMF| Segundos
3500 183363 1122 2 0.22726499999999999
4000 285439 443 2 0.09586799999999999
3500 433875 3498 2 0.56455900000000003
4000 486736 1032 2 0.25011699999999998
4500 398641 4336 2 1.05704700000000007
3500 670594 1909 2 0.41899900000000001
4500 569248 4102 2 1.01936800000000005
4500 775484 882 2 0.19913000000000000
3500 907074 2660 2 0.52762399999999998
4000 608411 773 2 0.76800199999999996
4000 1114098 2283 2 0.55923100000000003
4000 1265167 2607 2 0.59882599999999997
4500 1290604 1796 2 0.50196600000000002
3500 1422066 1878 2 0.45128900000000000
3500 1443321 1863 2 0.35984899999999997
5000 93608 392 2 0.08441899999999999
5000 416956 1148 2 0.24570000000000000
3500 1899478 2476 2 0.58000200000000002
5000 1063276 4998 2 1.33172599999999997
4000 2031271 2757 2 0.73044299999999995
3500 2211789 2744 2 0.62891900000000001
4500 1738548 2861 2 0.80204500000000001
3500 2303788 2971 2 0.61002100000000004
4500 1672000 1644 2 0.52008699999999997
5000 1464380 1721 2 0.54361400000000004
3500 2245351 2790 2 0.95348699999999997
4000 2524664 2758 2 0.71120499999999998
4500 2274923 3589 2 0.98197800000000002
4000 2723325 2985 2 0.72598499999999999
5000 2110290 4377 2 1.01666499999999993
4000 3076534 3272 2 0.77906299999999995
5000 2096141 1851 2 0.51882799999999996
4500 2784035 2800 2 0.72190500000000002
5000 2641829 3084 2 0.79575700000000005
5000 2062626 2298 2 0.64907000000000004
5000 2616935 2546 2 0.68714500000000001
4000 3848718 3948 2 0.86876500000000001
4500 3235685 4310 2 0.95021900000000004
4500 4409102 4132 2 1.01316300000000004
5000 3792365 4978 2 1.56002700000000005
