Nodos Aristas Frontera |CMF| Segundos
3500 4542999 70846 27 1.60587900000000006
3500 4794415 91122 33 1.81549800000000006
3500 5301281 151902 50 2.52402799999999994
4000 5869820 80093 27 2.10284799999999983
4500 6868362 68340 22 2.38768000000000002
4500 7546209 98580 29 2.79382799999999998
4500 7490841 87710 26 2.80903800000000015
4500 7828469 115649 33 3.03545599999999993
3500 6002456 991353 316 12.30216799999999999
5000 8378002 75017 22 2.81860799999999978
5000 8749880 81679 23 3.10722200000000015
5000 10096889 158641 39 3.83079899999999984
5000 10191113 156104 38 3.86091199999999990
5000 10345558 170632 41 4.02582299999999993
3500 4572736 73906 28 2.28949200000000008
4000 7743615 730187 197 9.23643000000000036
4500 9676847 608472 145 8.24615700000000018
4000 7791757 887603 241 11.31144399999999983
4000 6215014 100358 32 2.44437699999999980
4000 7212961 243915 68 4.61014099999999960
