Nodos Aristas Frontera |CMF| Segundos
3500 3499 3499 1 0.02479600000000000
3500 3499 3499 1 0.41756799999999999
3500 3499 3499 1 0.46322400000000002
4000 3999 3999 1 0.39115100000000003
3500 3499 3499 1 0.57027499999999998
3500 3499 3499 1 0.57681199999999999
3500 3499 3499 1 0.57848400000000000
4000 3999 3999 1 0.48850700000000002
3500 3499 3499 1 0.61024199999999995
3500 3499 3499 1 0.63035500000000000
3500 3499 3499 1 0.65022300000000000
4000 3999 3999 1 0.57764199999999999
4000 3999 3999 1 0.61699499999999996
4000 3999 3999 1 0.65992899999999999
4000 3999 3999 1 0.70635400000000004
4000 3999 3999 1 0.72881099999999999
4000 3999 3999 1 0.74810900000000002
4000 3999 3999 1 0.74877899999999997
3500 3499 3499 1 0.66425699999999999
4500 4499 4499 1 0.40329500000000001
4500 4499 4499 1 0.70990799999999998
4000 3999 3999 1 0.83547899999999997
4500 4499 4499 1 0.79986800000000002
4500 4499 4499 1 0.87916799999999995
4500 4499 4499 1 0.74414300000000000
4500 4499 4499 1 0.72280699999999998
4500 4499 4499 1 1.08137499999999998
4500 4499 4499 1 0.75974299999999995
4500 4499 4499 1 0.73425900000000000
5000 4999 4999 1 0.44969399999999998
5000 4999 4999 1 0.69963900000000001
5000 4999 4999 1 0.65749999999999997
5000 4999 4999 1 0.91155399999999998
5000 4999 4999 1 0.77056800000000003
4500 4499 4499 1 1.35268999999999995
5000 4999 4999 1 0.89884200000000003
5000 4999 4999 1 1.06250399999999989
6000 5999 5999 1 0.10469500000000000
5000 4999 4999 1 0.90260600000000002
5000 4999 4999 1 1.03466199999999997
5500 5499 5499 1 0.86904300000000001
5000 4999 4999 1 0.95068900000000001
5500 5499 5499 1 1.08926400000000001
5500 5499 5499 1 1.15002899999999997
5500 5499 5499 1 1.18179400000000001
6000 5999 5999 1 0.81905300000000003
5500 5499 5499 1 1.31281200000000009
5500 5499 5499 1 1.21974800000000005
5500 5499 5499 1 1.25461099999999992
6000 5999 5999 1 1.16527899999999995
5500 5499 5499 1 1.40126299999999993
5500 5499 5499 1 1.40836399999999995
5500 5499 5499 1 1.77701799999999999
6000 5999 5999 1 1.49407399999999990
6000 5999 5999 1 1.31502800000000009
6000 5999 5999 1 1.80377900000000002
6000 5999 5999 1 1.68022899999999997
6000 5999 5999 1 1.72463999999999995
6000 5999 5999 1 1.65160200000000001
6500 6499 6499 1 1.75472199999999989
6500 6499 6499 1 1.60332499999999989
7000 6999 6999 1 1.08959699999999993
6500 6499 6499 1 1.72986100000000009
6500 6499 6499 1 1.27986399999999989
6500 6499 6499 1 1.86212500000000003
6500 6499 6499 1 1.70210700000000004
7500 7499 7499 1 0.70415899999999998
6000 5999 5999 1 2.36415700000000006
6500 6499 6499 1 2.04651799999999984
6500 6499 6499 1 1.78576800000000002
6500 6499 6499 1 2.27421000000000006
7000 6999 6999 1 1.62541500000000005
6500 6499 6499 1 1.90931500000000010
7000 6999 6999 1 1.62070899999999996
