Nodos Aristas Frontera |CMF| Segundos
3500 6998 3500 2 0.37443399999999999
4000 7998 4000 2 0.29175800000000002
3500 6998 3500 2 0.38959600000000000
3500 6998 3500 2 0.41599100000000000
3500 6998 3500 2 0.46996100000000002
4500 8998 4500 2 0.32824799999999998
4500 8998 4500 2 0.09922000000000000
3500 6998 3500 2 0.55839899999999998
4000 7998 4000 2 0.48998199999999997
3500 6998 3500 2 0.69714200000000004
5000 9998 5000 2 0.07848700000000000
3500 6998 3500 2 0.71220799999999995
5000 9998 5000 2 0.16937900000000000
4000 7998 4000 2 0.72277100000000005
4500 8998 4500 2 0.63409599999999999
4000 7998 4000 2 0.74063999999999997
4000 7998 4000 2 0.80773300000000003
4000 7998 4000 2 0.86595900000000003
4000 7998 4000 2 0.87533000000000005
3500 6998 3500 2 0.83473900000000001
4500 8998 4500 2 0.66508100000000003
4000 7998 4000 2 0.99463599999999996
4000 7998 4000 2 0.97489700000000001
4500 8998 4500 2 0.72446500000000003
3500 6998 3500 2 0.90258400000000005
4500 8998 4500 2 0.94746100000000000
3500 6998 3500 2 0.92260200000000003
5000 9998 5000 2 0.33739100000000000
4500 8998 4500 2 1.15216199999999991
5500 10998 5500 2 0.12210400000000000
4500 8998 4500 2 0.87195900000000004
4500 8998 4500 2 0.94770399999999999
5000 9998 5000 2 0.90445100000000000
5000 9998 5000 2 0.86892999999999998
5000 9998 5000 2 0.88845600000000002
5000 9998 5000 2 0.96909000000000001
4500 8998 4500 2 1.34238400000000002
4000 7998 4000 2 1.58591499999999996
5000 9998 5000 2 0.96860299999999999
6000 11998 6000 2 0.32753500000000002
5000 9998 5000 2 1.25542899999999991
5500 10998 5500 2 0.73076300000000005
5500 10998 5500 2 1.33610600000000002
5000 9998 5000 2 1.61904899999999996
5500 10998 5500 2 1.51152799999999998
5500 10998 5500 2 1.30527199999999999
5500 10998 5500 2 1.50945799999999997
6000 11998 6000 2 1.25349400000000011
6000 11998 6000 2 1.58520700000000003
5500 10998 5500 2 1.74056799999999989
5500 10998 5500 2 1.78917700000000002
6000 11998 6000 2 1.72831399999999991
5500 10998 5500 2 1.93882200000000005
6000 11998 6000 2 1.82578900000000011
6000 11998 6000 2 1.83257399999999993
6000 11998 6000 2 1.73747999999999991
6000 11998 6000 2 1.99854299999999996
6000 11998 6000 2 1.80192599999999992
7000 13998 7000 2 0.20159900000000000
5500 10998 5500 2 2.54052599999999984
6500 12998 6500 2 1.86785700000000010
6500 12998 6500 2 1.56811799999999990
6500 12998 6500 2 2.20744700000000016
6500 12998 6500 2 2.25584700000000016
6500 12998 6500 2 2.37088099999999979
6000 11998 6000 2 3.07721899999999993
7500 14998 7500 2 0.96724900000000003
6500 12998 6500 2 2.08295399999999997
6500 12998 6500 2 3.22611800000000004
7000 13998 7000 2 2.08025700000000002
7000 13998 7000 2 2.16897200000000012
7000 13998 7000 2 2.55625500000000017
7500 14998 7500 2 1.15972000000000008
7000 13998 7000 2 2.47477700000000000
7000 13998 7000 2 2.82805300000000015
6500 12998 6500 2 3.06037900000000018
7000 13998 7000 2 2.54819100000000009
7000 13998 7000 2 2.40991299999999997
7000 13998 7000 2 2.59707199999999983
6500 12998 6500 2 3.97832600000000003
7500 14998 7500 2 1.88611799999999996
7500 14998 7500 2 2.56928799999999979
6500 12998 6500 2 4.09378599999999970
7500 14998 7500 2 3.02926599999999979
7500 14998 7500 2 3.17840999999999996
