Nodos Aristas Frontera |CMF| Segundos
3500 375200 925 4 0.10311600000000000
4000 332309 744 4 0.08462900000000000
4000 441048 1140 5 0.11286499999999999
3500 887453 3235 6 0.25177899999999998
3500 521942 1570 5 0.13659099999999999
3500 700840 2120 5 0.19654199999999999
3500 808488 2932 6 0.23282500000000000
4000 909883 2917 6 0.25269999999999998
4000 925074 2859 6 0.26772499999999999
3500 1037303 4229 7 0.30562400000000001
5000 66225 66 3 0.00946000000000000
4500 749548 1732 5 0.20508100000000001
4500 1158262 3225 6 0.32251400000000002
3500 1272577 5373 7 0.39264900000000003
4000 1247974 4539 7 0.30368699999999998
3500 1406642 6541 8 0.40764600000000001
4000 1669693 6996 8 0.49451400000000001
5000 697195 1477 5 0.17605000000000001
4000 1728136 7091 8 0.46856199999999998
4000 1748679 6398 7 0.44645899999999999
5000 772089 1669 5 0.16965300000000000
3500 1911293 10068 9 0.50368900000000005
4500 1794102 5747 7 0.47601300000000002
4000 1924810 8063 8 0.50596099999999999
4500 2196909 8141 8 0.58130000000000004
3500 2011809 10811 9 0.55667900000000003
4500 1641788 4651 6 0.41977199999999998
4000 2240623 9371 8 0.62150000000000005
4500 2020280 6644 7 0.56974199999999997
4500 2943876 12024 9 0.84805399999999997
4500 3110955 12945 9 0.86752899999999999
5000 2442818 7109 7 0.65580400000000005
4500 2991655 12287 9 0.70717399999999997
5000 2876705 9455 8 0.64200900000000005
5000 2959504 9917 8 0.69692799999999999
5000 3033739 10109 8 0.69826600000000005
4500 3296109 13663 9 0.88904200000000000
5000 3707275 13703 9 0.87328799999999995
5000 3705136 13802 9 0.84114299999999997
5000 4058992 16605 10 1.04571400000000003
