Nodos Aristas Frontera |CMF| Segundos
3500 10494 70 3 0.01096000000000000
3500 10494 64 3 0.00753000000000000
3500 10494 58 3 0.00741500000000000
3500 10494 68 3 0.00818600000000000
3500 10494 62 4 0.00762900000000000
3500 10494 70 3 0.00851000000000000
3500 10494 65 3 0.00829200000000000
3500 10494 89 3 0.00878700000000000
3500 10494 91 3 0.00888200000000000
3500 10494 95 3 0.00904300000000000
4000 11994 68 3 0.00753000000000000
4000 11994 70 3 0.00757200000000000
4000 11994 63 3 0.00784500000000000
4000 11994 69 4 0.00782400000000000
4000 11994 82 3 0.00866100000000000
4000 11994 84 3 0.00807400000000000
4000 11994 81 3 0.00878600000000000
4000 11994 80 4 0.00856600000000000
4000 11994 89 3 0.00860400000000000
4000 11994 87 3 0.00883700000000000
4500 13494 107 3 0.00832100000000000
4500 13494 98 3 0.00942000000000000
4500 13494 71 3 0.00811000000000000
4500 13494 85 3 0.00906600000000000
4500 13494 87 3 0.00901300000000000
4500 13494 72 3 0.00832900000000000
4500 13494 76 3 0.00847300000000000
4500 13494 73 3 0.00838400000000000
4500 13494 78 4 0.00857700000000000
4500 13494 47 3 0.00636400000000000
5000 14994 86 3 0.01166600000000000
5000 14994 84 4 0.00944700000000000
5000 14994 70 3 0.00794100000000000
5000 14994 109 3 0.01032100000000000
5000 14994 78 3 0.00629200000000000
5000 14994 65 3 0.00648800000000000
5000 14994 60 3 0.00650900000000000
5000 14994 64 3 0.00623100000000000
5000 14994 72 3 0.00687800000000000
5000 14994 91 3 0.00735700000000000
