Nodos Aristas Frontera |CMF| Segundos
3500 6998 3500 2 0.00714300000000000
3500 6998 3500 2 0.00615200000000000
3500 6998 3500 2 0.00597000000000000
3500 6998 3500 2 0.00643600000000000
3500 6998 3500 2 0.00667500000000000
3500 6998 3500 2 0.00713900000000000
3500 6998 3500 2 0.00600000000000000
3500 6998 3500 2 0.00602200000000000
3500 6998 3500 2 0.00628800000000000
3500 6998 3500 2 0.00645000000000000
4000 7998 4000 2 0.00578400000000000
4000 7998 4000 2 0.00587300000000000
4000 7998 4000 2 0.00548000000000000
4000 7998 4000 2 0.00553000000000000
4000 7998 4000 2 0.00574900000000000
4000 7998 4000 2 0.00552900000000000
4000 7998 4000 2 0.00558500000000000
4500 8998 4500 2 0.00670100000000000
4500 8998 4500 2 0.00658600000000000
4500 8998 4500 2 0.00780600000000000
4500 8998 4500 2 0.00875600000000000
4500 8998 4500 2 0.00887600000000000
4500 8998 4500 2 0.00832500000000000
4500 8998 4500 2 0.00689000000000000
4500 8998 4500 2 0.00693000000000000
5000 9998 5000 2 0.00706900000000000
5000 9998 5000 2 0.00673600000000000
5000 9998 5000 2 0.00662100000000000
5000 9998 5000 2 0.00810800000000000
5000 9998 5000 2 0.00807200000000000
5000 9998 5000 2 0.01133100000000000
5000 9998 5000 2 0.00931500000000000
5000 9998 5000 2 0.01472000000000000
5000 9998 5000 2 0.01298600000000000
5000 9998 5000 2 0.00596400000000000
5500 10998 5500 2 0.00746800000000000
5500 10998 5500 2 0.00712500000000000
5500 10998 5500 2 0.00688800000000000
5500 10998 5500 2 0.00791500000000000
5500 10998 5500 2 0.00739500000000000
5500 10998 5500 2 0.00730300000000000
5500 10998 5500 2 0.01092900000000000
5500 10998 5500 2 0.00779300000000000
5500 10998 5500 2 0.00776600000000000
5500 10998 5500 2 0.00775800000000000
6000 11998 6000 2 0.00892000000000000
6000 11998 6000 2 0.00851400000000000
6000 11998 6000 2 0.00837200000000000
6000 11998 6000 2 0.00810700000000000
6000 11998 6000 2 0.01631000000000000
6000 11998 6000 2 0.01610200000000000
4000 7998 4000 2 0.01512900000000000
6000 11998 6000 2 0.01131200000000000
4000 7998 4000 2 0.00705000000000000
6000 11998 6000 2 0.00809000000000000
4500 8998 4500 2 0.00695800000000000
4000 7998 4000 2 0.00649700000000000
4500 8998 4500 2 0.00671600000000000
6000 11998 6000 2 0.01093800000000000
6000 11998 6000 2 0.00843600000000000
6500 12998 6500 2 0.00825300000000000
6500 12998 6500 2 0.00815600000000000
6500 12998 6500 2 0.00746700000000000
6500 12998 6500 2 0.00987100000000000
6500 12998 6500 2 0.01442200000000000
6500 12998 6500 2 0.00840600000000000
6500 12998 6500 2 0.00882400000000000
6500 12998 6500 2 0.00817300000000000
6500 12998 6500 2 0.01200700000000000
6500 12998 6500 2 0.00755300000000000
7000 13998 7000 2 0.00916100000000000
7000 13998 7000 2 0.01001300000000000
7000 13998 7000 2 0.01016400000000000
7000 13998 7000 2 0.00934300000000000
7000 13998 7000 2 0.00935100000000000
7000 13998 7000 2 0.01981200000000000
7000 13998 7000 2 0.01932800000000000
7000 13998 7000 2 0.00878000000000000
7000 13998 7000 2 0.00948600000000000
7500 14998 7500 2 0.01186000000000000
7500 14998 7500 2 0.01189200000000000
7500 14998 7500 2 0.01246100000000000
7500 14998 7500 2 0.00972600000000000
7500 14998 7500 2 0.01693300000000000
7500 14998 7500 2 0.00955500000000000
8000 15998 8000 2 0.01111600000000000
8000 15998 8000 2 0.01090100000000000
8000 15998 8000 2 0.01070500000000000
8000 15998 8000 2 0.01608800000000000
8000 15998 8000 2 0.01075400000000000
8000 15998 8000 2 0.01327300000000000
8000 15998 8000 2 0.01122300000000000
8000 15998 8000 2 0.01134600000000000
8000 15998 8000 2 0.01486600000000000
8000 15998 8000 2 0.01159400000000000
8500 16998 8500 2 0.01187700000000000
8500 16998 8500 2 0.01138300000000000
8500 16998 8500 2 0.01094600000000000
8500 16998 8500 2 0.01107600000000000
8500 16998 8500 2 0.01110500000000000
8500 16998 8500 2 0.01324200000000000
8500 16998 8500 2 0.01363800000000000
8500 16998 8500 2 0.01489900000000000
8500 16998 8500 2 0.01206000000000000
8500 16998 8500 2 0.01186500000000000
9000 17998 9000 2 0.01254400000000000
9000 17998 9000 2 0.01235600000000000
9000 17998 9000 2 0.01386900000000000
9000 17998 9000 2 0.01279600000000000
7000 13998 7000 2 0.01281100000000000
7500 14998 7500 2 0.01432800000000000
7500 14998 7500 2 0.01110700000000000
7500 14998 7500 2 0.01034900000000000
7500 14998 7500 2 0.01038900000000000
9000 17998 9000 2 0.01584300000000000
9000 17998 9000 2 0.01386800000000000
9000 17998 9000 2 0.01409900000000000
9000 17998 9000 2 0.01364700000000000
9000 17998 9000 2 0.01642000000000000
9000 17998 9000 2 0.01490600000000000
9500 18998 9500 2 0.01209500000000000
9500 18998 9500 2 0.01295100000000000
9500 18998 9500 2 0.01178800000000000
9500 18998 9500 2 0.02252900000000000
9500 18998 9500 2 0.01554500000000000
9500 18998 9500 2 0.01569400000000000
9500 18998 9500 2 0.01361400000000000
9500 18998 9500 2 0.01530500000000000
9500 18998 9500 2 0.01336200000000000
