Nodos Aristas Frontera |CMF| Segundos
4000 683959 3998 2 0.58937099999999998
3500 968691 3498 2 0.46634100000000001
3500 1065931 3498 2 0.44649200000000000
3500 1034724 3498 2 0.45638000000000001
3500 1288276 3498 2 0.45154400000000000
3500 1436875 3498 2 0.41978199999999999
4500 546875 4498 2 0.74458899999999995
4500 521339 4498 2 0.70739799999999997
4500 1569339 4498 2 0.74357099999999998
3500 3058011 3498 2 0.40235599999999999
5000 149100 4998 2 0.81206999999999996
4000 1853775 3998 2 0.60320099999999999
3500 2125476 3498 2 0.45433899999999999
3500 2585019 3498 2 0.47424600000000000
3500 2710851 3498 2 0.47824899999999998
3500 2876739 3498 2 0.45434600000000003
4000 3173719 3998 2 0.59694899999999995
4000 3345519 3998 2 0.51849199999999995
4000 3358399 3998 2 0.54709799999999997
4000 3613116 3998 2 0.59821000000000002
5000 2486400 4998 2 0.84625600000000001
4000 3761856 3998 2 0.58507500000000001
4000 3745984 3998 2 0.59197100000000002
5000 3243244 4998 2 0.89894099999999999
4000 3847119 3998 2 0.56095399999999995
4000 3968671 3998 2 0.58153400000000000
4500 4140900 4498 2 0.66842100000000004
5000 1998156 4998 2 0.96636200000000005
5000 3481104 4998 2 0.73444500000000001
4500 4268619 4498 2 0.64936799999999995
4500 4203171 4498 2 0.56064199999999997
4500 5013659 4498 2 0.68642499999999995
4500 5045076 4498 2 0.78266100000000005
5000 3319056 4998 2 0.89839700000000000
4500 4780539 4498 2 0.56580200000000003
4500 5060736 4498 2 0.59547200000000000
5000 5265936 4998 2 0.68167800000000001
5000 6249039 4998 2 0.65780000000000005
5000 5969100 4998 2 0.77567399999999997
5000 6156364 4998 2 0.78856400000000004
