Nodos Aristas Frontera |CMF| Segundos
3500 3500 2 1 0.00491300000000000
3500 3500 2 1 0.00414400000000000
3500 3500 2 1 0.00485200000000000
3500 3500 2 1 0.00514200000000000
3500 3500 2 1 0.00451900000000000
3500 3500 2 1 0.00420000000000000
3500 3500 2 1 0.00471900000000000
4000 4000 2 1 0.00340800000000000
4000 4000 2 1 0.00319700000000000
4000 4000 2 1 0.00357500000000000
4000 4000 2 1 0.00342300000000000
4000 4000 2 1 0.01327500000000000
4000 4000 2 1 0.01368800000000000
4000 4000 2 1 0.01346700000000000
4000 4000 2 1 0.01342400000000000
4000 4000 2 1 0.01345800000000000
4500 4500 2 1 0.00344100000000000
4500 4500 2 1 0.00346500000000000
4500 4500 2 1 0.00344000000000000
4500 4500 2 1 0.00346600000000000
4500 4500 2 1 0.00385200000000000
4500 4500 2 1 0.00360500000000000
4500 4500 2 1 0.00507300000000000
4500 4500 2 1 0.00654600000000000
4500 4500 2 1 0.00659700000000000
4500 4500 2 1 0.00653200000000000
5000 5000 2 1 0.00351500000000000
3500 3500 2 1 0.00558300000000000
3500 3500 2 1 0.00286900000000000
4000 4000 2 1 0.00141200000000000
3500 3500 2 1 0.00340600000000000
5000 5000 2 1 0.00409200000000000
5000 5000 2 1 0.00426400000000000
5000 5000 2 1 0.00407900000000000
5000 5000 2 1 0.00589900000000000
5000 5000 2 1 0.00611000000000000
5000 5000 2 1 0.00603900000000000
5000 5000 2 1 0.01183000000000000
5000 5000 2 1 0.00828700000000000
5000 5000 2 1 0.00640000000000000
5500 5500 2 1 0.00405500000000000
5500 5500 2 1 0.00389200000000000
5500 5500 2 1 0.00412200000000000
5500 5500 2 1 0.00400300000000000
5500 5500 2 1 0.00457000000000000
5500 5500 2 1 0.00465700000000000
5500 5500 2 1 0.00441000000000000
5500 5500 2 1 0.00427000000000000
5500 5500 2 1 0.00433700000000000
5500 5500 2 1 0.01264000000000000
6000 6000 2 1 0.00421800000000000
6000 6000 2 1 0.00423000000000000
6000 6000 2 1 0.00458500000000000
6000 6000 2 1 0.01261000000000000
6000 6000 2 1 0.01229500000000000
6000 6000 2 1 0.01310000000000000
6000 6000 2 1 0.00480600000000000
6000 6000 2 1 0.01144500000000000
6500 6500 2 1 0.00436100000000000
6500 6500 2 1 0.00459400000000000
6500 6500 2 1 0.00453000000000000
6500 6500 2 1 0.00728200000000000
6500 6500 2 1 0.00694700000000000
6500 6500 2 1 0.00468200000000000
6500 6500 2 1 0.00424800000000000
6500 6500 2 1 0.00423000000000000
7000 7000 2 1 0.00461900000000000
7000 7000 2 1 0.00456400000000000
7000 7000 2 1 0.00687400000000000
7000 7000 2 1 0.01326100000000000
6000 6000 2 1 0.00771700000000000
6000 6000 2 1 0.00567600000000000
6500 6500 2 1 0.00791700000000000
6500 6500 2 1 0.00881400000000000
7000 7000 2 1 0.00420500000000000
7000 7000 2 1 0.00770000000000000
7000 7000 2 1 0.00442400000000000
7000 7000 2 1 0.00443300000000000
7000 7000 2 1 0.00750900000000000
7000 7000 2 1 0.00781500000000000
7500 7500 2 1 0.00468700000000000
7500 7500 2 1 0.00458300000000000
7500 7500 2 1 0.00499400000000000
7500 7500 2 1 0.00468600000000000
7500 7500 2 1 0.00587400000000000
7500 7500 2 1 0.00827300000000000
7500 7500 2 1 0.00827500000000000
7500 7500 2 1 0.00830300000000000
7500 7500 2 1 0.00481700000000000
7500 7500 2 1 0.00508700000000000
8000 8000 2 1 0.00505600000000000
8000 8000 2 1 0.00558300000000000
8000 8000 2 1 0.00837600000000000
8000 8000 2 1 0.00882200000000000
8000 8000 2 1 0.00497600000000000
8000 8000 2 1 0.00892300000000000
8000 8000 2 1 0.00984300000000000
8000 8000 2 1 0.00487200000000000
8500 8500 2 1 0.00531000000000000
8500 8500 2 1 0.00528900000000000
8500 8500 2 1 0.00505600000000000
8500 8500 2 1 0.00684700000000000
8500 8500 2 1 0.00561800000000000
8500 8500 2 1 0.00963100000000000
8000 8000 2 1 0.01242600000000000
8000 8000 2 1 0.01100600000000000
8500 8500 2 1 0.00806600000000000
8500 8500 2 1 0.00842100000000000
8500 8500 2 1 0.00529600000000000
8500 8500 2 1 0.01444200000000000
9000 9000 2 1 0.00583500000000000
9000 9000 2 1 0.00584000000000000
9000 9000 2 1 0.00575700000000000
9000 9000 2 1 0.00550200000000000
9000 9000 2 1 0.00635000000000000
9000 9000 2 1 0.00644000000000000
9000 9000 2 1 0.00620600000000000
9000 9000 2 1 0.00604800000000000
9000 9000 2 1 0.00544800000000000
9000 9000 2 1 0.00541000000000000
9500 9500 2 1 0.00876100000000000
9500 9500 2 1 0.00843000000000000
9500 9500 2 1 0.00508400000000000
9500 9500 2 1 0.00493300000000000
9500 9500 2 1 0.00480700000000000
9500 9500 2 1 0.00425400000000000
9500 9500 2 1 0.00348800000000000
9500 9500 2 1 0.00352100000000000
9500 9500 2 1 0.00360400000000000
10000 10000 2 1 0.00396800000000000
10000 10000 2 1 0.00466200000000000
10000 10000 2 1 0.00356500000000000
10000 10000 2 1 0.00227900000000000
10000 10000 2 1 0.00243000000000000
10000 10000 2 1 0.00261300000000000
10000 10000 2 1 0.00304500000000000
9500 9500 2 1 0.00399700000000000
10000 10000 2 1 0.00384900000000000
10000 10000 2 1 0.00410800000000000
10000 10000 2 1 0.00460600000000000
