Nodos Aristas Frontera |CMF| Segundos
4000 3999 30 1 0.00488500000000000
4000 3999 30 1 0.00475800000000000
4000 3999 30 1 0.00458900000000000
4000 3999 30 1 0.00457700000000000
4000 3999 30 1 0.00442600000000000
4000 3999 30 1 0.00481400000000000
4000 3999 30 1 0.00476500000000000
4000 3999 30 1 0.00484500000000000
4000 3999 30 1 0.00491300000000000
4000 3999 30 1 0.00477400000000000
4500 4499 10 1 0.00266000000000000
4500 4499 10 1 0.00263600000000000
4500 4499 10 1 0.00292200000000000
4500 4499 10 1 0.00265400000000000
4500 4499 10 1 0.00401300000000000
4500 4499 10 1 0.00358700000000000
3500 3499 3498 1 0.47631200000000001
4500 4499 10 1 0.00356500000000000
4500 4499 10 1 0.00333900000000000
4500 4499 10 1 0.00319500000000000
4500 4499 408 1 0.05750700000000000
3500 3499 3498 1 0.42171199999999998
3500 3499 3498 1 0.42737100000000000
3500 3499 3498 1 0.42795299999999997
5500 5499 12 1 0.00360500000000000
3500 3499 3498 1 0.42957099999999998
3500 3499 3498 1 0.43082300000000001
3500 3499 3498 1 0.43086099999999999
5500 5499 8 1 0.00208000000000000
3500 3499 3498 1 0.43179600000000001
3500 3499 3498 1 0.43243700000000002
3500 3499 3498 1 0.43136500000000000
5500 5499 8 1 0.00322600000000000
5500 5499 422 1 0.07114300000000000
5500 5499 1833 2 0.32420800000000000
6000 5999 6 1 0.00312100000000000
5500 5499 12 1 0.00311200000000000
5500 5499 8 1 0.00265200000000000
6000 5999 6 1 0.00276300000000000
6000 5999 857 2 0.01988500000000000
6000 5999 6 1 0.00154100000000000
6000 5999 856 1 0.14882799999999999
6000 5999 857 2 0.14782300000000001
6500 6499 66 1 0.00750100000000000
6500 6499 66 1 0.00738900000000000
6500 6499 97 2 0.01100400000000000
6500 6499 66 1 0.00814600000000000
6000 5999 856 1 0.14590800000000001
6500 6499 66 1 0.00729600000000000
6000 5999 856 1 0.14459100000000000
6500 6499 66 1 0.00766100000000000
6500 6499 66 1 0.00748700000000000
6000 5999 856 1 0.14245700000000000
6500 6499 66 1 0.00757600000000000
6500 6499 66 1 0.00763900000000000
6500 6499 66 1 0.00736000000000000
6000 5999 856 1 0.15002099999999999
5500 5499 1833 2 0.32216600000000001
5500 5499 1833 2 0.32907999999999998
5500 5499 1833 2 0.31828200000000001
5000 4999 4998 1 0.95531900000000003
5000 4999 4998 1 0.95609500000000003
5000 4999 4998 1 0.95698600000000000
5000 4999 4998 1 0.95738400000000001
5000 4999 4998 1 0.94346300000000005
5000 4999 4998 1 0.92281599999999997
5000 4999 4998 1 0.94942000000000004
5000 4999 4998 1 0.95016199999999995
5000 4999 4998 1 0.93086999999999998
5000 4999 4998 1 0.94938199999999995
7000 6999 2332 1 0.57746100000000000
7000 6999 2333 2 0.58358800000000000
7000 6999 2333 2 0.59485600000000005
7000 6999 2332 1 0.59762199999999999
7000 6999 2332 1 0.58470599999999995
7000 6999 2332 1 0.59629699999999997
7000 6999 2333 2 0.60351600000000005
7000 6999 2332 1 0.58468399999999998
7000 6999 2332 1 0.58726299999999998
7000 6999 2332 1 0.59833499999999995
8000 7999 18 1 0.00544800000000000
8000 7999 18 1 0.00429800000000000
8000 7999 18 1 0.00638000000000000
8000 7999 18 1 0.00379400000000000
8000 7999 18 1 0.00613900000000000
8000 7999 18 1 0.00589900000000000
8000 7999 18 1 0.00575500000000000
8000 7999 18 1 0.00550100000000000
8000 7999 18 1 0.00545400000000000
8500 8499 2833 2 0.85843800000000003
8500 8499 2832 1 0.85275299999999998
8500 8499 2833 2 0.85932699999999995
8500 8499 2832 1 0.85715399999999997
8500 8499 2832 1 0.86032100000000000
8500 8499 2832 1 0.86095900000000003
8500 8499 2832 1 0.85979300000000003
8500 8499 2833 2 0.85812400000000000
8500 8499 2832 1 0.86736999999999997
8500 8499 2832 1 0.85365199999999997
9500 9499 6 1 0.00224900000000000
9500 9499 22 1 0.00478900000000000
9500 9499 22 1 0.00427800000000000
9500 9499 6 1 0.00213200000000000
9500 9499 22 1 0.00401700000000000
9500 9499 6 1 0.00201100000000000
9500 9499 1357 2 0.05471200000000000
9500 9499 6 1 0.00212900000000000
9500 9499 6 1 0.00209300000000000
9500 9499 22 1 0.00416100000000000
7500 7499 7498 1 2.25071000000000021
10000 9999 10 1 0.00343500000000000
10000 9999 8 1 0.00264800000000000
10000 9999 32 1 0.00487200000000000
7500 7499 7498 1 2.22227599999999992
10000 9999 1111 2 0.03718300000000000
7500 7499 7498 1 2.21057600000000010
7500 7499 7498 1 2.23994900000000019
10000 9999 1111 2 0.03749600000000000
10000 9999 8 1 0.00290400000000000
10000 9999 8 1 0.00231200000000000
7500 7499 7498 1 2.16679900000000014
7500 7499 7498 1 2.21027400000000007
7500 7499 7498 1 2.20741399999999999
7500 7499 7498 1 2.24232200000000015
10000 9999 908 1 0.26250200000000001
7500 7499 7498 1 2.20334500000000011
7500 7499 7498 1 2.20154100000000019
8000 7999 7998 1 2.52344899999999983
10000 9999 3333 2 1.19467999999999996
10000 9999 3333 2 1.17882500000000001
9000 8999 8998 1 3.34824400000000022
9000 8999 8998 1 3.42137400000000014
9000 8999 8998 1 3.46221800000000002
9000 8999 8998 1 3.46655200000000008
9000 8999 8998 1 3.38567099999999988
9000 8999 8998 1 3.36430499999999988
9000 8999 8998 1 3.45320099999999996
9000 8999 8998 1 3.44232499999999986
9000 8999 8998 1 3.51123699999999994
9000 8999 8998 1 3.51617099999999994
