Nodos Aristas Frontera |CMF| Segundos
2 1 1 1 0.00070200000000000
2 1 1 1 0.00091200000000000
2 1 1 1 0.00085100000000000
4 3 2 1 0.00000600000000000
3 2 2 1 0.00018800000000000
2 1 1 1 0.00088200000000000
4 3 2 1 0.00000500000000000
3 2 2 1 0.00001300000000000
4 3 3 1 0.00000600000000000
5 4 3 1 0.00000300000000000
3 2 2 1 0.00001500000000000
3 2 2 1 0.00000500000000000
5 4 4 1 0.00000300000000000
3 2 2 1 0.00001500000000000
4 3 3 1 0.00000500000000000
2 1 1 1 0.00000800000000000
5 4 3 1 0.00000400000000000
4 3 2 1 0.00000500000000000
6 5 3 1 0.00000400000000000
3 2 2 1 0.00001500000000000
3 2 2 1 0.00001300000000000
4 3 2 1 0.00000300000000000
5 4 2 1 0.00000300000000000
5 4 2 1 0.00000300000000000
3 2 2 1 0.00000300000000000
6 5 3 2 0.00000900000000000
2 1 1 1 0.00023100000000000
6 5 4 2 0.00000800000000000
6 5 2 1 0.00001300000000000
6 5 3 1 0.00000700000000000
5 4 3 1 0.00000300000000000
5 4 3 1 0.00000200000000000
7 6 3 1 0.00001800000000000
6 5 4 1 0.00000800000000000
2 1 1 1 0.00023300000000000
7 6 3 1 0.00000300000000000
7 6 4 1 0.00000800000000000
6 5 4 1 0.00000700000000000
4 3 3 1 0.00000500000000000
6 5 4 1 0.00000400000000000
3 2 2 1 0.00104300000000000
7 6 2 1 0.00003500000000000
8 7 3 2 0.00000400000000000
2 1 1 1 0.00022200000000000
7 6 3 2 0.00000300000000000
6 5 3 1 0.00001100000000000
6 5 4 1 0.00000700000000000
8 7 6 2 0.00000500000000000
8 7 5 1 0.00000300000000000
7 6 4 2 0.00001100000000000
9 8 5 2 0.00000400000000000
9 11 8 2 0.00000400000000000
8 7 6 2 0.00001800000000000
8 7 4 2 0.00000800000000000
7 6 3 1 0.00000800000000000
8 7 4 2 0.00000300000000000
9 8 4 2 0.00000400000000000
9 9 5 2 0.00000400000000000
7 6 5 1 0.00002900000000000
9 8 4 2 0.00000300000000000
8 7 5 2 0.00000800000000000
10 9 6 2 0.00000400000000000
9 8 3 2 0.00000500000000000
10 9 5 2 0.00000300000000000
4 3 2 1 0.00001700000000000
9 11 7 2 0.00000500000000000
9 8 4 2 0.00000300000000000
5 4 3 1 0.00000700000000000
4 3 2 1 0.00001300000000000
3 2 2 1 0.00085200000000000
10 9 6 2 0.00000500000000000
9 8 4 2 0.00000400000000000
10 9 5 2 0.00000300000000000
5 4 4 1 0.00001100000000000
10 9 6 2 0.00000500000000000
8 7 3 1 0.00000400000000000
11 10 5 2 0.00001000000000000
11 10 5 2 0.00001700000000000
12 11 5 2 0.00000400000000000
10 9 5 2 0.00000400000000000
11 10 6 2 0.00000500000000000
9 8 3 2 0.00002700000000000
11 12 5 2 0.00001600000000000
11 10 7 2 0.00001400000000000
10 10 4 2 0.00000800000000000
4 3 2 1 0.00001100000000000
7 6 3 2 0.00000400000000000
11 10 4 2 0.00001000000000000
12 15 7 2 0.00000500000000000
12 15 6 2 0.00000500000000000
12 11 7 2 0.00000500000000000
12 11 5 1 0.00000500000000000
13 12 6 2 0.00000400000000000
2 1 1 1 0.00023400000000000
13 12 5 2 0.00000500000000000
10 11 7 2 0.00000500000000000
13 12 5 2 0.00000700000000000
